"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","fr.ybo.transportsbordeaux.activity","/home/matheus/smell-and-machine-learning/repositories/ybonnel_TransportsRennes/TransportsBordeaux/src/fr/ybo/transportsbordeaux/activity/TransportsBordeaux.java","3","59","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","fr.ybo.transportsbordeaux.activity.itineraires","/home/matheus/smell-and-machine-learning/repositories/ybonnel_TransportsRennes/TransportsBordeaux/src/fr/ybo/transportsbordeaux/activity/itineraires/ItineraireRequete.java","3","86","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","fr.ybo.transportsbordeaux.activity.map","/home/matheus/smell-and-machine-learning/repositories/ybonnel_TransportsRennes/TransportsBordeaux/src/fr/ybo/transportsbordeaux/activity/map/TrajetOnMap.java","3","54","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","fr.ybo.transportsbordeaux.database","/home/matheus/smell-and-machine-learning/repositories/ybonnel_TransportsRennes/TransportsBordeaux/src/fr/ybo/transportsbordeaux/database/TransportsBordeauxDatabase.java","3","69","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","fr.ybo.transportsbordeaux.itineraires","/home/matheus/smell-and-machine-learning/repositories/ybonnel_TransportsRennes/TransportsBordeaux/src/fr/ybo/transportsbordeaux/itineraires/PortionTrajet.java","3","12","The class 'PortionTrajet' is suspected to be a Data Class (WOC=7.692%, NOPA=0, NOAM=12, WMC=16)","Design","DataClass"
"1","fr.ybo.transportsbordeaux.util","/home/matheus/smell-and-machine-learning/repositories/ybonnel_TransportsRennes/TransportsBordeaux/src/fr/ybo/transportsbordeaux/util/Coordinate.java","3","21","The class 'Coordinate' is suspected to be a Data Class (WOC=16.667%, NOPA=0, NOAM=4, WMC=6)","Design","DataClass"
"1","fr.ybo.transportsbordeauxhelper","/home/matheus/smell-and-machine-learning/repositories/ybonnel_TransportsRennes/TransportsBordeauxHelper/src/main/java/fr/ybo/transportsbordeauxhelper/Generateur.java","3","60","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","fr.ybo.transportsbordeauxhelper","/home/matheus/smell-and-machine-learning/repositories/ybonnel_TransportsRennes/TransportsBordeauxHelper/src/main/java/fr/ybo/transportsbordeauxhelper/Generateur.java","3","192","Avoid really long methods.","Design","ExcessiveMethodLength"
"3","fr.ybo.transportsbordeauxhelper","/home/matheus/smell-and-machine-learning/repositories/ybonnel_TransportsRennes/TransportsBordeauxHelper/src/main/java/fr/ybo/transportsbordeauxhelper/Generateur.java","3","475","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","fr.ybo.transportsbordeauxhelper.gtfs","/home/matheus/smell-and-machine-learning/repositories/ybonnel_TransportsRennes/TransportsBordeauxHelper/src/main/java/fr/ybo/transportsbordeauxhelper/gtfs/GestionnaireGtfs.java","3","137","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","fr.ybo.transportscommun.activity.bus","/home/matheus/smell-and-machine-learning/repositories/ybonnel_TransportsRennes/TransportsCommun/src/fr/ybo/transportscommun/activity/bus/AbstractDetailArret.java","3","52","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","fr.ybo.transportscommun.activity.bus","/home/matheus/smell-and-machine-learning/repositories/ybonnel_TransportsRennes/TransportsCommun/src/fr/ybo/transportscommun/activity/bus/AbstractDetailArret.java","3","126","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","fr.ybo.transportscommun.activity.bus","/home/matheus/smell-and-machine-learning/repositories/ybonnel_TransportsRennes/TransportsCommun/src/fr/ybo/transportscommun/activity/bus/AbstractListArretByPosition.java","3","42","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","fr.ybo.transportscommun.activity.commun","/home/matheus/smell-and-machine-learning/repositories/ybonnel_TransportsRennes/TransportsCommun/src/fr/ybo/transportscommun/activity/commun/SimpleMenu.java","3","35","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","fr.ybo.transportscommun.donnees.modele","/home/matheus/smell-and-machine-learning/repositories/ybonnel_TransportsRennes/TransportsCommun/src/fr/ybo/transportscommun/donnees/modele/Bounds.java","3","22","The class 'Bounds' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=10, WMC=10)","Design","DataClass"
"1","fr.ybo.transportscommun.donnees.modele","/home/matheus/smell-and-machine-learning/repositories/ybonnel_TransportsRennes/TransportsCommun/src/fr/ybo/transportscommun/donnees/modele/DetailArretConteneur.java","3","17","The class 'DetailArretConteneur' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=9, WMC=10)","Design","DataClass"
"1","fr.ybo.transportscommun.donnees.modele","/home/matheus/smell-and-machine-learning/repositories/ybonnel_TransportsRennes/TransportsCommun/src/fr/ybo/transportscommun/donnees/modele/Notification.java","3","22","The class 'Notification' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=12, WMC=12)","Design","DataClass"
"1","fr.ybo.transportscommun.util","/home/matheus/smell-and-machine-learning/repositories/ybonnel_TransportsRennes/TransportsCommun/src/fr/ybo/transportscommun/util/StringOperation.java","3","48","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","fr.ybo.transportsrennes.activity.itineraires","/home/matheus/smell-and-machine-learning/repositories/ybonnel_TransportsRennes/TransportsRennes/src/fr/ybo/transportsrennes/activity/itineraires/ItineraireRequete.java","3","78","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","fr.ybo.transportsrennes.adapters.bus","/home/matheus/smell-and-machine-learning/repositories/ybonnel_TransportsRennes/TransportsRennes/src/fr/ybo/transportsrennes/adapters/bus/FavoriAdapter.java","3","86","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","fr.ybo.transportsrennes.database","/home/matheus/smell-and-machine-learning/repositories/ybonnel_TransportsRennes/TransportsRennes/src/fr/ybo/transportsrennes/database/TransportsRennesDatabase.java","3","72","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","fr.ybo.transportsrennes.database.modele","/home/matheus/smell-and-machine-learning/repositories/ybonnel_TransportsRennes/TransportsRennes/src/fr/ybo/transportsrennes/database/modele/AlertBdd.java","3","23","The class 'AlertBdd' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=4)","Design","DataClass"
"1","fr.ybo.transportsrennes.itineraires","/home/matheus/smell-and-machine-learning/repositories/ybonnel_TransportsRennes/TransportsRennes/src/fr/ybo/transportsrennes/itineraires/PortionTrajet.java","3","26","The class 'PortionTrajet' is suspected to be a Data Class (WOC=7.692%, NOPA=0, NOAM=12, WMC=16)","Design","DataClass"
"1","fr.ybo.transportsrennes.keolis.modele","/home/matheus/smell-and-machine-learning/repositories/ybonnel_TransportsRennes/TransportsRennes/src/fr/ybo/transportsrennes/keolis/modele/StatusKeolis.java","3","24","The class 'StatusKeolis' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=4)","Design","DataClass"
"1","fr.ybo.transportsrennes.keolis.modele.bus","/home/matheus/smell-and-machine-learning/repositories/ybonnel_TransportsRennes/TransportsRennes/src/fr/ybo/transportsrennes/keolis/modele/bus/Departure.java","3","23","The class 'Departure' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=7, WMC=8)","Design","DataClass"
"1","fr.ybo.transportsrennes.keolis.modele.bus","/home/matheus/smell-and-machine-learning/repositories/ybonnel_TransportsRennes/TransportsRennes/src/fr/ybo/transportsrennes/keolis/modele/bus/DepartureMetro.java","3","23","The class 'DepartureMetro' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=4)","Design","DataClass"
"1","fr.ybo.transportsrennes.util","/home/matheus/smell-and-machine-learning/repositories/ybonnel_TransportsRennes/TransportsRennes/src/fr/ybo/transportsrennes/util/Coordinate.java","3","21","The class 'Coordinate' is suspected to be a Data Class (WOC=16.667%, NOPA=0, NOAM=4, WMC=6)","Design","DataClass"
"1","fr.ybo.transportsrenneshelper.generateurmodele","/home/matheus/smell-and-machine-learning/repositories/ybonnel_TransportsRennes/TransportsRennesHelper/src/main/java/fr/ybo/transportsrenneshelper/generateurmodele/Generateur.java","3","60","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","fr.ybo.transportsrenneshelper.generateurmodele","/home/matheus/smell-and-machine-learning/repositories/ybonnel_TransportsRennes/TransportsRennesHelper/src/main/java/fr/ybo/transportsrenneshelper/generateurmodele/Generateur.java","3","354","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","fr.ybo.transportsrenneshelper.keolis.modele","/home/matheus/smell-and-machine-learning/repositories/ybonnel_TransportsRennes/TransportsRennesHelper/src/main/java/fr/ybo/transportsrenneshelper/keolis/modele/MetroStation.java","3","24","The class 'MetroStation' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=20, WMC=20)","Design","DataClass"
"1","fr.ybo.transportsrenneshelper.keolis.modele","/home/matheus/smell-and-machine-learning/repositories/ybonnel_TransportsRennes/TransportsRennesHelper/src/main/java/fr/ybo/transportsrenneshelper/keolis/modele/StatusKeolis.java","3","24","The class 'StatusKeolis' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=4)","Design","DataClass"
"1","fr.ybo.transportsrenneshelper.parcours","/home/matheus/smell-and-machine-learning/repositories/ybonnel_TransportsRennes/TransportsRennesHelper/src/main/java/fr/ybo/transportsrenneshelper/parcours/GenerateurParcours.java","3","38","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","fr.ybo.transportsrenneshelper.parcours.modele","/home/matheus/smell-and-machine-learning/repositories/ybonnel_TransportsRennes/TransportsRennesHelper/src/main/java/fr/ybo/transportsrenneshelper/parcours/modele/Parcour.java","3","6","The class 'Parcour' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=9, WMC=12)","Design","DataClass"
"2","fr.ybo.transportsrenneshelper.parcours.modele","/home/matheus/smell-and-machine-learning/repositories/ybonnel_TransportsRennes/TransportsRennesHelper/src/main/java/fr/ybo/transportsrenneshelper/parcours/modele/Parcour.java","3","8","The class 'Arret' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=6, WMC=6)","Design","DataClass"
