"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.danielme.muspyforandroid","/home/matheus/smell-and-machine-learning/repositories/danielme-com_Muspy-for-Android/app/src/main/java/com/danielme/muspyforandroid/ApplicationDaggerComponent.java","3","58","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.danielme.muspyforandroid.model","/home/matheus/smell-and-machine-learning/repositories/danielme-com_Muspy-for-Android/app/src/main/java/com/danielme/muspyforandroid/model/Artist.java","3","30","The class 'Artist' is suspected to be a Data Class (WOC=8.333%, NOPA=1, NOAM=10, WMC=14)","Design","DataClass"
"1","com.danielme.muspyforandroid.model","/home/matheus/smell-and-machine-learning/repositories/danielme-com_Muspy-for-Android/app/src/main/java/com/danielme/muspyforandroid/model/ArtistMb.java","3","22","The class 'ArtistMb' is suspected to be a Data Class (WOC=12.500%, NOPA=0, NOAM=7, WMC=8)","Design","DataClass"
"2","com.danielme.muspyforandroid.model","/home/matheus/smell-and-machine-learning/repositories/danielme-com_Muspy-for-Android/app/src/main/java/com/danielme/muspyforandroid/model/ArtistMb.java","3","62","The class 'Artist' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=6, WMC=6)","Design","DataClass"
"1","com.danielme.muspyforandroid.model","/home/matheus/smell-and-machine-learning/repositories/danielme-com_Muspy-for-Android/app/src/main/java/com/danielme/muspyforandroid/model/Cover.java","3","36","The class 'CoverImage' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=10, WMC=10)","Design","DataClass"
"1","com.danielme.muspyforandroid.model","/home/matheus/smell-and-machine-learning/repositories/danielme-com_Muspy-for-Android/app/src/main/java/com/danielme/muspyforandroid/model/Credential.java","3","25","The class 'Credential' is suspected to be a Data Class (WOC=12.500%, NOPA=0, NOAM=6, WMC=8)","Design","DataClass"
"1","com.danielme.muspyforandroid.model","/home/matheus/smell-and-machine-learning/repositories/danielme-com_Muspy-for-Android/app/src/main/java/com/danielme/muspyforandroid/model/Media.java","3","24","The class 'Media' is suspected to be a Data Class (WOC=6.667%, NOPA=0, NOAM=14, WMC=16)","Design","DataClass"
"1","com.danielme.muspyforandroid.model","/home/matheus/smell-and-machine-learning/repositories/danielme-com_Muspy-for-Android/app/src/main/java/com/danielme/muspyforandroid/model/Release.java","3","25","The class 'Release' is suspected to be a Data Class (WOC=8.333%, NOPA=1, NOAM=10, WMC=14)","Design","DataClass"
"1","com.danielme.muspyforandroid.model","/home/matheus/smell-and-machine-learning/repositories/danielme-com_Muspy-for-Android/app/src/main/java/com/danielme/muspyforandroid/model/ReleaseMB.java","3","24","The class 'ReleaseMB' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=28, WMC=28)","Design","DataClass"
"1","com.danielme.muspyforandroid.model","/home/matheus/smell-and-machine-learning/repositories/danielme-com_Muspy-for-Android/app/src/main/java/com/danielme/muspyforandroid/model/Track.java","3","20","The class 'Track' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=8, WMC=8)","Design","DataClass"
