"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","in.srain.cube.views.ptr","/home/matheus/smell-and-machine-learning/repositories/monakhv_samlib-Info/ptr-lib/src/main/java/in/srain/cube/views/ptr/PtrClassicDefaultHeader.java","3","19","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","in.srain.cube.views.ptr","/home/matheus/smell-and-machine-learning/repositories/monakhv_samlib-Info/ptr-lib/src/main/java/in/srain/cube/views/ptr/PtrFrameLayout.java","3","17","Avoid really long classes.","Design","ExcessiveClassLength"
"2","in.srain.cube.views.ptr","/home/matheus/smell-and-machine-learning/repositories/monakhv_samlib-Info/ptr-lib/src/main/java/in/srain/cube/views/ptr/PtrFrameLayout.java","3","17","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","in.srain.cube.views.ptr.header","/home/matheus/smell-and-machine-learning/repositories/monakhv_samlib-Info/ptr-lib/src/main/java/in/srain/cube/views/ptr/header/StoreHouseHeader.java","3","18","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","in.srain.cube.views.ptr.indicator","/home/matheus/smell-and-machine-learning/repositories/monakhv_samlib-Info/ptr-lib/src/main/java/in/srain/cube/views/ptr/indicator/PtrIndicator.java","3","5","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","in.srain.cube.views.ptr.util","/home/matheus/smell-and-machine-learning/repositories/monakhv_samlib-Info/ptr-lib/src/main/java/in/srain/cube/views/ptr/util/PtrCLog.java","3","10","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","monakhv.android.samlib","/home/matheus/smell-and-machine-learning/repositories/monakhv_samlib-Info/samlib-android/src/main/java/monakhv/android/samlib/ArchiveActivity.java","3","56","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","monakhv.android.samlib","/home/matheus/smell-and-machine-learning/repositories/monakhv_samlib-Info/samlib-android/src/main/java/monakhv/android/samlib/AuthorFragment.java","3","77","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","monakhv.android.samlib","/home/matheus/smell-and-machine-learning/repositories/monakhv_samlib-Info/samlib-android/src/main/java/monakhv/android/samlib/AuthorTagFragment.java","3","47","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","monakhv.android.samlib","/home/matheus/smell-and-machine-learning/repositories/monakhv_samlib-Info/samlib-android/src/main/java/monakhv/android/samlib/BookFragment.java","3","63","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","monakhv.android.samlib","/home/matheus/smell-and-machine-learning/repositories/monakhv_samlib-Info/samlib-android/src/main/java/monakhv/android/samlib/MainActivity.java","3","73","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","monakhv.android.samlib","/home/matheus/smell-and-machine-learning/repositories/monakhv_samlib-Info/samlib-android/src/main/java/monakhv/android/samlib/SamlibPreferencesFragment.java","3","57","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
