"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","ru0xdc.rtkgps","/home/matheus/smell-and-machine-learning/repositories/RtkGps/src/ru0xdc/rtkgps/MainActivity.java","3","37","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","ru0xdc.rtkgps","/home/matheus/smell-and-machine-learning/repositories/RtkGps/src/ru0xdc/rtkgps/MapFragment.java","3","49","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","ru0xdc.rtkgps","/home/matheus/smell-and-machine-learning/repositories/RtkGps/src/ru0xdc/rtkgps/RtkNaviService.java","3","28","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","ru0xdc.rtkgps","/home/matheus/smell-and-machine-learning/repositories/RtkGps/src/ru0xdc/rtkgps/StatusFragment.java","3","43","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","ru0xdc.rtkgps.settings","/home/matheus/smell-and-machine-learning/repositories/RtkGps/src/ru0xdc/rtkgps/settings/InputRoverFragment.java","3","31","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","ru0xdc.rtkgps.settings","/home/matheus/smell-and-machine-learning/repositories/RtkGps/src/ru0xdc/rtkgps/settings/SolutionOutputSettingsFragment.java","3","72","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","ru0xdc.rtkgps.settings","/home/matheus/smell-and-machine-learning/repositories/RtkGps/src/ru0xdc/rtkgps/settings/StationPositionActivity.java","3","35","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","ru0xdc.rtkgps.usb","/home/matheus/smell-and-machine-learning/repositories/RtkGps/src/ru0xdc/rtkgps/usb/UsbAcmController.java","3","46","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","ru0xdc.rtkgps.view","/home/matheus/smell-and-machine-learning/repositories/RtkGps/src/ru0xdc/rtkgps/view/SnrView.java","3","183","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","ru0xdc.rtkgps.view","/home/matheus/smell-and-machine-learning/repositories/RtkGps/src/ru0xdc/rtkgps/view/SolutionView.java","3","183","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","ru0xdc.rtklib","/home/matheus/smell-and-machine-learning/repositories/RtkGps/src/ru0xdc/rtklib/RtkCommon.java","3","11","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","ru0xdc.rtklib","/home/matheus/smell-and-machine-learning/repositories/RtkGps/src/ru0xdc/rtklib/RtkControlResult.java","3","57","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","ru0xdc.rtklib","/home/matheus/smell-and-machine-learning/repositories/RtkGps/src/ru0xdc/rtklib/RtkServer.java","3","11","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","ru0xdc.rtklib","/home/matheus/smell-and-machine-learning/repositories/RtkGps/src/ru0xdc/rtklib/RtkServer.java","3","214","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","ru0xdc.rtklib","/home/matheus/smell-and-machine-learning/repositories/RtkGps/src/ru0xdc/rtklib/Solution.java","3","149","Avoid long parameter lists.","Design","ExcessiveParameterList"
"2","ru0xdc.rtklib","/home/matheus/smell-and-machine-learning/repositories/RtkGps/src/ru0xdc/rtklib/Solution.java","3","238","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","ru0xdc.rtklib","/home/matheus/smell-and-machine-learning/repositories/RtkGps/src/ru0xdc/rtklib/SolutionOptions.java","3","92","Avoid long parameter lists.","Design","ExcessiveParameterList"
