"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.asksven.betterbatterystats","/home/matheus/smell-and-machine-learning/repositories/asksven_BetterBatteryStats/app/src/androidTest/java/com/asksven/betterbatterystats/ClickThroughTest.java","3","49","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.asksven.android.common.kernelutils","/home/matheus/smell-and-machine-learning/repositories/asksven_BetterBatteryStats/app/src/main/java/com/asksven/android/common/kernelutils/AlarmsDumpsys.java","3","88","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","com.asksven.android.common.kernelutils","/home/matheus/smell-and-machine-learning/repositories/asksven_BetterBatteryStats/app/src/main/java/com/asksven/android/common/kernelutils/AlarmsDumpsys.java","3","236","Avoid really long methods.","Design","ExcessiveMethodLength"
"3","com.asksven.android.common.kernelutils","/home/matheus/smell-and-machine-learning/repositories/asksven_BetterBatteryStats/app/src/main/java/com/asksven/android/common/kernelutils/AlarmsDumpsys.java","3","352","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","com.asksven.android.common.kernelutils","/home/matheus/smell-and-machine-learning/repositories/asksven_BetterBatteryStats/app/src/main/java/com/asksven/android/common/kernelutils/AlarmsDumpsys.java","3","469","Avoid really long methods.","Design","ExcessiveMethodLength"
"5","com.asksven.android.common.kernelutils","/home/matheus/smell-and-machine-learning/repositories/asksven_BetterBatteryStats/app/src/main/java/com/asksven/android/common/kernelutils/AlarmsDumpsys.java","3","586","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.asksven.android.common.kernelutils","/home/matheus/smell-and-machine-learning/repositories/asksven_BetterBatteryStats/app/src/main/java/com/asksven/android/common/kernelutils/NativeKernelWakelock.java","3","133","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","com.asksven.android.common.kernelutils","/home/matheus/smell-and-machine-learning/repositories/asksven_BetterBatteryStats/app/src/main/java/com/asksven/android/common/kernelutils/OtherStatsDumpsys.java","3","36","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.asksven.android.common.kernelutils","/home/matheus/smell-and-machine-learning/repositories/asksven_BetterBatteryStats/app/src/main/java/com/asksven/android/common/kernelutils/ProcessStatsDumpsys.java","3","144","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.asksven.android.common.kernelutils","/home/matheus/smell-and-machine-learning/repositories/asksven_BetterBatteryStats/app/src/main/java/com/asksven/android/common/kernelutils/Wakelocks.java","3","46","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.asksven.android.common.kernelutils","/home/matheus/smell-and-machine-learning/repositories/asksven_BetterBatteryStats/app/src/main/java/com/asksven/android/common/kernelutils/WakeupSources.java","3","70","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.asksven.android.common.kernelutils","/home/matheus/smell-and-machine-learning/repositories/asksven_BetterBatteryStats/app/src/main/java/com/asksven/android/common/kernelutils/WakeupSourcesLg.java","3","40","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.asksven.android.common.privateapiproxies","/home/matheus/smell-and-machine-learning/repositories/asksven_BetterBatteryStats/app/src/main/java/com/asksven/android/common/privateapiproxies/BatteryStatsProxy.java","3","78","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.asksven.android.common.privateapiproxies","/home/matheus/smell-and-machine-learning/repositories/asksven_BetterBatteryStats/app/src/main/java/com/asksven/android/common/privateapiproxies/BatteryStatsProxy.java","3","79","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.asksven.android.common.privateapiproxies","/home/matheus/smell-and-machine-learning/repositories/asksven_BetterBatteryStats/app/src/main/java/com/asksven/android/common/privateapiproxies/BatteryStatsProxy.java","3","137","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","com.asksven.android.common.privateapiproxies","/home/matheus/smell-and-machine-learning/repositories/asksven_BetterBatteryStats/app/src/main/java/com/asksven/android/common/privateapiproxies/BatteryStatsProxy.java","3","318","Avoid really long methods.","Design","ExcessiveMethodLength"
"5","com.asksven.android.common.privateapiproxies","/home/matheus/smell-and-machine-learning/repositories/asksven_BetterBatteryStats/app/src/main/java/com/asksven/android/common/privateapiproxies/BatteryStatsProxy.java","3","1344","Avoid really long methods.","Design","ExcessiveMethodLength"
"6","com.asksven.android.common.privateapiproxies","/home/matheus/smell-and-machine-learning/repositories/asksven_BetterBatteryStats/app/src/main/java/com/asksven/android/common/privateapiproxies/BatteryStatsProxy.java","3","1495","Avoid really long methods.","Design","ExcessiveMethodLength"
"7","com.asksven.android.common.privateapiproxies","/home/matheus/smell-and-machine-learning/repositories/asksven_BetterBatteryStats/app/src/main/java/com/asksven/android/common/privateapiproxies/BatteryStatsProxy.java","3","2432","Avoid really long methods.","Design","ExcessiveMethodLength"
"8","com.asksven.android.common.privateapiproxies","/home/matheus/smell-and-machine-learning/repositories/asksven_BetterBatteryStats/app/src/main/java/com/asksven/android/common/privateapiproxies/BatteryStatsProxy.java","3","2601","Avoid really long methods.","Design","ExcessiveMethodLength"
"9","com.asksven.android.common.privateapiproxies","/home/matheus/smell-and-machine-learning/repositories/asksven_BetterBatteryStats/app/src/main/java/com/asksven/android/common/privateapiproxies/BatteryStatsProxy.java","3","2777","Avoid really long methods.","Design","ExcessiveMethodLength"
"10","com.asksven.android.common.privateapiproxies","/home/matheus/smell-and-machine-learning/repositories/asksven_BetterBatteryStats/app/src/main/java/com/asksven/android/common/privateapiproxies/BatteryStatsProxy.java","3","3202","Avoid really long methods.","Design","ExcessiveMethodLength"
"11","com.asksven.android.common.privateapiproxies","/home/matheus/smell-and-machine-learning/repositories/asksven_BetterBatteryStats/app/src/main/java/com/asksven/android/common/privateapiproxies/BatteryStatsProxy.java","3","3371","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.asksven.android.common.privateapiproxies","/home/matheus/smell-and-machine-learning/repositories/asksven_BetterBatteryStats/app/src/main/java/com/asksven/android/common/privateapiproxies/HistoryItem.java","3","86","Avoid long parameter lists.","Design","ExcessiveParameterList"
"2","com.asksven.android.common.privateapiproxies","/home/matheus/smell-and-machine-learning/repositories/asksven_BetterBatteryStats/app/src/main/java/com/asksven/android/common/privateapiproxies/HistoryItem.java","3","444","The class 'BitDescription' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=0, WMC=2)","Design","DataClass"
"1","com.asksven.android.common.privateapiproxies","/home/matheus/smell-and-machine-learning/repositories/asksven_BetterBatteryStats/app/src/main/java/com/asksven/android/common/privateapiproxies/HistoryItemIcs.java","3","75","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","com.asksven.android.common.privateapiproxies","/home/matheus/smell-and-machine-learning/repositories/asksven_BetterBatteryStats/app/src/main/java/com/asksven/android/common/privateapiproxies/HistoryItemJellyBean.java","3","77","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","com.asksven.android.common.privateapiproxies","/home/matheus/smell-and-machine-learning/repositories/asksven_BetterBatteryStats/app/src/main/java/com/asksven/android/common/privateapiproxies/HistoryItemKitKat.java","3","78","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","com.asksven.android.common.privateapiproxies","/home/matheus/smell-and-machine-learning/repositories/asksven_BetterBatteryStats/app/src/main/java/com/asksven/android/common/privateapiproxies/HistoryItemLolipop.java","3","90","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","com.asksven.android.common.privateapiproxies","/home/matheus/smell-and-machine-learning/repositories/asksven_BetterBatteryStats/app/src/main/java/com/asksven/android/common/privateapiproxies/HistoryItemMarshmallow.java","3","97","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","com.asksven.android.common.privateapiproxies","/home/matheus/smell-and-machine-learning/repositories/asksven_BetterBatteryStats/app/src/main/java/com/asksven/android/common/privateapiproxies/HistoryItemNougat.java","3","101","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","com.asksven.android.common.privateapiproxies","/home/matheus/smell-and-machine-learning/repositories/asksven_BetterBatteryStats/app/src/main/java/com/asksven/android/common/privateapiproxies/HistoryItemOreo.java","3","100","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","com.asksven.android.common.privateapiproxies","/home/matheus/smell-and-machine-learning/repositories/asksven_BetterBatteryStats/app/src/main/java/com/asksven/android/common/privateapiproxies/NativeKernelWakelock.java","3","130","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","com.asksven.android.common.utils","/home/matheus/smell-and-machine-learning/repositories/asksven_BetterBatteryStats/app/src/main/java/com/asksven/android/common/utils/DateUtils.java","3","28","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.asksven.android.contrib","/home/matheus/smell-and-machine-learning/repositories/asksven_BetterBatteryStats/app/src/main/java/com/asksven/android/contrib/Shell.java","3","41","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.asksven.android.contrib","/home/matheus/smell-and-machine-learning/repositories/asksven_BetterBatteryStats/app/src/main/java/com/asksven/android/contrib/Shell.java","3","607","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.asksven.android.contrib","/home/matheus/smell-and-machine-learning/repositories/asksven_BetterBatteryStats/app/src/main/java/com/asksven/android/contrib/Shell.java","3","966","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.asksven.betterbatterystats","/home/matheus/smell-and-machine-learning/repositories/asksven_BetterBatteryStats/app/src/main/java/com/asksven/betterbatterystats/StatsActivity.java","3","90","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.asksven.betterbatterystats","/home/matheus/smell-and-machine-learning/repositories/asksven_BetterBatteryStats/app/src/main/java/com/asksven/betterbatterystats/StatsActivity.java","3","92","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.asksven.betterbatterystats","/home/matheus/smell-and-machine-learning/repositories/asksven_BetterBatteryStats/app/src/main/java/com/asksven/betterbatterystats/StatsActivity.java","3","144","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","com.asksven.betterbatterystats","/home/matheus/smell-and-machine-learning/repositories/asksven_BetterBatteryStats/app/src/main/java/com/asksven/betterbatterystats/StatsActivity.java","3","473","Avoid really long methods.","Design","ExcessiveMethodLength"
"5","com.asksven.betterbatterystats","/home/matheus/smell-and-machine-learning/repositories/asksven_BetterBatteryStats/app/src/main/java/com/asksven/betterbatterystats/StatsActivity.java","3","773","Avoid really long methods.","Design","ExcessiveMethodLength"
"6","com.asksven.betterbatterystats","/home/matheus/smell-and-machine-learning/repositories/asksven_BetterBatteryStats/app/src/main/java/com/asksven/betterbatterystats/StatsActivity.java","3","1154","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.asksven.betterbatterystats","/home/matheus/smell-and-machine-learning/repositories/asksven_BetterBatteryStats/app/src/main/java/com/asksven/betterbatterystats/SystemAppActivity.java","3","133","Avoid really long methods.","Design","ExcessiveMethodLength"
