"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.mozilla.mozstumbler.client","/home/matheus/smell-and-machine-learning/repositories/MozStumbler/android/src/main/java/org/mozilla/mozstumbler/client/MainApp.java","3","83","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.mozilla.mozstumbler.client.mapview","/home/matheus/smell-and-machine-learning/repositories/MozStumbler/android/src/main/java/org/mozilla/mozstumbler/client/mapview/MapFragment.java","3","66","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.mozilla.mozstumbler.client.navdrawer","/home/matheus/smell-and-machine-learning/repositories/MozStumbler/android/src/main/java/org/mozilla/mozstumbler/client/navdrawer/MainDrawerActivity.java","3","47","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.mozilla.mozstumbler.client.serialize","/home/matheus/smell-and-machine-learning/repositories/MozStumbler/android/src/main/java/org/mozilla/mozstumbler/client/serialize/GPXFragment.java","3","41","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.mozilla.mozstumbler.client.serialize","/home/matheus/smell-and-machine-learning/repositories/MozStumbler/android/src/main/java/org/mozilla/mozstumbler/client/serialize/KMLFragment.java","3","41","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.mozilla.mozstumbler.client.subactivities","/home/matheus/smell-and-machine-learning/repositories/MozStumbler/android/src/main/java/org/mozilla/mozstumbler/client/subactivities/PreferencesScreen.java","3","50","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.mozilla.mozstumbler.client.subactivities","/home/matheus/smell-and-machine-learning/repositories/MozStumbler/android/src/main/java/org/mozilla/mozstumbler/client/subactivities/PreferencesScreen.java","3","279","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.mozilla.osmdroid.tileprovider","/home/matheus/smell-and-machine-learning/repositories/MozStumbler/android/src/main/java/org/mozilla/osmdroid/tileprovider/MapTile.java","3","12","The class 'MapTile' is suspected to be a Data Class (WOC=0.000%, NOPA=2, NOAM=3, WMC=4)","Design","DataClass"
"1","org.mozilla.osmdroid.util","/home/matheus/smell-and-machine-learning/repositories/MozStumbler/android/src/main/java/org/mozilla/osmdroid/util/GEMFFile.java","3","105","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.mozilla.osmdroid.util","/home/matheus/smell-and-machine-learning/repositories/MozStumbler/android/src/main/java/org/mozilla/osmdroid/util/GeoPoint.java","3","18","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
