"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.ale.openwatch","/home/matheus/smell-and-machine-learning/repositories/OpenWatch_OpenWatch-Android/app/OpenWatch/src/org/ale/openwatch/FancyLoginActivity.java","3","40","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.ale.openwatch","/home/matheus/smell-and-machine-learning/repositories/OpenWatch_OpenWatch-Android/app/OpenWatch/src/org/ale/openwatch/FeedFragmentActivity.java","3","66","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.ale.openwatch","/home/matheus/smell-and-machine-learning/repositories/OpenWatch_OpenWatch-Android/app/OpenWatch/src/org/ale/openwatch/FeedFragmentActivity.java","3","106","Avoid really long methods.","Design","ExcessiveMethodLength"
"3","org.ale.openwatch","/home/matheus/smell-and-machine-learning/repositories/OpenWatch_OpenWatch-Android/app/OpenWatch/src/org/ale/openwatch/FeedFragmentActivity.java","3","591","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.ale.openwatch","/home/matheus/smell-and-machine-learning/repositories/OpenWatch_OpenWatch-Android/app/OpenWatch/src/org/ale/openwatch/LoginActivity.java","3","42","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.ale.openwatch","/home/matheus/smell-and-machine-learning/repositories/OpenWatch_OpenWatch-Android/app/OpenWatch/src/org/ale/openwatch/OWMediaObjectViewActivity.java","3","49","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.ale.openwatch","/home/matheus/smell-and-machine-learning/repositories/OpenWatch_OpenWatch-Android/app/OpenWatch/src/org/ale/openwatch/OWMediaObjectViewActivity.java","3","351","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.ale.openwatch","/home/matheus/smell-and-machine-learning/repositories/OpenWatch_OpenWatch-Android/app/OpenWatch/src/org/ale/openwatch/OWMissionViewActivity.java","3","39","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.ale.openwatch","/home/matheus/smell-and-machine-learning/repositories/OpenWatch_OpenWatch-Android/app/OpenWatch/src/org/ale/openwatch/OWPhotoReviewActivity.java","3","27","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.ale.openwatch","/home/matheus/smell-and-machine-learning/repositories/OpenWatch_OpenWatch-Android/app/OpenWatch/src/org/ale/openwatch/OWTagArrayAdapter.java","3","45","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.ale.openwatch","/home/matheus/smell-and-machine-learning/repositories/OpenWatch_OpenWatch-Android/app/OpenWatch/src/org/ale/openwatch/OWUtils.java","3","45","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.ale.openwatch","/home/matheus/smell-and-machine-learning/repositories/OpenWatch_OpenWatch-Android/app/OpenWatch/src/org/ale/openwatch/OWUtils.java","3","168","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.ale.openwatch","/home/matheus/smell-and-machine-learning/repositories/OpenWatch_OpenWatch-Android/app/OpenWatch/src/org/ale/openwatch/RecorderActivity.java","3","40","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
