"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.primftpd.pojo","/home/matheus/smell-and-machine-learning/repositories/prim-ftpd/pftpd-pojo-lib/src/main/java/org/primftpd/pojo/LsOutputBean.java","3","5","The class 'LsOutputBean' is suspected to be a Data Class (WOC=13.043%, NOPA=0, NOAM=18, WMC=23)","Design","DataClass"
"2","org.primftpd.pojo","/home/matheus/smell-and-machine-learning/repositories/prim-ftpd/pftpd-pojo-lib/src/main/java/org/primftpd/pojo/LsOutputBean.java","3","61","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","org.primftpd.pojo","/home/matheus/smell-and-machine-learning/repositories/prim-ftpd/pftpd-pojo-lib/src/main/java/org/primftpd/pojo/LsOutputBuilder.java","3","5","The class 'LsOutputBuilder' is suspected to be a Data Class (WOC=15.000%, NOPA=0, NOAM=34, WMC=41)","Design","DataClass"
"1","org.primftpd.pojo","/home/matheus/smell-and-machine-learning/repositories/prim-ftpd/pftpd-pojo-lib/src/main/java/org/primftpd/pojo/LsOutputParser.java","3","36","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.primftpd.pojo","/home/matheus/smell-and-machine-learning/repositories/prim-ftpd/pftpd-pojo-lib/src/test/java/org/primftpd/pojo/KeyParserTests.java","3","16","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.primftpd","/home/matheus/smell-and-machine-learning/repositories/prim-ftpd/primitiveFTPd/src/org/primftpd/PrefsBean.java","3","9","The class 'PrefsBean' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=18, WMC=19)","Design","DataClass"
"2","org.primftpd","/home/matheus/smell-and-machine-learning/repositories/prim-ftpd/primitiveFTPd/src/org/primftpd/PrefsBean.java","3","32","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","org.primftpd","/home/matheus/smell-and-machine-learning/repositories/prim-ftpd/primitiveFTPd/src/org/primftpd/PrimitiveFtpdActivity.java","3","62","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.primftpd.log","/home/matheus/smell-and-machine-learning/repositories/prim-ftpd/primitiveFTPd/src/org/primftpd/log/CsvLogger.java","3","13","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.primftpd.prefs","/home/matheus/smell-and-machine-learning/repositories/prim-ftpd/primitiveFTPd/src/org/primftpd/prefs/LoadPrefsUtil.java","3","15","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.primftpd.services","/home/matheus/smell-and-machine-learning/repositories/prim-ftpd/primitiveFTPd/src/org/primftpd/services/SshServerService.java","3","89","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.primftpd.util","/home/matheus/smell-and-machine-learning/repositories/prim-ftpd/primitiveFTPd/src/org/primftpd/util/StringUtils.java","3","108","Avoid really long classes.","Design","ExcessiveClassLength"
"2","org.primftpd.util","/home/matheus/smell-and-machine-learning/repositories/prim-ftpd/primitiveFTPd/src/org/primftpd/util/StringUtils.java","3","108","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","org.primftpd.util","/home/matheus/smell-and-machine-learning/repositories/prim-ftpd/primitiveFTPd/src/org/primftpd/util/StringUtils.java","3","1894","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","org.primftpd.util","/home/matheus/smell-and-machine-learning/repositories/prim-ftpd/primitiveFTPd/src/org/primftpd/util/StringUtils.java","3","3786","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.slf4j","/home/matheus/smell-and-machine-learning/repositories/prim-ftpd/slf4j-android-1.6.1-RC1/src/org/slf4j/Logger.java","3","59","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.slf4j.helpers","/home/matheus/smell-and-machine-learning/repositories/prim-ftpd/slf4j-android-1.6.1-RC1/src/org/slf4j/helpers/FormattingTuple.java","3","29","The class 'FormattingTuple' is suspected to be a Data Class (WOC=0.000%, NOPA=1, NOAM=3, WMC=10)","Design","DataClass"
"1","org.slf4j.helpers","/home/matheus/smell-and-machine-learning/repositories/prim-ftpd/slf4j-android-1.6.1-RC1/src/org/slf4j/helpers/MarkerIgnoringBase.java","3","39","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.slf4j.helpers","/home/matheus/smell-and-machine-learning/repositories/prim-ftpd/slf4j-android-1.6.1-RC1/src/org/slf4j/helpers/MessageFormatter.java","3","98","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.slf4j.helpers","/home/matheus/smell-and-machine-learning/repositories/prim-ftpd/slf4j-android-1.6.1-RC1/src/org/slf4j/helpers/NOPLogger.java","3","45","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.slf4j.impl","/home/matheus/smell-and-machine-learning/repositories/prim-ftpd/slf4j-android-1.6.1-RC1/src/org/slf4j/impl/AndroidLogger.java","3","58","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
