"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.u17od.upm","/home/matheus/smell-and-machine-learning/repositories/adrian_upm-android/src/com/u17od/upm/EnterMasterPassword.java","3","49","The class 'EnterMasterPassword' is suspected to be a Data Class (WOC=0.000%, NOPA=2, NOAM=2, WMC=4)","Design","DataClass"
"1","com.u17od.upm","/home/matheus/smell-and-machine-learning/repositories/adrian_upm-android/src/com/u17od/upm/FullAccountList.java","3","51","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.u17od.upm","/home/matheus/smell-and-machine-learning/repositories/adrian_upm-android/src/com/u17od/upm/FullAccountList.java","3","230","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.u17od.upm","/home/matheus/smell-and-machine-learning/repositories/adrian_upm-android/src/com/u17od/upm/UPMApplication.java","3","43","The class 'UPMApplication' is suspected to be a Data Class (WOC=0.000%, NOPA=1, NOAM=5, WMC=15)","Design","DataClass"
"1","com.u17od.upm.database","/home/matheus/smell-and-machine-learning/repositories/adrian_upm-android/src/com/u17od/upm/database/AccountInformation.java","3","29","The class 'AccountInformation' is suspected to be a Data Class (WOC=6.667%, NOPA=0, NOAM=10, WMC=16)","Design","DataClass"
"1","com.u17od.upm.database","/home/matheus/smell-and-machine-learning/repositories/adrian_upm-android/src/com/u17od/upm/database/DatabaseHeader.java","3","28","The class 'DatabaseHeader' is suspected to be a Data Class (WOC=20.000%, NOPA=0, NOAM=6, WMC=11)","Design","DataClass"
"1","com.u17od.upm.database","/home/matheus/smell-and-machine-learning/repositories/adrian_upm-android/src/com/u17od/upm/database/DatabaseOptions.java","3","27","The class 'DatabaseOptions' is suspected to be a Data Class (WOC=14.286%, NOPA=0, NOAM=4, WMC=9)","Design","DataClass"
"1","com.u17od.upm.database","/home/matheus/smell-and-machine-learning/repositories/adrian_upm-android/src/com/u17od/upm/database/PasswordDatabase.java","3","113","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.u17od.upm.util","/home/matheus/smell-and-machine-learning/repositories/adrian_upm-android/src/com/u17od/upm/util/Base64.java","3","150","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.u17od.upm.util","/home/matheus/smell-and-machine-learning/repositories/adrian_upm-android/src/com/u17od/upm/util/Base64.java","3","151","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.u17od.upm.util","/home/matheus/smell-and-machine-learning/repositories/adrian_upm-android/src/com/u17od/upm/util/Base64.java","3","886","Avoid really long methods.","Design","ExcessiveMethodLength"
