"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","net.micode.fileexplorer","/home/matheus/smell-and-machine-learning/repositories/MiCode_FileExplorer/src/net/micode/fileexplorer/FTPServerService.java","3","55","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","net.micode.fileexplorer","/home/matheus/smell-and-machine-learning/repositories/MiCode_FileExplorer/src/net/micode/fileexplorer/FTPServerService.java","3","290","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","net.micode.fileexplorer","/home/matheus/smell-and-machine-learning/repositories/MiCode_FileExplorer/src/net/micode/fileexplorer/FavoriteItem.java","3","22","The class 'FavoriteItem' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=0, WMC=2)","Design","DataClass"
"1","net.micode.fileexplorer","/home/matheus/smell-and-machine-learning/repositories/MiCode_FileExplorer/src/net/micode/fileexplorer/FileCategoryActivity.java","3","37","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.micode.fileexplorer","/home/matheus/smell-and-machine-learning/repositories/MiCode_FileExplorer/src/net/micode/fileexplorer/FileOperationHelper.java","3","31","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.micode.fileexplorer","/home/matheus/smell-and-machine-learning/repositories/MiCode_FileExplorer/src/net/micode/fileexplorer/FileViewActivity.java","3","50","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.micode.fileexplorer","/home/matheus/smell-and-machine-learning/repositories/MiCode_FileExplorer/src/net/micode/fileexplorer/FileViewInteractionHub.java","3","65","Avoid really long classes.","Design","ExcessiveClassLength"
"2","net.micode.fileexplorer","/home/matheus/smell-and-machine-learning/repositories/MiCode_FileExplorer/src/net/micode/fileexplorer/FileViewInteractionHub.java","3","65","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.micode.fileexplorer","/home/matheus/smell-and-machine-learning/repositories/MiCode_FileExplorer/src/net/micode/fileexplorer/IFileInteractionListener.java","3","28","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.micode.fileexplorer","/home/matheus/smell-and-machine-learning/repositories/MiCode_FileExplorer/src/net/micode/fileexplorer/Util.java","3","48","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.swiftp","/home/matheus/smell-and-machine-learning/repositories/MiCode_FileExplorer/src/org/swiftp/CmdAbstractStore.java","3","42","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.swiftp","/home/matheus/smell-and-machine-learning/repositories/MiCode_FileExplorer/src/org/swiftp/CmdRETR.java","3","38","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.swiftp","/home/matheus/smell-and-machine-learning/repositories/MiCode_FileExplorer/src/org/swiftp/ProxyConnector.java","3","45","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.swiftp","/home/matheus/smell-and-machine-learning/repositories/MiCode_FileExplorer/src/org/swiftp/ProxyDataSocketInfo.java","3","24","The class 'ProxyDataSocketInfo' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=5)","Design","DataClass"
"1","org.swiftp","/home/matheus/smell-and-machine-learning/repositories/MiCode_FileExplorer/src/org/swiftp/SessionThread.java","3","38","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
