"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.sufficientlysecure.keychain","/home/matheus/smell-and-machine-learning/repositories/apg/OpenKeychain/src/androidTest/java/org/sufficientlysecure/keychain/CreateKeyActivityTest.java","3","70","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","android.support.v4.widget","/home/matheus/smell-and-machine-learning/repositories/apg/OpenKeychain/src/main/java/android/support/v4/widget/NoScrollableSwipeRefreshLayout.java","3","42","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.sufficientlysecure.keychain.operations","/home/matheus/smell-and-machine-learning/repositories/apg/OpenKeychain/src/main/java/org/sufficientlysecure/keychain/operations/CertifyOperation.java","3","67","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.sufficientlysecure.keychain.operations","/home/matheus/smell-and-machine-learning/repositories/apg/OpenKeychain/src/main/java/org/sufficientlysecure/keychain/operations/ImportExportOperation.java","3","168","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","org.sufficientlysecure.keychain.operations","/home/matheus/smell-and-machine-learning/repositories/apg/OpenKeychain/src/main/java/org/sufficientlysecure/keychain/operations/ImportExportOperation.java","3","456","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.sufficientlysecure.keychain.operations","/home/matheus/smell-and-machine-learning/repositories/apg/OpenKeychain/src/main/java/org/sufficientlysecure/keychain/operations/SignEncryptOperation.java","3","65","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.sufficientlysecure.keychain.operations.results","/home/matheus/smell-and-machine-learning/repositories/apg/OpenKeychain/src/main/java/org/sufficientlysecure/keychain/operations/results/OperationResult.java","3","114","The class 'LogEntryParcel' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=0, WMC=2)","Design","DataClass"
"1","org.sufficientlysecure.keychain.pgp","/home/matheus/smell-and-machine-learning/repositories/apg/OpenKeychain/src/main/java/org/sufficientlysecure/keychain/pgp/PgpDecryptVerify.java","3","79","Avoid really long classes.","Design","ExcessiveClassLength"
"2","org.sufficientlysecure.keychain.pgp","/home/matheus/smell-and-machine-learning/repositories/apg/OpenKeychain/src/main/java/org/sufficientlysecure/keychain/pgp/PgpDecryptVerify.java","3","79","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","org.sufficientlysecure.keychain.pgp","/home/matheus/smell-and-machine-learning/repositories/apg/OpenKeychain/src/main/java/org/sufficientlysecure/keychain/pgp/PgpDecryptVerify.java","3","177","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","org.sufficientlysecure.keychain.pgp","/home/matheus/smell-and-machine-learning/repositories/apg/OpenKeychain/src/main/java/org/sufficientlysecure/keychain/pgp/PgpDecryptVerify.java","3","309","Avoid really long methods.","Design","ExcessiveMethodLength"
