"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","app.openconnect","/home/matheus/smell-and-machine-learning/repositories/ics-openconnect/app/src/main/java/app/openconnect/AuthFormHandler.java","3","55","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","app.openconnect","/home/matheus/smell-and-machine-learning/repositories/ics-openconnect/app/src/main/java/app/openconnect/AuthFormHandler.java","3","400","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","app.openconnect","/home/matheus/smell-and-machine-learning/repositories/ics-openconnect/app/src/main/java/app/openconnect/TokenImportActivity.java","3","52","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","app.openconnect.api","/home/matheus/smell-and-machine-learning/repositories/ics-openconnect/app/src/main/java/app/openconnect/api/APIVpnProfile.java","3","31","The class 'APIVpnProfile' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=0, WMC=2)","Design","DataClass"
"1","app.openconnect.api","/home/matheus/smell-and-machine-learning/repositories/ics-openconnect/app/src/main/java/app/openconnect/api/ExternalOpenVPNService.java","3","256","The class 'UpdateMessage' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=0, WMC=1)","Design","DataClass"
"1","app.openconnect.core","/home/matheus/smell-and-machine-learning/repositories/ics-openconnect/app/src/main/java/app/openconnect/core/CertWarningDialog.java","3","33","The class 'CertWarningDialog' is suspected to be a Data Class (WOC=0.000%, NOPA=6, NOAM=0, WMC=1)","Design","DataClass"
"1","app.openconnect.core","/home/matheus/smell-and-machine-learning/repositories/ics-openconnect/app/src/main/java/app/openconnect/core/OpenConnectManagementThread.java","3","59","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","app.openconnect.core","/home/matheus/smell-and-machine-learning/repositories/ics-openconnect/app/src/main/java/app/openconnect/core/OpenVpnService.java","3","56","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","app.openconnect.fragments","/home/matheus/smell-and-machine-learning/repositories/ics-openconnect/app/src/main/java/app/openconnect/fragments/TokenDiagFragment.java","3","61","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","app.openconnect.fragments","/home/matheus/smell-and-machine-learning/repositories/ics-openconnect/app/src/main/java/app/openconnect/fragments/VPNProfileList.java","3","68","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.stericson.RootTools","/home/matheus/smell-and-machine-learning/repositories/ics-openconnect/app/src/main/java/com/stericson/RootTools/RootTools.java","3","46","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.stericson.RootTools.execution","/home/matheus/smell-and-machine-learning/repositories/ics-openconnect/app/src/main/java/com/stericson/RootTools/execution/Shell.java","3","33","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.stericson.RootTools.internal","/home/matheus/smell-and-machine-learning/repositories/ics-openconnect/app/src/main/java/com/stericson/RootTools/internal/RootToolsInternalMethods.java","3","55","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.stericson.RootTools.internal","/home/matheus/smell-and-machine-learning/repositories/ics-openconnect/app/src/main/java/com/stericson/RootTools/internal/RootToolsInternalMethods.java","3","55","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
