"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","de.geeksfactory.opacclient.apis","/home/matheus/smell-and-machine-learning/repositories/opacclient/opacclient/libopac/src/main/java/de/geeksfactory/opacclient/apis/Adis.java","3","58","Avoid really long classes.","Design","ExcessiveClassLength"
"2","de.geeksfactory.opacclient.apis","/home/matheus/smell-and-machine-learning/repositories/opacclient/opacclient/libopac/src/main/java/de/geeksfactory/opacclient/apis/Adis.java","3","58","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","de.geeksfactory.opacclient.apis","/home/matheus/smell-and-machine-learning/repositories/opacclient/opacclient/libopac/src/main/java/de/geeksfactory/opacclient/apis/Adis.java","3","447","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","de.geeksfactory.opacclient.apis","/home/matheus/smell-and-machine-learning/repositories/opacclient/opacclient/libopac/src/main/java/de/geeksfactory/opacclient/apis/Adis.java","3","674","Avoid really long methods.","Design","ExcessiveMethodLength"
"5","de.geeksfactory.opacclient.apis","/home/matheus/smell-and-machine-learning/repositories/opacclient/opacclient/libopac/src/main/java/de/geeksfactory/opacclient/apis/Adis.java","3","789","Avoid really long methods.","Design","ExcessiveMethodLength"
"6","de.geeksfactory.opacclient.apis","/home/matheus/smell-and-machine-learning/repositories/opacclient/opacclient/libopac/src/main/java/de/geeksfactory/opacclient/apis/Adis.java","3","1301","Avoid really long methods.","Design","ExcessiveMethodLength"
"7","de.geeksfactory.opacclient.apis","/home/matheus/smell-and-machine-learning/repositories/opacclient/opacclient/libopac/src/main/java/de/geeksfactory/opacclient/apis/Adis.java","3","1655","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","de.geeksfactory.opacclient.apis","/home/matheus/smell-and-machine-learning/repositories/opacclient/opacclient/libopac/src/main/java/de/geeksfactory/opacclient/apis/ApacheBaseApi.java","3","31","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.geeksfactory.opacclient.apis","/home/matheus/smell-and-machine-learning/repositories/opacclient/opacclient/libopac/src/main/java/de/geeksfactory/opacclient/apis/BaseApi.java","3","60","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.geeksfactory.opacclient.apis","/home/matheus/smell-and-machine-learning/repositories/opacclient/opacclient/libopac/src/main/java/de/geeksfactory/opacclient/apis/BiBer1992.java","3","72","Avoid really long classes.","Design","ExcessiveClassLength"
