"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","cgeo.geocaching","/home/matheus/smell-and-machine-learning/repositories/c-geo-opensource/main/src/cgeo/geocaching/AbstractDialogFragment.java","3","45","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","cgeo.geocaching","/home/matheus/smell-and-machine-learning/repositories/c-geo-opensource/main/src/cgeo/geocaching/CacheDetailActivity.java","3","173","Avoid really long classes.","Design","ExcessiveClassLength"
"2","cgeo.geocaching","/home/matheus/smell-and-machine-learning/repositories/c-geo-opensource/main/src/cgeo/geocaching/CacheDetailActivity.java","3","174","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","cgeo.geocaching","/home/matheus/smell-and-machine-learning/repositories/c-geo-opensource/main/src/cgeo/geocaching/CacheDetailActivity.java","3","229","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","cgeo.geocaching","/home/matheus/smell-and-machine-learning/repositories/c-geo-opensource/main/src/cgeo/geocaching/CacheDetailActivity.java","3","479","Avoid really long methods.","Design","ExcessiveMethodLength"
"5","cgeo.geocaching","/home/matheus/smell-and-machine-learning/repositories/c-geo-opensource/main/src/cgeo/geocaching/CacheDetailActivity.java","3","1086","Avoid really long methods.","Design","ExcessiveMethodLength"
"6","cgeo.geocaching","/home/matheus/smell-and-machine-learning/repositories/c-geo-opensource/main/src/cgeo/geocaching/CacheDetailActivity.java","3","1559","Avoid really long methods.","Design","ExcessiveMethodLength"
"7","cgeo.geocaching","/home/matheus/smell-and-machine-learning/repositories/c-geo-opensource/main/src/cgeo/geocaching/CacheDetailActivity.java","3","1898","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","cgeo.geocaching","/home/matheus/smell-and-machine-learning/repositories/c-geo-opensource/main/src/cgeo/geocaching/CacheListActivity.java","3","135","Avoid really long classes.","Design","ExcessiveClassLength"
"2","cgeo.geocaching","/home/matheus/smell-and-machine-learning/repositories/c-geo-opensource/main/src/cgeo/geocaching/CacheListActivity.java","3","135","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","cgeo.geocaching","/home/matheus/smell-and-machine-learning/repositories/c-geo-opensource/main/src/cgeo/geocaching/CacheListActivity.java","3","829","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","cgeo.geocaching","/home/matheus/smell-and-machine-learning/repositories/c-geo-opensource/main/src/cgeo/geocaching/CacheListActivity.java","3","1878","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","cgeo.geocaching","/home/matheus/smell-and-machine-learning/repositories/c-geo-opensource/main/src/cgeo/geocaching/CompassActivity.java","3","44","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","cgeo.geocaching","/home/matheus/smell-and-machine-learning/repositories/c-geo-opensource/main/src/cgeo/geocaching/EditWaypointActivity.java","3","74","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","cgeo.geocaching","/home/matheus/smell-and-machine-learning/repositories/c-geo-opensource/main/src/cgeo/geocaching/MainActivity.java","3","77","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","cgeo.geocaching","/home/matheus/smell-and-machine-learning/repositories/c-geo-opensource/main/src/cgeo/geocaching/NavigateAnyPointActivity.java","3","53","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","cgeo.geocaching","/home/matheus/smell-and-machine-learning/repositories/c-geo-opensource/main/src/cgeo/geocaching/SearchActivity.java","3","43","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","cgeo.geocaching","/home/matheus/smell-and-machine-learning/repositories/c-geo-opensource/main/src/cgeo/geocaching/SearchActivity.java","3","191","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","cgeo.geocaching","/home/matheus/smell-and-machine-learning/repositories/c-geo-opensource/main/src/cgeo/geocaching/TrackableActivity.java","3","71","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","cgeo.geocaching","/home/matheus/smell-and-machine-learning/repositories/c-geo-opensource/main/src/cgeo/geocaching/TrackableActivity.java","3","429","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","cgeo.geocaching.activity","/home/matheus/smell-and-machine-learning/repositories/c-geo-opensource/main/src/cgeo/geocaching/activity/AbstractActivity.java","3","40","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","cgeo.geocaching.activity","/home/matheus/smell-and-machine-learning/repositories/c-geo-opensource/main/src/cgeo/geocaching/activity/ActivityMixin.java","3","28","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","cgeo.geocaching.connector","/home/matheus/smell-and-machine-learning/repositories/c-geo-opensource/main/src/cgeo/geocaching/connector/AbstractConnector.java","3","37","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","cgeo.geocaching.connector","/home/matheus/smell-and-machine-learning/repositories/c-geo-opensource/main/src/cgeo/geocaching/connector/AbstractLogin.java","3","19","The class 'AbstractLogin' is suspected to be a Data Class (WOC=16.667%, NOPA=0, NOAM=5, WMC=12)","Design","DataClass"
"1","cgeo.geocaching.connector.gc","/home/matheus/smell-and-machine-learning/repositories/c-geo-opensource/main/src/cgeo/geocaching/connector/gc/GCConnector.java","3","57","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","cgeo.geocaching.connector.gc","/home/matheus/smell-and-machine-learning/repositories/c-geo-opensource/main/src/cgeo/geocaching/connector/gc/GCLogin.java","3","42","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","cgeo.geocaching.connector.gc","/home/matheus/smell-and-machine-learning/repositories/c-geo-opensource/main/src/cgeo/geocaching/connector/gc/GCMap.java","3","124","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","cgeo.geocaching.connector.gc","/home/matheus/smell-and-machine-learning/repositories/c-geo-opensource/main/src/cgeo/geocaching/connector/gc/GCParser.java","3","84","Avoid really long classes.","Design","ExcessiveClassLength"
"2","cgeo.geocaching.connector.gc","/home/matheus/smell-and-machine-learning/repositories/c-geo-opensource/main/src/cgeo/geocaching/connector/gc/GCParser.java","3","84","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","cgeo.geocaching.connector.gc","/home/matheus/smell-and-machine-learning/repositories/c-geo-opensource/main/src/cgeo/geocaching/connector/gc/GCParser.java","3","102","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","cgeo.geocaching.connector.gc","/home/matheus/smell-and-machine-learning/repositories/c-geo-opensource/main/src/cgeo/geocaching/connector/gc/GCParser.java","3","391","Avoid really long methods.","Design","ExcessiveMethodLength"
"5","cgeo.geocaching.connector.gc","/home/matheus/smell-and-machine-learning/repositories/c-geo-opensource/main/src/cgeo/geocaching/connector/gc/GCParser.java","3","1342","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","cgeo.geocaching.connector.gc","/home/matheus/smell-and-machine-learning/repositories/c-geo-opensource/main/src/cgeo/geocaching/connector/gc/GCWebAPI.java","3","42","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","cgeo.geocaching.connector.gc","/home/matheus/smell-and-machine-learning/repositories/c-geo-opensource/main/src/cgeo/geocaching/connector/gc/IconDecoder.java","3","14","Avoid really long classes.","Design","ExcessiveClassLength"
"2","cgeo.geocaching.connector.gc","/home/matheus/smell-and-machine-learning/repositories/c-geo-opensource/main/src/cgeo/geocaching/connector/gc/IconDecoder.java","3","33","Avoid really long methods.","Design","ExcessiveMethodLength"
"3","cgeo.geocaching.connector.gc","/home/matheus/smell-and-machine-learning/repositories/c-geo-opensource/main/src/cgeo/geocaching/connector/gc/IconDecoder.java","3","183","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","cgeo.geocaching.connector.gc","/home/matheus/smell-and-machine-learning/repositories/c-geo-opensource/main/src/cgeo/geocaching/connector/gc/IconDecoder.java","3","557","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","cgeo.geocaching.connector.gc","/home/matheus/smell-and-machine-learning/repositories/c-geo-opensource/main/src/cgeo/geocaching/connector/gc/Tile.java","3","32","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","cgeo.geocaching.connector.oc","/home/matheus/smell-and-machine-learning/repositories/c-geo-opensource/main/src/cgeo/geocaching/connector/oc/OCApiLiveConnector.java","3","37","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","cgeo.geocaching.connector.oc","/home/matheus/smell-and-machine-learning/repositories/c-geo-opensource/main/src/cgeo/geocaching/connector/oc/OCApiLiveConnector.java","3","45","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","cgeo.geocaching.connector.oc","/home/matheus/smell-and-machine-learning/repositories/c-geo-opensource/main/src/cgeo/geocaching/connector/oc/OCAuthParams.java","3","12","The class 'OCAuthParams' is suspected to be a Data Class (WOC=0.000%, NOPA=10, NOAM=0, WMC=1)","Design","DataClass"
"2","cgeo.geocaching.connector.oc","/home/matheus/smell-and-machine-learning/repositories/c-geo-opensource/main/src/cgeo/geocaching/connector/oc/OCAuthParams.java","3","45","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","cgeo.geocaching.connector.oc","/home/matheus/smell-and-machine-learning/repositories/c-geo-opensource/main/src/cgeo/geocaching/connector/oc/OkapiClient.java","3","81","Avoid really long classes.","Design","ExcessiveClassLength"
"2","cgeo.geocaching.connector.oc","/home/matheus/smell-and-machine-learning/repositories/c-geo-opensource/main/src/cgeo/geocaching/connector/oc/OkapiClient.java","3","81","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","cgeo.geocaching.connector.su","/home/matheus/smell-and-machine-learning/repositories/c-geo-opensource/main/src/cgeo/geocaching/connector/su/GeocachingSuParser.java","3","74","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","cgeo.geocaching.connector.trackable","/home/matheus/smell-and-machine-learning/repositories/c-geo-opensource/main/src/cgeo/geocaching/connector/trackable/GeokretyConnector.java","3","39","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","cgeo.geocaching.connector.trackable","/home/matheus/smell-and-machine-learning/repositories/c-geo-opensource/main/src/cgeo/geocaching/connector/trackable/GeokretyParser.java","3","68","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","cgeo.geocaching.files","/home/matheus/smell-and-machine-learning/repositories/c-geo-opensource/main/src/cgeo/geocaching/files/GPXParser.java","3","62","Avoid really long classes.","Design","ExcessiveClassLength"
"2","cgeo.geocaching.files","/home/matheus/smell-and-machine-learning/repositories/c-geo-opensource/main/src/cgeo/geocaching/files/GPXParser.java","3","62","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","cgeo.geocaching.files","/home/matheus/smell-and-machine-learning/repositories/c-geo-opensource/main/src/cgeo/geocaching/files/GPXParser.java","3","193","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","cgeo.geocaching.files","/home/matheus/smell-and-machine-learning/repositories/c-geo-opensource/main/src/cgeo/geocaching/files/GPXParser.java","3","867","Avoid really long methods.","Design","ExcessiveMethodLength"
