"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.epstudios.epmobile","/home/matheus/smell-and-machine-learning/repositories/epmobile/app/src/main/java/org/epstudios/epmobile/Brugada.java","3","31","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.epstudios.epmobile","/home/matheus/smell-and-machine-learning/repositories/epmobile/app/src/main/java/org/epstudios/epmobile/BrugadaMorphologyCriteria.java","3","38","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.epstudios.epmobile","/home/matheus/smell-and-machine-learning/repositories/epmobile/app/src/main/java/org/epstudios/epmobile/CmsIcdModel.java","3","27","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.epstudios.epmobile","/home/matheus/smell-and-machine-learning/repositories/epmobile/app/src/main/java/org/epstudios/epmobile/CmsIcdModel.java","3","49","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","org.epstudios.epmobile","/home/matheus/smell-and-machine-learning/repositories/epmobile/app/src/main/java/org/epstudios/epmobile/CmsIcdViewModel.java","3","38","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","org.epstudios.epmobile","/home/matheus/smell-and-machine-learning/repositories/epmobile/app/src/main/java/org/epstudios/epmobile/DiagnosisList.java","3","12","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.epstudios.epmobile","/home/matheus/smell-and-machine-learning/repositories/epmobile/app/src/main/java/org/epstudios/epmobile/IbwCalculator.java","3","22","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.epstudios.epmobile","/home/matheus/smell-and-machine-learning/repositories/epmobile/app/src/main/java/org/epstudios/epmobile/QtcCalculator.java","3","21","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.epstudios.epmobile","/home/matheus/smell-and-machine-learning/repositories/epmobile/app/src/main/java/org/epstudios/epmobile/QtcIvcdResults.java","3","31","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.epstudios.epmobile","/home/matheus/smell-and-machine-learning/repositories/epmobile/app/src/main/java/org/epstudios/epmobile/RiskScoreList.java","3","12","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.epstudios.epmobile","/home/matheus/smell-and-machine-learning/repositories/epmobile/app/src/main/java/org/epstudios/epmobile/Warfarin.java","3","35","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","","/home/matheus/smell-and-machine-learning/repositories/epmobile/app/src/test/java/QtcCalculatorTest.java","3","24","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.epstudios.epmobile","/home/matheus/smell-and-machine-learning/repositories/epmobile/app/src/test/java/org/epstudios/epmobile/CmsIcdResultTest.java","3","30","Avoid really long methods.","Design","ExcessiveMethodLength"
