"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.google.android.apps.muzei.render","/home/matheus/smell-and-machine-learning/repositories/muzei/gl-wallpaper/src/main/java/com/google/android/apps/muzei/render/GLTextureView.java","3","44","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.google.android.apps.muzei.render","/home/matheus/smell-and-machine-learning/repositories/muzei/gl-wallpaper/src/main/java/com/google/android/apps/muzei/render/GLTextureView.java","3","44","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.google.android.apps.muzei.render","/home/matheus/smell-and-machine-learning/repositories/muzei/gl-wallpaper/src/main/java/com/google/android/apps/muzei/render/GLTextureView.java","3","760","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"4","com.google.android.apps.muzei.render","/home/matheus/smell-and-machine-learning/repositories/muzei/gl-wallpaper/src/main/java/com/google/android/apps/muzei/render/GLTextureView.java","3","997","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"5","com.google.android.apps.muzei.render","/home/matheus/smell-and-machine-learning/repositories/muzei/gl-wallpaper/src/main/java/com/google/android/apps/muzei/render/GLTextureView.java","3","1045","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","net.rbgrn.android.glwallpaperservice","/home/matheus/smell-and-machine-learning/repositories/muzei/gl-wallpaper/src/main/java/net/rbgrn/android/glwallpaperservice/GLWallpaperService.java","3","48","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","net.rbgrn.android.glwallpaperservice","/home/matheus/smell-and-machine-learning/repositories/muzei/gl-wallpaper/src/main/java/net/rbgrn/android/glwallpaperservice/GLWallpaperService.java","3","479","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","net.rbgrn.android.glwallpaperservice","/home/matheus/smell-and-machine-learning/repositories/muzei/gl-wallpaper/src/main/java/net/rbgrn/android/glwallpaperservice/GLWallpaperService.java","3","555","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.google.android.apps.muzei.api","/home/matheus/smell-and-machine-learning/repositories/muzei/muzei-api/src/main/java/com/google/android/apps/muzei/api/Artwork.java","3","342","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.google.android.apps.muzei.api","/home/matheus/smell-and-machine-learning/repositories/muzei/muzei-api/src/main/java/com/google/android/apps/muzei/api/MuzeiArtSource.java","3","211","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.google.android.apps.muzei.api.provider","/home/matheus/smell-and-machine-learning/repositories/muzei/muzei-api/src/main/java/com/google/android/apps/muzei/api/provider/Artwork.java","3","59","The class 'Artwork' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=8, WMC=15)","Design","DataClass"
"1","com.google.android.apps.muzei.api.provider","/home/matheus/smell-and-machine-learning/repositories/muzei/muzei-api/src/main/java/com/google/android/apps/muzei/api/provider/MuzeiArtProvider.java","3","190","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.google.android.apps.muzei.api.provider","/home/matheus/smell-and-machine-learning/repositories/muzei/muzei-api/src/main/java/com/google/android/apps/muzei/api/provider/MuzeiArtProvider.java","3","397","Avoid really long methods.","Design","ExcessiveMethodLength"
"3","com.google.android.apps.muzei.api.provider","/home/matheus/smell-and-machine-learning/repositories/muzei/muzei-api/src/main/java/com/google/android/apps/muzei/api/provider/MuzeiArtProvider.java","3","711","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.google.android.apps.muzei.api.provider","/home/matheus/smell-and-machine-learning/repositories/muzei/muzei-api/src/main/java/com/google/android/apps/muzei/api/provider/ProviderContract.java","3","102","Avoid really long methods.","Design","ExcessiveMethodLength"
