"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.eleybourn.bookcatalogue","/home/matheus/smell-and-machine-learning/repositories/eleybourn_Book-Catalogue/src/com/eleybourn/bookcatalogue/AdministrationFunctions.java","3","59","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.eleybourn.bookcatalogue","/home/matheus/smell-and-machine-learning/repositories/eleybourn_Book-Catalogue/src/com/eleybourn/bookcatalogue/AdministrationFunctions.java","3","107","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.eleybourn.bookcatalogue","/home/matheus/smell-and-machine-learning/repositories/eleybourn_Book-Catalogue/src/com/eleybourn/bookcatalogue/BcQueueManager.java","3","40","The class 'BcQueueManager' is suspected to be a Data Class (WOC=0.000%, NOPA=7, NOAM=0, WMC=2)","Design","DataClass"
"1","com.eleybourn.bookcatalogue","/home/matheus/smell-and-machine-learning/repositories/eleybourn_Book-Catalogue/src/com/eleybourn/bookcatalogue/BookCatalogueClassic.java","3","76","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.eleybourn.bookcatalogue","/home/matheus/smell-and-machine-learning/repositories/eleybourn_Book-Catalogue/src/com/eleybourn/bookcatalogue/BookCatalogueClassic.java","3","76","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.eleybourn.bookcatalogue","/home/matheus/smell-and-machine-learning/repositories/eleybourn_Book-Catalogue/src/com/eleybourn/bookcatalogue/BookCatalogueClassic.java","3","923","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","com.eleybourn.bookcatalogue","/home/matheus/smell-and-machine-learning/repositories/eleybourn_Book-Catalogue/src/com/eleybourn/bookcatalogue/BookCatalogueClassic.java","3","1033","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.eleybourn.bookcatalogue","/home/matheus/smell-and-machine-learning/repositories/eleybourn_Book-Catalogue/src/com/eleybourn/bookcatalogue/BookDetailsAbstract.java","3","51","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.eleybourn.bookcatalogue","/home/matheus/smell-and-machine-learning/repositories/eleybourn_Book-Catalogue/src/com/eleybourn/bookcatalogue/BookDetailsAbstract.java","3","145","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.eleybourn.bookcatalogue","/home/matheus/smell-and-machine-learning/repositories/eleybourn_Book-Catalogue/src/com/eleybourn/bookcatalogue/BookDetailsReadOnly.java","3","25","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.eleybourn.bookcatalogue","/home/matheus/smell-and-machine-learning/repositories/eleybourn_Book-Catalogue/src/com/eleybourn/bookcatalogue/BookEdit.java","3","69","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.eleybourn.bookcatalogue","/home/matheus/smell-and-machine-learning/repositories/eleybourn_Book-Catalogue/src/com/eleybourn/bookcatalogue/BookEdit.java","3","70","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.eleybourn.bookcatalogue","/home/matheus/smell-and-machine-learning/repositories/eleybourn_Book-Catalogue/src/com/eleybourn/bookcatalogue/BookEdit.java","3","112","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.eleybourn.bookcatalogue","/home/matheus/smell-and-machine-learning/repositories/eleybourn_Book-Catalogue/src/com/eleybourn/bookcatalogue/BookEditAnthology.java","3","61","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.eleybourn.bookcatalogue","/home/matheus/smell-and-machine-learning/repositories/eleybourn_Book-Catalogue/src/com/eleybourn/bookcatalogue/BookEditFields.java","3","65","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.eleybourn.bookcatalogue","/home/matheus/smell-and-machine-learning/repositories/eleybourn_Book-Catalogue/src/com/eleybourn/bookcatalogue/BookEditFields.java","3","97","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.eleybourn.bookcatalogue","/home/matheus/smell-and-machine-learning/repositories/eleybourn_Book-Catalogue/src/com/eleybourn/bookcatalogue/BookEditFragmentAbstract.java","3","46","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.eleybourn.bookcatalogue","/home/matheus/smell-and-machine-learning/repositories/eleybourn_Book-Catalogue/src/com/eleybourn/bookcatalogue/BookISBNSearch.java","3","60","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
