"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.byagowi.persiancalendar.entity","/home/matheus/smell-and-machine-learning/repositories/ebraminio_DroidPersianCalendar/PersianCalendar/src/main/java/com/byagowi/persiancalendar/entity/CityEntity.java","3","8","The class 'CityEntity' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=11, WMC=12)","Design","DataClass"
"2","com.byagowi.persiancalendar.entity","/home/matheus/smell-and-machine-learning/repositories/ebraminio_DroidPersianCalendar/PersianCalendar/src/main/java/com/byagowi/persiancalendar/entity/CityEntity.java","3","21","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","com.byagowi.persiancalendar.entity","/home/matheus/smell-and-machine-learning/repositories/ebraminio_DroidPersianCalendar/PersianCalendar/src/main/java/com/byagowi/persiancalendar/entity/DeviceCalendarEvent.java","3","7","The class 'DeviceCalendarEvent' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=6, WMC=7)","Design","DataClass"
"1","com.byagowi.persiancalendar.praytimes","/home/matheus/smell-and-machine-learning/repositories/ebraminio_DroidPersianCalendar/PersianCalendar/src/main/java/com/byagowi/persiancalendar/praytimes/PrayTimesCalculator.java","3","13","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.byagowi.persiancalendar.util","/home/matheus/smell-and-machine-learning/repositories/ebraminio_DroidPersianCalendar/PersianCalendar/src/main/java/com/byagowi/persiancalendar/util/UpdateUtils.java","3","50","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.byagowi.persiancalendar.util","/home/matheus/smell-and-machine-learning/repositories/ebraminio_DroidPersianCalendar/PersianCalendar/src/main/java/com/byagowi/persiancalendar/util/Utils.java","3","149","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.byagowi.persiancalendar.util","/home/matheus/smell-and-machine-learning/repositories/ebraminio_DroidPersianCalendar/PersianCalendar/src/main/java/com/byagowi/persiancalendar/util/Utils.java","3","149","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.byagowi.persiancalendar.util","/home/matheus/smell-and-machine-learning/repositories/ebraminio_DroidPersianCalendar/PersianCalendar/src/main/java/com/byagowi/persiancalendar/util/Utils.java","3","685","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.byagowi.persiancalendar.view.activity","/home/matheus/smell-and-machine-learning/repositories/ebraminio_DroidPersianCalendar/PersianCalendar/src/main/java/com/byagowi/persiancalendar/view/activity/MainActivity.java","3","87","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.byagowi.persiancalendar.view.activity","/home/matheus/smell-and-machine-learning/repositories/ebraminio_DroidPersianCalendar/PersianCalendar/src/main/java/com/byagowi/persiancalendar/view/activity/MainActivity.java","3","98","Avoid really long methods.","Design","ExcessiveMethodLength"
