"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.dmfs.tasks.contract","/home/matheus/smell-and-machine-learning/repositories/dmfs_tasks/opentasks-contract/src/main/java/org/dmfs/tasks/contract/TaskContract.java","3","48","Avoid really long classes.","Design","ExcessiveClassLength"
"1","org.dmfs.provider.tasks","/home/matheus/smell-and-machine-learning/repositories/dmfs_tasks/opentasks-provider/src/androidTest/java/org/dmfs/provider/tasks/TaskProviderTest.java","3","85","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.dmfs.provider.tasks","/home/matheus/smell-and-machine-learning/repositories/dmfs_tasks/opentasks-provider/src/main/java/org/dmfs/provider/tasks/FTSDatabaseHelper.java","3","43","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.dmfs.provider.tasks","/home/matheus/smell-and-machine-learning/repositories/dmfs_tasks/opentasks-provider/src/main/java/org/dmfs/provider/tasks/SQLiteContentProvider.java","3","50","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.dmfs.provider.tasks","/home/matheus/smell-and-machine-learning/repositories/dmfs_tasks/opentasks-provider/src/main/java/org/dmfs/provider/tasks/TaskDatabaseHelper.java","3","672","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.dmfs.provider.tasks","/home/matheus/smell-and-machine-learning/repositories/dmfs_tasks/opentasks-provider/src/main/java/org/dmfs/provider/tasks/TaskProvider.java","3","97","Avoid really long classes.","Design","ExcessiveClassLength"
"2","org.dmfs.provider.tasks","/home/matheus/smell-and-machine-learning/repositories/dmfs_tasks/opentasks-provider/src/main/java/org/dmfs/provider/tasks/TaskProvider.java","3","98","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","org.dmfs.provider.tasks","/home/matheus/smell-and-machine-learning/repositories/dmfs_tasks/opentasks-provider/src/main/java/org/dmfs/provider/tasks/TaskProvider.java","3","508","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","org.dmfs.provider.tasks","/home/matheus/smell-and-machine-learning/repositories/dmfs_tasks/opentasks-provider/src/main/java/org/dmfs/provider/tasks/TaskProvider.java","3","699","Avoid really long methods.","Design","ExcessiveMethodLength"
"5","org.dmfs.provider.tasks","/home/matheus/smell-and-machine-learning/repositories/dmfs_tasks/opentasks-provider/src/main/java/org/dmfs/provider/tasks/TaskProvider.java","3","877","Avoid really long methods.","Design","ExcessiveMethodLength"
"6","org.dmfs.provider.tasks","/home/matheus/smell-and-machine-learning/repositories/dmfs_tasks/opentasks-provider/src/main/java/org/dmfs/provider/tasks/TaskProvider.java","3","988","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.dmfs.provider.tasks.processors.tasks","/home/matheus/smell-and-machine-learning/repositories/dmfs_tasks/opentasks-provider/src/main/java/org/dmfs/provider/tasks/processors/tasks/AutoCompleting.java","3","103","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.dmfs.provider.tasks.processors.tasks","/home/matheus/smell-and-machine-learning/repositories/dmfs_tasks/opentasks-provider/src/main/java/org/dmfs/provider/tasks/processors/tasks/Validating.java","3","110","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.dmfs.provider.tasks.model.adapters","/home/matheus/smell-and-machine-learning/repositories/dmfs_tasks/opentasks-provider/src/test/java/org/dmfs/provider/tasks/model/adapters/DateTimeIterableFieldAdapterTest.java","3","42","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.jmedeisis.draglinearlayout","/home/matheus/smell-and-machine-learning/repositories/dmfs_tasks/opentasks/src/main/java/com/jmedeisis/draglinearlayout/DragLinearLayout.java","3","70","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.jmedeisis.draglinearlayout","/home/matheus/smell-and-machine-learning/repositories/dmfs_tasks/opentasks/src/main/java/com/jmedeisis/draglinearlayout/DragLinearLayout.java","3","566","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.dmfs.tasks","/home/matheus/smell-and-machine-learning/repositories/dmfs_tasks/opentasks/src/main/java/org/dmfs/tasks/EditTaskActivity.java","3","58","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.dmfs.tasks","/home/matheus/smell-and-machine-learning/repositories/dmfs_tasks/opentasks/src/main/java/org/dmfs/tasks/EditTaskFragment.java","3","91","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.dmfs.tasks","/home/matheus/smell-and-machine-learning/repositories/dmfs_tasks/opentasks/src/main/java/org/dmfs/tasks/EditTaskFragment.java","3","239","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.dmfs.tasks","/home/matheus/smell-and-machine-learning/repositories/dmfs_tasks/opentasks/src/main/java/org/dmfs/tasks/InputTextDialogFragment.java","3","52","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.dmfs.tasks","/home/matheus/smell-and-machine-learning/repositories/dmfs_tasks/opentasks/src/main/java/org/dmfs/tasks/ManageListActivity.java","3","57","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.dmfs.tasks","/home/matheus/smell-and-machine-learning/repositories/dmfs_tasks/opentasks/src/main/java/org/dmfs/tasks/QuickAddDialogFragment.java","3","70","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.dmfs.tasks","/home/matheus/smell-and-machine-learning/repositories/dmfs_tasks/opentasks/src/main/java/org/dmfs/tasks/SettingsListFragment.java","3","71","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.dmfs.tasks","/home/matheus/smell-and-machine-learning/repositories/dmfs_tasks/opentasks/src/main/java/org/dmfs/tasks/TaskListActivity.java","3","88","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.dmfs.tasks","/home/matheus/smell-and-machine-learning/repositories/dmfs_tasks/opentasks/src/main/java/org/dmfs/tasks/TaskListActivity.java","3","184","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.dmfs.tasks","/home/matheus/smell-and-machine-learning/repositories/dmfs_tasks/opentasks/src/main/java/org/dmfs/tasks/TaskListFragment.java","3","90","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.dmfs.tasks","/home/matheus/smell-and-machine-learning/repositories/dmfs_tasks/opentasks/src/main/java/org/dmfs/tasks/ViewTaskFragment.java","3","87","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.dmfs.tasks.dashclock","/home/matheus/smell-and-machine-learning/repositories/dmfs_tasks/opentasks/src/main/java/org/dmfs/tasks/dashclock/TasksExtension.java","3","50","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.dmfs.tasks.groupings","/home/matheus/smell-and-machine-learning/repositories/dmfs_tasks/opentasks/src/main/java/org/dmfs/tasks/groupings/TabConfig.java","3","85","The class 'Tab' is suspected to be a Data Class (WOC=25.000%, NOPA=1, NOAM=3, WMC=4)","Design","DataClass"
"1","org.dmfs.tasks.groupings.cursorloaders","/home/matheus/smell-and-machine-learning/repositories/dmfs_tasks/opentasks/src/main/java/org/dmfs/tasks/groupings/cursorloaders/PriorityCursorFactory.java","3","30","The class 'PriorityCursorFactory' is suspected to be a Data Class (WOC=0.000%, NOPA=10, NOAM=0, WMC=1)","Design","DataClass"
"1","org.dmfs.tasks.groupings.cursorloaders","/home/matheus/smell-and-machine-learning/repositories/dmfs_tasks/opentasks/src/main/java/org/dmfs/tasks/groupings/cursorloaders/ProgressCursorFactory.java","3","30","The class 'ProgressCursorFactory' is suspected to be a Data Class (WOC=0.000%, NOPA=11, NOAM=0, WMC=1)","Design","DataClass"
"1","org.dmfs.tasks.model","/home/matheus/smell-and-machine-learning/repositories/dmfs_tasks/opentasks/src/main/java/org/dmfs/tasks/model/ContentSet.java","3","49","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.dmfs.tasks.model","/home/matheus/smell-and-machine-learning/repositories/dmfs_tasks/opentasks/src/main/java/org/dmfs/tasks/model/DefaultModel.java","3","67","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.dmfs.tasks.model","/home/matheus/smell-and-machine-learning/repositories/dmfs_tasks/opentasks/src/main/java/org/dmfs/tasks/model/XmlModel.java","3","69","The class 'XmlModel' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=0, WMC=7)","Design","DataClass"
"1","org.dmfs.tasks.notification","/home/matheus/smell-and-machine-learning/repositories/dmfs_tasks/opentasks/src/main/java/org/dmfs/tasks/notification/NotificationActionUtils.java","3","55","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.dmfs.tasks.notification","/home/matheus/smell-and-machine-learning/repositories/dmfs_tasks/opentasks/src/main/java/org/dmfs/tasks/notification/NotificationUpdaterService.java","3","73","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.dmfs.tasks.utils","/home/matheus/smell-and-machine-learning/repositories/dmfs_tasks/opentasks/src/main/java/org/dmfs/tasks/utils/ExpandableGroupDescriptorAdapter.java","3","48","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.dmfs.tasks.utils","/home/matheus/smell-and-machine-learning/repositories/dmfs_tasks/opentasks/src/main/java/org/dmfs/tasks/utils/FlingDetector.java","3","195","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.dmfs.tasks.utils","/home/matheus/smell-and-machine-learning/repositories/dmfs_tasks/opentasks/src/main/java/org/dmfs/tasks/utils/SetFromMap.java","3","34","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.dmfs.tasks.widget","/home/matheus/smell-and-machine-learning/repositories/dmfs_tasks/opentasks/src/main/java/org/dmfs/tasks/widget/CheckListFieldView.java","3","57","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.dmfs.tasks.widget","/home/matheus/smell-and-machine-learning/repositories/dmfs_tasks/opentasks/src/main/java/org/dmfs/tasks/widget/TimeFieldEditor.java","3","284","Avoid really long methods.","Design","ExcessiveMethodLength"
