"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","jackpal.androidterm.emulatorview","/home/matheus/smell-and-machine-learning/repositories/Android-Terminal-Emulator/emulatorview/src/main/java/jackpal/androidterm/emulatorview/Bitmap4x8FontRenderer.java","3","63","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","jackpal.androidterm.emulatorview","/home/matheus/smell-and-machine-learning/repositories/Android-Terminal-Emulator/emulatorview/src/main/java/jackpal/androidterm/emulatorview/ColorScheme.java","3","34","The class 'ColorScheme' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=16)","Design","DataClass"
"1","jackpal.androidterm.emulatorview","/home/matheus/smell-and-machine-learning/repositories/Android-Terminal-Emulator/emulatorview/src/main/java/jackpal/androidterm/emulatorview/EmulatorView.java","3","66","Avoid really long classes.","Design","ExcessiveClassLength"
"2","jackpal.androidterm.emulatorview","/home/matheus/smell-and-machine-learning/repositories/Android-Terminal-Emulator/emulatorview/src/main/java/jackpal/androidterm/emulatorview/EmulatorView.java","3","66","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","jackpal.androidterm.emulatorview","/home/matheus/smell-and-machine-learning/repositories/Android-Terminal-Emulator/emulatorview/src/main/java/jackpal/androidterm/emulatorview/EmulatorView.java","3","271","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","jackpal.androidterm.emulatorview","/home/matheus/smell-and-machine-learning/repositories/Android-Terminal-Emulator/emulatorview/src/main/java/jackpal/androidterm/emulatorview/EmulatorView.java","3","630","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","jackpal.androidterm.emulatorview","/home/matheus/smell-and-machine-learning/repositories/Android-Terminal-Emulator/emulatorview/src/main/java/jackpal/androidterm/emulatorview/PaintRenderer.java","3","39","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","jackpal.androidterm.emulatorview","/home/matheus/smell-and-machine-learning/repositories/Android-Terminal-Emulator/emulatorview/src/main/java/jackpal/androidterm/emulatorview/TermKeyListener.java","3","20","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","jackpal.androidterm.emulatorview","/home/matheus/smell-and-machine-learning/repositories/Android-Terminal-Emulator/emulatorview/src/main/java/jackpal/androidterm/emulatorview/TermKeyListener.java","3","40","Avoid really long methods.","Design","ExcessiveMethodLength"
"3","jackpal.androidterm.emulatorview","/home/matheus/smell-and-machine-learning/repositories/Android-Terminal-Emulator/emulatorview/src/main/java/jackpal/androidterm/emulatorview/TermKeyListener.java","3","511","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","jackpal.androidterm.emulatorview","/home/matheus/smell-and-machine-learning/repositories/Android-Terminal-Emulator/emulatorview/src/main/java/jackpal/androidterm/emulatorview/TermSession.java","3","58","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
