"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.anysoftkeyboard.debug","/home/matheus/smell-and-machine-learning/repositories/AnySoftKeyboard/app/src/debug/java/com/anysoftkeyboard/debug/LogCatLogProvider.java","3","10","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.anysoftkeyboard","/home/matheus/smell-and-machine-learning/repositories/AnySoftKeyboard/app/src/main/java/com/anysoftkeyboard/AnySoftKeyboard.java","3","98","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.anysoftkeyboard","/home/matheus/smell-and-machine-learning/repositories/AnySoftKeyboard/app/src/main/java/com/anysoftkeyboard/AnySoftKeyboard.java","3","98","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.anysoftkeyboard","/home/matheus/smell-and-machine-learning/repositories/AnySoftKeyboard/app/src/main/java/com/anysoftkeyboard/AnySoftKeyboard.java","3","189","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","com.anysoftkeyboard","/home/matheus/smell-and-machine-learning/repositories/AnySoftKeyboard/app/src/main/java/com/anysoftkeyboard/AnySoftKeyboard.java","3","390","Avoid really long methods.","Design","ExcessiveMethodLength"
"5","com.anysoftkeyboard","/home/matheus/smell-and-machine-learning/repositories/AnySoftKeyboard/app/src/main/java/com/anysoftkeyboard/AnySoftKeyboard.java","3","938","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.anysoftkeyboard.addons","/home/matheus/smell-and-machine-learning/repositories/AnySoftKeyboard/app/src/main/java/com/anysoftkeyboard/addons/AddOnsFactory.java","3","98","Avoid long parameter lists.","Design","ExcessiveParameterList"
"2","com.anysoftkeyboard.addons","/home/matheus/smell-and-machine-learning/repositories/AnySoftKeyboard/app/src/main/java/com/anysoftkeyboard/addons/AddOnsFactory.java","3","104","Avoid long parameter lists.","Design","ExcessiveParameterList"
"3","com.anysoftkeyboard.addons","/home/matheus/smell-and-machine-learning/repositories/AnySoftKeyboard/app/src/main/java/com/anysoftkeyboard/addons/AddOnsFactory.java","3","470","Avoid long parameter lists.","Design","ExcessiveParameterList"
"4","com.anysoftkeyboard.addons","/home/matheus/smell-and-machine-learning/repositories/AnySoftKeyboard/app/src/main/java/com/anysoftkeyboard/addons/AddOnsFactory.java","3","500","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","com.anysoftkeyboard.dictionaries","/home/matheus/smell-and-machine-learning/repositories/AnySoftKeyboard/app/src/main/java/com/anysoftkeyboard/dictionaries/BTreeDictionary.java","3","32","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.anysoftkeyboard.dictionaries","/home/matheus/smell-and-machine-learning/repositories/AnySoftKeyboard/app/src/main/java/com/anysoftkeyboard/dictionaries/DictionaryAddOnAndBuilder.java","3","45","Avoid long parameter lists.","Design","ExcessiveParameterList"
"2","com.anysoftkeyboard.dictionaries","/home/matheus/smell-and-machine-learning/repositories/AnySoftKeyboard/app/src/main/java/com/anysoftkeyboard/dictionaries/DictionaryAddOnAndBuilder.java","3","56","Avoid long parameter lists.","Design","ExcessiveParameterList"
"3","com.anysoftkeyboard.dictionaries","/home/matheus/smell-and-machine-learning/repositories/AnySoftKeyboard/app/src/main/java/com/anysoftkeyboard/dictionaries/DictionaryAddOnAndBuilder.java","3","61","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","com.anysoftkeyboard.dictionaries","/home/matheus/smell-and-machine-learning/repositories/AnySoftKeyboard/app/src/main/java/com/anysoftkeyboard/dictionaries/SuggestionsProvider.java","3","26","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.anysoftkeyboard.dictionaries","/home/matheus/smell-and-machine-learning/repositories/AnySoftKeyboard/app/src/main/java/com/anysoftkeyboard/dictionaries/TextEntryState.java","3","22","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.anysoftkeyboard.ime","/home/matheus/smell-and-machine-learning/repositories/AnySoftKeyboard/app/src/main/java/com/anysoftkeyboard/ime/AnySoftKeyboardBase.java","3","56","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
