"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.nolanlawson.logcat","/home/matheus/smell-and-machine-learning/repositories/nolanlawson_Catlog/Catlog/src/com/nolanlawson/logcat/LogcatActivity.java","3","87","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.nolanlawson.logcat","/home/matheus/smell-and-machine-learning/repositories/nolanlawson_Catlog/Catlog/src/com/nolanlawson/logcat/LogcatActivity.java","3","88","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.nolanlawson.logcat","/home/matheus/smell-and-machine-learning/repositories/nolanlawson_Catlog/Catlog/src/com/nolanlawson/logcat/LogcatRecordingService.java","3","39","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.nolanlawson.logcat","/home/matheus/smell-and-machine-learning/repositories/nolanlawson_Catlog/Catlog/src/com/nolanlawson/logcat/SettingsActivity.java","3","131","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.nolanlawson.logcat.data","/home/matheus/smell-and-machine-learning/repositories/nolanlawson_Catlog/Catlog/src/com/nolanlawson/logcat/data/LogLine.java","3","13","The class 'LogLine' is suspected to be a Data Class (WOC=22.222%, NOPA=1, NOAM=14, WMC=36)","Design","DataClass"
"1","com.nolanlawson.logcat.data","/home/matheus/smell-and-machine-learning/repositories/nolanlawson_Catlog/Catlog/src/com/nolanlawson/logcat/data/LogLineAdapter.java","3","61","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.nolanlawson.logcat.data","/home/matheus/smell-and-machine-learning/repositories/nolanlawson_Catlog/Catlog/src/com/nolanlawson/logcat/data/LogLineViewWrapper.java","3","13","The class 'LogLineViewWrapper' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=5, WMC=11)","Design","DataClass"
"1","com.nolanlawson.logcat.data","/home/matheus/smell-and-machine-learning/repositories/nolanlawson_Catlog/Catlog/src/com/nolanlawson/logcat/data/SavedLog.java","3","5","The class 'SavedLog' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=4)","Design","DataClass"
"1","com.nolanlawson.logcat.data","/home/matheus/smell-and-machine-learning/repositories/nolanlawson_Catlog/Catlog/src/com/nolanlawson/logcat/data/SendLogDetails.java","3","5","The class 'SendLogDetails' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=8, WMC=8)","Design","DataClass"
"1","com.nolanlawson.logcat.helper","/home/matheus/smell-and-machine-learning/repositories/nolanlawson_Catlog/Catlog/src/com/nolanlawson/logcat/helper/SaveLogHelper.java","3","33","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.nolanlawson.logcat.util","/home/matheus/smell-and-machine-learning/repositories/nolanlawson_Catlog/Catlog/src/com/nolanlawson/logcat/util/ArrayUtil.java","3","6","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.nolanlawson.logcat.util","/home/matheus/smell-and-machine-learning/repositories/nolanlawson_Catlog/Catlog/src/com/nolanlawson/logcat/util/StringUtil.java","3","12","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
