"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.namsor.api.samples.gendreapp","/home/matheus/smell-and-machine-learning/repositories/namsor_gendreapp/gen/com/namsor/api/samples/gendreapp/R.java","3","10","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.namsor.api.samples.gendreapp","/home/matheus/smell-and-machine-learning/repositories/namsor_gendreapp/gen/com/namsor/api/samples/gendreapp/R.java","3","25","Avoid really long classes.","Design","ExcessiveClassLength"
"3","com.namsor.api.samples.gendreapp","/home/matheus/smell-and-machine-learning/repositories/namsor_gendreapp/gen/com/namsor/api/samples/gendreapp/R.java","3","2031","Avoid really long classes.","Design","ExcessiveClassLength"
"1","com.namsor.api.samples.gendreapp","/home/matheus/smell-and-machine-learning/repositories/namsor_gendreapp/src/com/namsor/api/samples/gendreapp/GenderizeTask.java","3","59","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.namsor.api.samples.gendreapp","/home/matheus/smell-and-machine-learning/repositories/namsor_gendreapp/src/com/namsor/api/samples/gendreapp/GenderizeTask.java","3","276","Avoid really long methods.","Design","ExcessiveMethodLength"
"3","com.namsor.api.samples.gendreapp","/home/matheus/smell-and-machine-learning/repositories/namsor_gendreapp/src/com/namsor/api/samples/gendreapp/GenderizeTask.java","3","474","The class 'GenderizeTodo' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=6, WMC=7)","Design","DataClass"
"4","com.namsor.api.samples.gendreapp","/home/matheus/smell-and-machine-learning/repositories/namsor_gendreapp/src/com/namsor/api/samples/gendreapp/GenderizeTask.java","3","549","Avoid really long methods.","Design","ExcessiveMethodLength"
"5","com.namsor.api.samples.gendreapp","/home/matheus/smell-and-machine-learning/repositories/namsor_gendreapp/src/com/namsor/api/samples/gendreapp/GenderizeTask.java","3","826","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.namsor.api.samples.gendreapp","/home/matheus/smell-and-machine-learning/repositories/namsor_gendreapp/src/com/namsor/api/samples/gendreapp/LiquidPhysicsWallpaper.java","3","382","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.namsor.api.samples.gendreapp","/home/matheus/smell-and-machine-learning/repositories/namsor_gendreapp/src/com/namsor/api/samples/gendreapp/MainActivity.java","3","64","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.namsor.api.samples.gendreapp","/home/matheus/smell-and-machine-learning/repositories/namsor_gendreapp/src/com/namsor/api/samples/gendreapp/MainActivity.java","3","480","The class 'ResponseReceiver' is suspected to be a Data Class (WOC=0.000%, NOPA=10, NOAM=0, WMC=1)","Design","DataClass"
"1","com.namsor.api.samples.gendreapp","/home/matheus/smell-and-machine-learning/repositories/namsor_gendreapp/src/com/namsor/api/samples/gendreapp/Material.java","3","3","The class 'Material' is suspected to be a Data Class (WOC=0.000%, NOPA=6, NOAM=0, WMC=1)","Design","DataClass"
"1","com.namsor.api.samples.gendreapp","/home/matheus/smell-and-machine-learning/repositories/namsor_gendreapp/src/com/namsor/api/samples/gendreapp/MyGenderView.java","3","12","The class 'MyGenderView' is suspected to be a Data Class (WOC=0.000%, NOPA=3, NOAM=8, WMC=13)","Design","DataClass"
"1","com.namsor.api.samples.gendreapp","/home/matheus/smell-and-machine-learning/repositories/namsor_gendreapp/src/com/namsor/api/samples/gendreapp/MyShareView.java","3","22","The class 'MyShareView' is suspected to be a Data Class (WOC=12.500%, NOPA=0, NOAM=4, WMC=15)","Design","DataClass"
"1","com.namsor.api.samples.gendreapp","/home/matheus/smell-and-machine-learning/repositories/namsor_gendreapp/src/com/namsor/api/samples/gendreapp/Particle.java","3","3","The class 'Particle' is suspected to be a Data Class (WOC=0.000%, NOPA=16, NOAM=0, WMC=1)","Design","DataClass"
