"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.nolanlawson.keepscore","/home/matheus/smell-and-machine-learning/repositories/KeepScore/KeepScore/src/com/nolanlawson/keepscore/GameActivity.java","3","69","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.nolanlawson.keepscore","/home/matheus/smell-and-machine-learning/repositories/KeepScore/KeepScore/src/com/nolanlawson/keepscore/MainActivity.java","3","81","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.nolanlawson.keepscore","/home/matheus/smell-and-machine-learning/repositories/KeepScore/KeepScore/src/com/nolanlawson/keepscore/MainActivity.java","3","81","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.nolanlawson.keepscore","/home/matheus/smell-and-machine-learning/repositories/KeepScore/KeepScore/src/com/nolanlawson/keepscore/SettingsActivity.java","3","47","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.nolanlawson.keepscore.data","/home/matheus/smell-and-machine-learning/repositories/KeepScore/KeepScore/src/com/nolanlawson/keepscore/data/HistoryItem.java","3","16","The class 'HistoryItem' is suspected to be a Data Class (WOC=12.500%, NOPA=0, NOAM=6, WMC=11)","Design","DataClass"
"1","com.nolanlawson.keepscore.data","/home/matheus/smell-and-machine-learning/repositories/KeepScore/KeepScore/src/com/nolanlawson/keepscore/data/LoadGamesBackupResult.java","3","12","The class 'LoadGamesBackupResult' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=8, WMC=8)","Design","DataClass"
"1","com.nolanlawson.keepscore.db","/home/matheus/smell-and-machine-learning/repositories/KeepScore/KeepScore/src/com/nolanlawson/keepscore/db/Game.java","3","14","The class 'Game' is suspected to be a Data Class (WOC=14.286%, NOPA=1, NOAM=10, WMC=17)","Design","DataClass"
"1","com.nolanlawson.keepscore.db","/home/matheus/smell-and-machine-learning/repositories/KeepScore/KeepScore/src/com/nolanlawson/keepscore/db/GameDBHelper.java","3","22","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.nolanlawson.keepscore.db","/home/matheus/smell-and-machine-learning/repositories/KeepScore/KeepScore/src/com/nolanlawson/keepscore/db/GameSummary.java","3","17","The class 'GameSummary' is suspected to be a Data Class (WOC=16.667%, NOPA=1, NOAM=10, WMC=12)","Design","DataClass"
"1","com.nolanlawson.keepscore.helper","/home/matheus/smell-and-machine-learning/repositories/KeepScore/KeepScore/src/com/nolanlawson/keepscore/helper/ColorScheme.java","3","58","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","com.nolanlawson.keepscore.helper","/home/matheus/smell-and-machine-learning/repositories/KeepScore/KeepScore/src/com/nolanlawson/keepscore/helper/PlayerTextFormat.java","3","59","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","com.nolanlawson.keepscore.serialization","/home/matheus/smell-and-machine-learning/repositories/KeepScore/KeepScore/src/com/nolanlawson/keepscore/serialization/GamesBackup.java","3","13","The class 'GamesBackup' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=12, WMC=12)","Design","DataClass"
"1","com.nolanlawson.keepscore.serialization","/home/matheus/smell-and-machine-learning/repositories/KeepScore/KeepScore/src/com/nolanlawson/keepscore/serialization/GamesBackupSummary.java","3","9","The class 'GamesBackupSummary' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=10, WMC=10)","Design","DataClass"
"1","com.nolanlawson.keepscore.util","/home/matheus/smell-and-machine-learning/repositories/KeepScore/KeepScore/src/com/nolanlawson/keepscore/util/CollectionUtil.java","3","9","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.nolanlawson.keepscore.util","/home/matheus/smell-and-machine-learning/repositories/KeepScore/KeepScore/src/com/nolanlawson/keepscore/util/UtilLogger.java","3","11","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.nolanlawson.keepscore.widget","/home/matheus/smell-and-machine-learning/repositories/KeepScore/KeepScore/src/com/nolanlawson/keepscore/widget/CustomFastScrollView.java","3","36","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.nolanlawson.keepscore.widget","/home/matheus/smell-and-machine-learning/repositories/KeepScore/KeepScore/src/com/nolanlawson/keepscore/widget/PlayerView.java","3","58","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.nolanlawson.keepscore.widget.chart","/home/matheus/smell-and-machine-learning/repositories/KeepScore/KeepScore/src/com/nolanlawson/keepscore/widget/chart/LineChartLine.java","3","10","The class 'LineChartLine' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=6)","Design","DataClass"
"1","com.nolanlawson.keepscore.widget.chart","/home/matheus/smell-and-machine-learning/repositories/KeepScore/KeepScore/src/com/nolanlawson/keepscore/widget/chart/LineChartView.java","3","29","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.nolanlawson.keepscore.widget.dragndrop","/home/matheus/smell-and-machine-learning/repositories/KeepScore/KeepScore/src/com/nolanlawson/keepscore/widget/dragndrop/DragSortListView.java","3","68","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.nolanlawson.keepscore.widget.dragndrop","/home/matheus/smell-and-machine-learning/repositories/KeepScore/KeepScore/src/com/nolanlawson/keepscore/widget/dragndrop/DragSortListView.java","3","68","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.nolanlawson.keepscore.widget.dragndrop","/home/matheus/smell-and-machine-learning/repositories/KeepScore/KeepScore/src/com/nolanlawson/keepscore/widget/dragndrop/DragSortListView.java","3","503","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","com.nolanlawson.keepscore.widget.dragndrop","/home/matheus/smell-and-machine-learning/repositories/KeepScore/KeepScore/src/com/nolanlawson/keepscore/widget/dragndrop/DragSortListView.java","3","1012","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.nolanlawson.keepscore.test","/home/matheus/smell-and-machine-learning/repositories/KeepScore/KeepScoreTest/src/com/nolanlawson/keepscore/test/SerializationTest.java","3","25","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
