"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","de.enaikoon.android.keypadmapper3","/home/matheus/smell-and-machine-learning/repositories/Keypad-Mapper-3/KeypadMapper3/gen/de/enaikoon/android/keypadmapper3/R.java","3","10","Avoid really long classes.","Design","ExcessiveClassLength"
"2","de.enaikoon.android.keypadmapper3","/home/matheus/smell-and-machine-learning/repositories/Keypad-Mapper-3/KeypadMapper3/gen/de/enaikoon/android/keypadmapper3/R.java","3","1641","Avoid really long classes.","Design","ExcessiveClassLength"
"1","de.enaikoon.android.inviu.opencellidlibrary","/home/matheus/smell-and-machine-learning/repositories/Keypad-Mapper-3/KeypadMapper3/src/de/enaikoon/android/inviu/opencellidlibrary/CellIDCollectionService.java","3","172","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","de.enaikoon.android.inviu.opencellidlibrary","/home/matheus/smell-and-machine-learning/repositories/Keypad-Mapper-3/KeypadMapper3/src/de/enaikoon/android/inviu/opencellidlibrary/CellIDCollectionService.java","3","617","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","de.enaikoon.android.inviu.opencellidlibrary","/home/matheus/smell-and-machine-learning/repositories/Keypad-Mapper-3/KeypadMapper3/src/de/enaikoon/android/inviu/opencellidlibrary/Meassurement.java","3","12","The class 'Meassurement' is suspected to be a Data Class (WOC=7.407%, NOPA=0, NOAM=24, WMC=34)","Design","DataClass"
"2","de.enaikoon.android.inviu.opencellidlibrary","/home/matheus/smell-and-machine-learning/repositories/Keypad-Mapper-3/KeypadMapper3/src/de/enaikoon/android/inviu/opencellidlibrary/Meassurement.java","3","31","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","de.enaikoon.android.inviu.opencellidlibrary","/home/matheus/smell-and-machine-learning/repositories/Keypad-Mapper-3/KeypadMapper3/src/de/enaikoon/android/inviu/opencellidlibrary/OpenCellIdGPSDataValidator.java","3","308","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","de.enaikoon.android.inviu.opencellidlibrary","/home/matheus/smell-and-machine-learning/repositories/Keypad-Mapper-3/KeypadMapper3/src/de/enaikoon/android/inviu/opencellidlibrary/UploadService.java","3","13","The class 'UploadService' is suspected to be a Data Class (WOC=0.000%, NOPA=6, NOAM=0, WMC=1)","Design","DataClass"
"1","de.enaikoon.android.inviu.opencellidlibrary","/home/matheus/smell-and-machine-learning/repositories/Keypad-Mapper-3/KeypadMapper3/src/de/enaikoon/android/inviu/opencellidlibrary/Uploader.java","3","53","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","de.enaikoon.android.keypadmapper3","/home/matheus/smell-and-machine-learning/repositories/Keypad-Mapper-3/KeypadMapper3/src/de/enaikoon/android/keypadmapper3/KeypadMapperApplication.java","3","44","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","de.enaikoon.android.keypadmapper3","/home/matheus/smell-and-machine-learning/repositories/Keypad-Mapper-3/KeypadMapper3/src/de/enaikoon/android/keypadmapper3/KeypadMapperApplication.java","3","299","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","de.enaikoon.android.keypadmapper3","/home/matheus/smell-and-machine-learning/repositories/Keypad-Mapper-3/KeypadMapper3/src/de/enaikoon/android/keypadmapper3/SettingsActivity.java","3","51","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","de.enaikoon.android.keypadmapper3","/home/matheus/smell-and-machine-learning/repositories/Keypad-Mapper-3/KeypadMapper3/src/de/enaikoon/android/keypadmapper3/SettingsActivity.java","3","192","Avoid really long methods.","Design","ExcessiveMethodLength"
"3","de.enaikoon.android.keypadmapper3","/home/matheus/smell-and-machine-learning/repositories/Keypad-Mapper-3/KeypadMapper3/src/de/enaikoon/android/keypadmapper3/SettingsActivity.java","3","620","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","de.enaikoon.android.keypadmapper3.domain","/home/matheus/smell-and-machine-learning/repositories/Keypad-Mapper-3/KeypadMapper3/src/de/enaikoon/android/keypadmapper3/domain/Address.java","3","13","The class 'Address' is suspected to be a Data Class (WOC=5.263%, NOPA=0, NOAM=16, WMC=19)","Design","DataClass"
