"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.apache.commons.net","/home/matheus/smell-and-machine-learning/repositories/dschuermann_ntp-sync/NTPSync/src/main/java/org/apache/commons/net/SocketClient.java","3","56","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.apache.commons.net.io","/home/matheus/smell-and-machine-learning/repositories/dschuermann_ntp-sync/NTPSync/src/main/java/org/apache/commons/net/io/CopyStreamEvent.java","3","34","The class 'CopyStreamEvent' is suspected to be a Data Class (WOC=0.000%, NOPA=1, NOAM=3, WMC=4)","Design","DataClass"
"1","org.apache.commons.net.ntp","/home/matheus/smell-and-machine-learning/repositories/dschuermann_ntp-sync/NTPSync/src/main/java/org/apache/commons/net/ntp/TimeInfo.java","3","31","The class 'TimeInfo' is suspected to be a Data Class (WOC=18.182%, NOPA=0, NOAM=5, WMC=29)","Design","DataClass"
"2","org.apache.commons.net.ntp","/home/matheus/smell-and-machine-learning/repositories/dschuermann_ntp-sync/NTPSync/src/main/java/org/apache/commons/net/ntp/TimeInfo.java","3","133","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.apache.commons.net.ntp","/home/matheus/smell-and-machine-learning/repositories/dschuermann_ntp-sync/NTPSync/src/main/java/org/apache/commons/net/ntp/TimeStamp.java","3","46","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.apache.commons.net.util","/home/matheus/smell-and-machine-learning/repositories/dschuermann_ntp-sync/NTPSync/src/main/java/org/apache/commons/net/util/Base64.java","3","51","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.ntpsync.service","/home/matheus/smell-and-machine-learning/repositories/dschuermann_ntp-sync/NTPSync/src/main/java/org/ntpsync/service/NtpSyncService.java","3","48","The class 'NtpSyncService' is suspected to be a Data Class (WOC=0.000%, NOPA=13, NOAM=0, WMC=13)","Design","DataClass"
"2","org.ntpsync.service","/home/matheus/smell-and-machine-learning/repositories/dschuermann_ntp-sync/NTPSync/src/main/java/org/ntpsync/service/NtpSyncService.java","3","103","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.ntpsync.ui","/home/matheus/smell-and-machine-learning/repositories/dschuermann_ntp-sync/NTPSync/src/main/java/org/ntpsync/ui/BaseActivity.java","3","86","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.ntpsync.util","/home/matheus/smell-and-machine-learning/repositories/dschuermann_ntp-sync/NTPSync/src/main/java/org/ntpsync/util/Log.java","3","28","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.ntpsync.util","/home/matheus/smell-and-machine-learning/repositories/dschuermann_ntp-sync/NTPSync/src/main/java/org/ntpsync/util/NtpSyncUtils.java","3","56","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.apache.commons.net","/home/matheus/smell-and-machine-learning/repositories/dschuermann_ntp-sync/Resources/commons-net-3.1-src/src/main/java/org/apache/commons/net/SocketClient.java","3","54","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.apache.commons.net.io","/home/matheus/smell-and-machine-learning/repositories/dschuermann_ntp-sync/Resources/commons-net-3.1-src/src/main/java/org/apache/commons/net/io/CopyStreamEvent.java","3","34","The class 'CopyStreamEvent' is suspected to be a Data Class (WOC=0.000%, NOPA=1, NOAM=3, WMC=4)","Design","DataClass"
"1","org.apache.commons.net.ntp","/home/matheus/smell-and-machine-learning/repositories/dschuermann_ntp-sync/Resources/commons-net-3.1-src/src/main/java/org/apache/commons/net/ntp/TimeInfo.java","3","31","The class 'TimeInfo' is suspected to be a Data Class (WOC=18.182%, NOPA=0, NOAM=5, WMC=29)","Design","DataClass"
"2","org.apache.commons.net.ntp","/home/matheus/smell-and-machine-learning/repositories/dschuermann_ntp-sync/Resources/commons-net-3.1-src/src/main/java/org/apache/commons/net/ntp/TimeInfo.java","3","133","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.apache.commons.net.ntp","/home/matheus/smell-and-machine-learning/repositories/dschuermann_ntp-sync/Resources/commons-net-3.1-src/src/main/java/org/apache/commons/net/ntp/TimeStamp.java","3","46","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.apache.commons.net.util","/home/matheus/smell-and-machine-learning/repositories/dschuermann_ntp-sync/Resources/commons-net-3.1-src/src/main/java/org/apache/commons/net/util/Base64.java","3","51","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.sufficientlysecure.rootcommands","/home/matheus/smell-and-machine-learning/repositories/dschuermann_ntp-sync/libraries/RootCommands/src/main/java/org/sufficientlysecure/rootcommands/Shell.java","3","33","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.sufficientlysecure.rootcommands","/home/matheus/smell-and-machine-learning/repositories/dschuermann_ntp-sync/libraries/RootCommands/src/main/java/org/sufficientlysecure/rootcommands/Toolbox.java","3","46","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.sufficientlysecure.rootcommands.util","/home/matheus/smell-and-machine-learning/repositories/dschuermann_ntp-sync/libraries/RootCommands/src/main/java/org/sufficientlysecure/rootcommands/util/Log.java","3","25","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
