"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.eolwral.osmonitor","/home/matheus/smell-and-machine-learning/repositories/OSMonitor/app/src/main/java/com/eolwral/osmonitor/OSMonitor.java","3","34","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.eolwral.osmonitor","/home/matheus/smell-and-machine-learning/repositories/OSMonitor/app/src/main/java/com/eolwral/osmonitor/OSMonitorService.java","3","38","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.eolwral.osmonitor","/home/matheus/smell-and-machine-learning/repositories/OSMonitor/app/src/main/java/com/eolwral/osmonitor/OSMonitorService.java","3","406","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.eolwral.osmonitor.core","/home/matheus/smell-and-machine-learning/repositories/OSMonitor/app/src/main/java/com/eolwral/osmonitor/core/commandInfo.java","3","10","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.eolwral.osmonitor.core","/home/matheus/smell-and-machine-learning/repositories/OSMonitor/app/src/main/java/com/eolwral/osmonitor/core/connectionInfo.java","3","10","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.eolwral.osmonitor.core","/home/matheus/smell-and-machine-learning/repositories/OSMonitor/app/src/main/java/com/eolwral/osmonitor/core/connectionInfoList.java","3","10","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.eolwral.osmonitor.core","/home/matheus/smell-and-machine-learning/repositories/OSMonitor/app/src/main/java/com/eolwral/osmonitor/core/cpuInfo.java","3","10","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.eolwral.osmonitor.core","/home/matheus/smell-and-machine-learning/repositories/OSMonitor/app/src/main/java/com/eolwral/osmonitor/core/cpuInfo.java","3","39","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","com.eolwral.osmonitor.core","/home/matheus/smell-and-machine-learning/repositories/OSMonitor/app/src/main/java/com/eolwral/osmonitor/core/cpuInfoList.java","3","10","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.eolwral.osmonitor.core","/home/matheus/smell-and-machine-learning/repositories/OSMonitor/app/src/main/java/com/eolwral/osmonitor/core/dmesgInfo.java","3","10","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.eolwral.osmonitor.core","/home/matheus/smell-and-machine-learning/repositories/OSMonitor/app/src/main/java/com/eolwral/osmonitor/core/dmesgInfoList.java","3","10","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
