"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.zegoggles.smssync.activity","/home/matheus/smell-and-machine-learning/repositories/jberkel_sms-backup-plus/app/src/main/java/com/zegoggles/smssync/activity/MainActivity.java","3","112","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.zegoggles.smssync.activity","/home/matheus/smell-and-machine-learning/repositories/jberkel_sms-backup-plus/app/src/main/java/com/zegoggles/smssync/activity/StatusPreference.java","3","41","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.zegoggles.smssync.activity.donation","/home/matheus/smell-and-machine-learning/repositories/jberkel_sms-backup-plus/app/src/main/java/com/zegoggles/smssync/activity/donation/DonationActivity.java","3","48","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.zegoggles.smssync.activity.donation","/home/matheus/smell-and-machine-learning/repositories/jberkel_sms-backup-plus/app/src/main/java/com/zegoggles/smssync/activity/donation/Sku.java","3","12","The class 'Sku' is suspected to be a Data Class (WOC=0.000%, NOPA=1, NOAM=5, WMC=8)","Design","DataClass"
"1","com.zegoggles.smssync.activity.fragments","/home/matheus/smell-and-machine-learning/repositories/jberkel_sms-backup-plus/app/src/main/java/com/zegoggles/smssync/activity/fragments/AdvancedSettings.java","3","62","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.zegoggles.smssync.activity.fragments","/home/matheus/smell-and-machine-learning/repositories/jberkel_sms-backup-plus/app/src/main/java/com/zegoggles/smssync/activity/fragments/MainSettings.java","3","36","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.zegoggles.smssync.contacts","/home/matheus/smell-and-machine-learning/repositories/jberkel_sms-backup-plus/app/src/main/java/com/zegoggles/smssync/contacts/ContactGroup.java","3","3","The class 'ContactGroup' is suspected to be a Data Class (WOC=0.000%, NOPA=3, NOAM=1, WMC=3)","Design","DataClass"
"1","com.zegoggles.smssync.mail","/home/matheus/smell-and-machine-learning/repositories/jberkel_sms-backup-plus/app/src/main/java/com/zegoggles/smssync/mail/DataType.java","3","35","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","com.zegoggles.smssync.mail","/home/matheus/smell-and-machine-learning/repositories/jberkel_sms-backup-plus/app/src/main/java/com/zegoggles/smssync/mail/MessageGenerator.java","3","47","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","com.zegoggles.smssync.service","/home/matheus/smell-and-machine-learning/repositories/jberkel_sms-backup-plus/app/src/main/java/com/zegoggles/smssync/service/BackupJobs.java","3","54","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.zegoggles.smssync.service","/home/matheus/smell-and-machine-learning/repositories/jberkel_sms-backup-plus/app/src/main/java/com/zegoggles/smssync/service/BackupTask.java","3","49","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.zegoggles.smssync.service","/home/matheus/smell-and-machine-learning/repositories/jberkel_sms-backup-plus/app/src/main/java/com/zegoggles/smssync/service/RestoreTask.java","3","47","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.zegoggles.smssync.service","/home/matheus/smell-and-machine-learning/repositories/jberkel_sms-backup-plus/app/src/main/java/com/zegoggles/smssync/service/ServiceBase.java","3","53","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.zegoggles.smssync.service","/home/matheus/smell-and-machine-learning/repositories/jberkel_sms-backup-plus/app/src/main/java/com/zegoggles/smssync/service/SmsBackupService.java","3","62","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.zegoggles.smssync.service.state","/home/matheus/smell-and-machine-learning/repositories/jberkel_sms-backup-plus/app/src/main/java/com/zegoggles/smssync/service/state/RestoreState.java","3","9","The class 'RestoreState' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=0, WMC=2)","Design","DataClass"
"1","com.zegoggles.smssync.utils","/home/matheus/smell-and-machine-learning/repositories/jberkel_sms-backup-plus/app/src/main/java/com/zegoggles/smssync/utils/BundleBuilder.java","3","14","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.zegoggles.smssync.mail","/home/matheus/smell-and-machine-learning/repositories/jberkel_sms-backup-plus/app/src/test/java/com/zegoggles/smssync/mail/BackupImapStoreTest.java","3","17","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.zegoggles.smssync.mail","/home/matheus/smell-and-machine-learning/repositories/jberkel_sms-backup-plus/app/src/test/java/com/zegoggles/smssync/mail/CallFormatterTest.java","3","13","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.zegoggles.smssync.mail","/home/matheus/smell-and-machine-learning/repositories/jberkel_sms-backup-plus/app/src/test/java/com/zegoggles/smssync/mail/MessageGeneratorTest.java","3","39","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.zegoggles.smssync.mail","/home/matheus/smell-and-machine-learning/repositories/jberkel_sms-backup-plus/app/src/test/java/com/zegoggles/smssync/mail/PersonRecordTest.java","3","13","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.zegoggles.smssync.service","/home/matheus/smell-and-machine-learning/repositories/jberkel_sms-backup-plus/app/src/test/java/com/zegoggles/smssync/service/BackupJobsTest.java","3","31","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.zegoggles.smssync.service","/home/matheus/smell-and-machine-learning/repositories/jberkel_sms-backup-plus/app/src/test/java/com/zegoggles/smssync/service/BackupTaskTest.java","3","57","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.zegoggles.smssync.service","/home/matheus/smell-and-machine-learning/repositories/jberkel_sms-backup-plus/app/src/test/java/com/zegoggles/smssync/service/SmsBackupServiceTest.java","3","49","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
