"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.ipaulpro.afilechooser","/home/matheus/smell-and-machine-learning/repositories/vimtouch/libraries/aFileChooser/src/com/ipaulpro/afilechooser/FileChooserActivity.java","3","46","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","jackpal.androidterm.emulatorview","/home/matheus/smell-and-machine-learning/repositories/vimtouch/libraries/emulatorview/src/jackpal/androidterm/emulatorview/Bitmap4x8FontRenderer.java","3","62","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","jackpal.androidterm.emulatorview","/home/matheus/smell-and-machine-learning/repositories/vimtouch/libraries/emulatorview/src/jackpal/androidterm/emulatorview/EmulatorView.java","3","55","Avoid really long classes.","Design","ExcessiveClassLength"
"2","jackpal.androidterm.emulatorview","/home/matheus/smell-and-machine-learning/repositories/vimtouch/libraries/emulatorview/src/jackpal/androidterm/emulatorview/EmulatorView.java","3","55","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","jackpal.androidterm.emulatorview","/home/matheus/smell-and-machine-learning/repositories/vimtouch/libraries/emulatorview/src/jackpal/androidterm/emulatorview/EmulatorView.java","3","384","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","jackpal.androidterm.emulatorview","/home/matheus/smell-and-machine-learning/repositories/vimtouch/libraries/emulatorview/src/jackpal/androidterm/emulatorview/PaintRenderer.java","3","39","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","jackpal.androidterm.emulatorview","/home/matheus/smell-and-machine-learning/repositories/vimtouch/libraries/emulatorview/src/jackpal/androidterm/emulatorview/TermKeyListener.java","3","18","Avoid really long classes.","Design","ExcessiveClassLength"
"2","jackpal.androidterm.emulatorview","/home/matheus/smell-and-machine-learning/repositories/vimtouch/libraries/emulatorview/src/jackpal/androidterm/emulatorview/TermKeyListener.java","3","846","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","jackpal.androidterm.emulatorview","/home/matheus/smell-and-machine-learning/repositories/vimtouch/libraries/emulatorview/src/jackpal/androidterm/emulatorview/TermSession.java","3","58","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","jackpal.androidterm.emulatorview","/home/matheus/smell-and-machine-learning/repositories/vimtouch/libraries/emulatorview/src/jackpal/androidterm/emulatorview/TerminalEmulator.java","3","35","Avoid really long classes.","Design","ExcessiveClassLength"
"2","jackpal.androidterm.emulatorview","/home/matheus/smell-and-machine-learning/repositories/vimtouch/libraries/emulatorview/src/jackpal/androidterm/emulatorview/TerminalEmulator.java","3","35","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","jackpal.androidterm.emulatorview","/home/matheus/smell-and-machine-learning/repositories/vimtouch/libraries/emulatorview/src/jackpal/androidterm/emulatorview/TerminalEmulator.java","3","425","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","jackpal.androidterm.emulatorview","/home/matheus/smell-and-machine-learning/repositories/vimtouch/libraries/emulatorview/src/jackpal/androidterm/emulatorview/TerminalEmulator.java","3","614","Avoid really long methods.","Design","ExcessiveMethodLength"
"5","jackpal.androidterm.emulatorview","/home/matheus/smell-and-machine-learning/repositories/vimtouch/libraries/emulatorview/src/jackpal/androidterm/emulatorview/TerminalEmulator.java","3","1064","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","jackpal.androidterm.emulatorview","/home/matheus/smell-and-machine-learning/repositories/vimtouch/libraries/emulatorview/src/jackpal/androidterm/emulatorview/TextRenderer.java","3","31","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","jackpal.androidterm.emulatorview","/home/matheus/smell-and-machine-learning/repositories/vimtouch/libraries/emulatorview/src/jackpal/androidterm/emulatorview/UnicodeTranscript.java","3","44","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
