"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","net.osmtracker.activity","/home/matheus/smell-and-machine-learning/repositories/nguillaumin_osmtracker-android/app/src/main/java/net/osmtracker/activity/AvailableLayouts.java","3","174","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","net.osmtracker.activity","/home/matheus/smell-and-machine-learning/repositories/nguillaumin_osmtracker-android/app/src/main/java/net/osmtracker/activity/ButtonsPresets.java","3","41","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.osmtracker.activity","/home/matheus/smell-and-machine-learning/repositories/nguillaumin_osmtracker-android/app/src/main/java/net/osmtracker/activity/DisplayTrackMap.java","3","48","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.osmtracker.activity","/home/matheus/smell-and-machine-learning/repositories/nguillaumin_osmtracker-android/app/src/main/java/net/osmtracker/activity/Preferences.java","3","58","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","net.osmtracker.activity","/home/matheus/smell-and-machine-learning/repositories/nguillaumin_osmtracker-android/app/src/main/java/net/osmtracker/activity/TrackLogger.java","3","73","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.osmtracker.activity","/home/matheus/smell-and-machine-learning/repositories/nguillaumin_osmtracker-android/app/src/main/java/net/osmtracker/activity/TrackManager.java","3","49","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.osmtracker.db","/home/matheus/smell-and-machine-learning/repositories/nguillaumin_osmtracker-android/app/src/main/java/net/osmtracker/db/TrackContentProvider.java","3","264","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","net.osmtracker.gpx","/home/matheus/smell-and-machine-learning/repositories/nguillaumin_osmtracker-android/app/src/main/java/net/osmtracker/gpx/ExportTrackTask.java","3","46","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.osmtracker.service.gps","/home/matheus/smell-and-machine-learning/repositories/nguillaumin_osmtracker-android/app/src/main/java/net/osmtracker/service/gps/GPSLogger.java","3","39","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.osmtracker.view","/home/matheus/smell-and-machine-learning/repositories/nguillaumin_osmtracker-android/app/src/main/java/net/osmtracker/view/VoiceRecDialog.java","3","116","Avoid really long methods.","Design","ExcessiveMethodLength"
