"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.davemorrissey.labs.subscaleview","/home/matheus/smell-and-machine-learning/repositories/Shahul3D_IndiaSatelliteWeather/app/libraries/library/src/com/davemorrissey/labs/subscaleview/ScaleImageView.java","3","60","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.davemorrissey.labs.subscaleview","/home/matheus/smell-and-machine-learning/repositories/Shahul3D_IndiaSatelliteWeather/app/libraries/library/src/com/davemorrissey/labs/subscaleview/ScaleImageView.java","3","60","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.davemorrissey.labs.subscaleview","/home/matheus/smell-and-machine-learning/repositories/Shahul3D_IndiaSatelliteWeather/app/libraries/library/src/com/davemorrissey/labs/subscaleview/ScaleImageView.java","3","451","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.davemorrissey.labs.subscaleview","/home/matheus/smell-and-machine-learning/repositories/Shahul3D_IndiaSatelliteWeather/app/libraries/library/src/com/davemorrissey/labs/subscaleview/SubsamplingScaleImageView.java","3","68","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.davemorrissey.labs.subscaleview","/home/matheus/smell-and-machine-learning/repositories/Shahul3D_IndiaSatelliteWeather/app/libraries/library/src/com/davemorrissey/labs/subscaleview/SubsamplingScaleImageView.java","3","68","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.davemorrissey.labs.subscaleview","/home/matheus/smell-and-machine-learning/repositories/Shahul3D_IndiaSatelliteWeather/app/libraries/library/src/com/davemorrissey/labs/subscaleview/SubsamplingScaleImageView.java","3","441","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","com.davemorrissey.labs.subscaleview","/home/matheus/smell-and-machine-learning/repositories/Shahul3D_IndiaSatelliteWeather/app/libraries/library/src/com/davemorrissey/labs/subscaleview/SubsamplingScaleImageView.java","3","621","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.shahul3d.indiasatelliteweather.controllers","/home/matheus/smell-and-machine-learning/repositories/Shahul3D_IndiaSatelliteWeather/app/src/main/java/com/shahul3d/indiasatelliteweather/controllers/MainMapActivity.java","3","64","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.shahul3d.indiasatelliteweather.events","/home/matheus/smell-and-machine-learning/repositories/Shahul3D_IndiaSatelliteWeather/app/src/main/java/com/shahul3d/indiasatelliteweather/events/DownloadProgressUpdateEvent.java","3","18","The class 'DownloadProgressUpdateEvent' is suspected to be a Data Class (WOC=0.000%, NOPA=3, NOAM=3, WMC=4)","Design","DataClass"
"1","com.shahul3d.indiasatelliteweather.widgets","/home/matheus/smell-and-machine-learning/repositories/Shahul3D_IndiaSatelliteWeather/app/src/main/java/com/shahul3d/indiasatelliteweather/widgets/TouchImageView.java","3","29","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.shahul3d.indiasatelliteweather.widgets","/home/matheus/smell-and-machine-learning/repositories/Shahul3D_IndiaSatelliteWeather/app/src/main/java/com/shahul3d/indiasatelliteweather/widgets/TouchImageView.java","3","29","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.shahul3d.indiasatelliteweather.widgets","/home/matheus/smell-and-machine-learning/repositories/Shahul3D_IndiaSatelliteWeather/app/src/main/java/com/shahul3d/indiasatelliteweather/widgets/TouchImageView.java","3","529","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","com.shahul3d.indiasatelliteweather.widgets","/home/matheus/smell-and-machine-learning/repositories/Shahul3D_IndiaSatelliteWeather/app/src/main/java/com/shahul3d/indiasatelliteweather/widgets/TouchImageView.java","3","1240","The class 'ZoomVariables' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=0, WMC=1)","Design","DataClass"
