"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.dozuki.ifixit.ui.dozuki","/home/matheus/smell-and-machine-learning/repositories/iFixitAndroid/App/sites/dozuki/src/com/dozuki/ifixit/ui/dozuki/SiteListActivity.java","3","29","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.dozuki.ifixit.ui.dozuki","/home/matheus/smell-and-machine-learning/repositories/iFixitAndroid/App/sites/dozuki/src/com/dozuki/ifixit/ui/dozuki/SiteListDialogFragment.java","3","33","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.dozuki.ifixit","/home/matheus/smell-and-machine-learning/repositories/iFixitAndroid/App/src/com/dozuki/ifixit/App.java","3","58","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.dozuki.ifixit.model","/home/matheus/smell-and-machine-learning/repositories/iFixitAndroid/App/src/com/dozuki/ifixit/model/Comment.java","3","14","The class 'Comment' is suspected to be a Data Class (WOC=25.000%, NOPA=16, NOAM=0, WMC=7)","Design","DataClass"
"1","com.dozuki.ifixit.model","/home/matheus/smell-and-machine-learning/repositories/iFixitAndroid/App/src/com/dozuki/ifixit/model/Embed.java","3","10","The class 'Embed' is suspected to be a Data Class (WOC=0.000%, NOPA=14, NOAM=0, WMC=7)","Design","DataClass"
"1","com.dozuki.ifixit.model","/home/matheus/smell-and-machine-learning/repositories/iFixitAndroid/App/src/com/dozuki/ifixit/model/Video.java","3","6","The class 'Video' is suspected to be a Data Class (WOC=28.571%, NOPA=0, NOAM=9, WMC=14)","Design","DataClass"
"1","com.dozuki.ifixit.model.dozuki","/home/matheus/smell-and-machine-learning/repositories/iFixitAndroid/App/src/com/dozuki/ifixit/model/dozuki/Site.java","3","16","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.dozuki.ifixit.model.dozuki","/home/matheus/smell-and-machine-learning/repositories/iFixitAndroid/App/src/com/dozuki/ifixit/model/dozuki/Site.java","3","224","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.dozuki.ifixit.ui","/home/matheus/smell-and-machine-learning/repositories/iFixitAndroid/App/src/com/dozuki/ifixit/ui/BaseActivity.java","3","36","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.dozuki.ifixit.ui","/home/matheus/smell-and-machine-learning/repositories/iFixitAndroid/App/src/com/dozuki/ifixit/ui/BaseMenuDrawerActivity.java","3","51","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
