"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.fsck.k9","/home/matheus/smell-and-machine-learning/repositories/k-9/app/core/src/main/java/com/fsck/k9/Account.java","3","51","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.fsck.k9","/home/matheus/smell-and-machine-learning/repositories/k-9/app/core/src/main/java/com/fsck/k9/Account.java","3","51","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.fsck.k9","/home/matheus/smell-and-machine-learning/repositories/k-9/app/core/src/main/java/com/fsck/k9/Account.java","3","342","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","com.fsck.k9","/home/matheus/smell-and-machine-learning/repositories/k-9/app/core/src/main/java/com/fsck/k9/Account.java","3","612","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.fsck.k9","/home/matheus/smell-and-machine-learning/repositories/k-9/app/core/src/main/java/com/fsck/k9/FontSizes.java","3","15","The class 'FontSizes' is suspected to be a Data Class (WOC=13.158%, NOPA=8, NOAM=32, WMC=41)","Design","DataClass"
"1","com.fsck.k9","/home/matheus/smell-and-machine-learning/repositories/k-9/app/core/src/main/java/com/fsck/k9/Identity.java","3","5","The class 'Identity' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=12, WMC=12)","Design","DataClass"
"1","com.fsck.k9","/home/matheus/smell-and-machine-learning/repositories/k-9/app/core/src/main/java/com/fsck/k9/K9.java","3","25","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.fsck.k9","/home/matheus/smell-and-machine-learning/repositories/k-9/app/core/src/main/java/com/fsck/k9/K9.java","3","25","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.fsck.k9","/home/matheus/smell-and-machine-learning/repositories/k-9/app/core/src/main/java/com/fsck/k9/K9.java","3","402","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.fsck.k9.controller","/home/matheus/smell-and-machine-learning/repositories/k-9/app/core/src/main/java/com/fsck/k9/controller/MemorizingMessagingListener.java","3","12","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.fsck.k9.controller","/home/matheus/smell-and-machine-learning/repositories/k-9/app/core/src/main/java/com/fsck/k9/controller/MessagingController.java","3","108","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.fsck.k9.controller","/home/matheus/smell-and-machine-learning/repositories/k-9/app/core/src/main/java/com/fsck/k9/controller/MessagingController.java","3","108","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.fsck.k9.controller","/home/matheus/smell-and-machine-learning/repositories/k-9/app/core/src/main/java/com/fsck/k9/controller/MessagingController.java","3","1544","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","com.fsck.k9.controller","/home/matheus/smell-and-machine-learning/repositories/k-9/app/core/src/main/java/com/fsck/k9/controller/MessagingController.java","3","3049","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.fsck.k9.controller","/home/matheus/smell-and-machine-learning/repositories/k-9/app/core/src/main/java/com/fsck/k9/controller/MessagingListener.java","3","18","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.fsck.k9.controller","/home/matheus/smell-and-machine-learning/repositories/k-9/app/core/src/main/java/com/fsck/k9/controller/SimpleMessagingListener.java","3","18","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.fsck.k9.helper","/home/matheus/smell-and-machine-learning/repositories/k-9/app/core/src/main/java/com/fsck/k9/helper/MailTo.java","3","12","The class 'MailTo' is suspected to be a Data Class (WOC=28.571%, NOPA=0, NOAM=5, WMC=21)","Design","DataClass"
"1","com.fsck.k9.helper","/home/matheus/smell-and-machine-learning/repositories/k-9/app/core/src/main/java/com/fsck/k9/helper/MergeCursor.java","3","36","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.fsck.k9.helper","/home/matheus/smell-and-machine-learning/repositories/k-9/app/core/src/main/java/com/fsck/k9/helper/Utility.java","3","24","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.fsck.k9.mailstore","/home/matheus/smell-and-machine-learning/repositories/k-9/app/core/src/main/java/com/fsck/k9/mailstore/LocalFolder.java","3","74","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.fsck.k9.mailstore","/home/matheus/smell-and-machine-learning/repositories/k-9/app/core/src/main/java/com/fsck/k9/mailstore/LocalFolder.java","3","74","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.fsck.k9.mailstore","/home/matheus/smell-and-machine-learning/repositories/k-9/app/core/src/main/java/com/fsck/k9/mailstore/LocalFolder.java","3","1078","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","com.fsck.k9.mailstore","/home/matheus/smell-and-machine-learning/repositories/k-9/app/core/src/main/java/com/fsck/k9/mailstore/LocalFolder.java","3","1090","Avoid really long methods.","Design","ExcessiveMethodLength"
"5","com.fsck.k9.mailstore","/home/matheus/smell-and-machine-learning/repositories/k-9/app/core/src/main/java/com/fsck/k9/mailstore/LocalFolder.java","3","1339","Avoid really long methods.","Design","ExcessiveMethodLength"
