"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.github.rtyley.android.sherlock.roboguice.activity","/home/matheus/smell-and-machine-learning/repositories/joanpuigsanz_servdroid/android/ServDroid.web/src/com/github/rtyley/android/sherlock/roboguice/activity/RoboSherlockAccountAuthenticatorActivity.java","3","45","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.github.rtyley.android.sherlock.roboguice.activity","/home/matheus/smell-and-machine-learning/repositories/joanpuigsanz_servdroid/android/ServDroid.web/src/com/github/rtyley/android/sherlock/roboguice/activity/RoboSherlockActivity.java","3","50","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.github.rtyley.android.sherlock.roboguice.activity","/home/matheus/smell-and-machine-learning/repositories/joanpuigsanz_servdroid/android/ServDroid.web/src/com/github/rtyley/android/sherlock/roboguice/activity/RoboSherlockFragmentActivity.java","3","23","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.github.rtyley.android.sherlock.roboguice.activity","/home/matheus/smell-and-machine-learning/repositories/joanpuigsanz_servdroid/android/ServDroid.web/src/com/github/rtyley/android/sherlock/roboguice/activity/RoboSherlockListActivity.java","3","49","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.github.rtyley.android.sherlock.roboguice.activity","/home/matheus/smell-and-machine-learning/repositories/joanpuigsanz_servdroid/android/ServDroid.web/src/com/github/rtyley/android/sherlock/roboguice/activity/RoboSherlockPreferenceActivity.java","3","52","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.servDroid.helper","/home/matheus/smell-and-machine-learning/repositories/joanpuigsanz_servdroid/android/ServDroid.web/src/org/servDroid/helper/PreferenceUiHelper.java","3","115","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.servDroid.helper","/home/matheus/smell-and-machine-learning/repositories/joanpuigsanz_servdroid/android/ServDroid.web/src/org/servDroid/helper/ServiceHelper.java","3","37","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.servDroid.server","/home/matheus/smell-and-machine-learning/repositories/joanpuigsanz_servdroid/android/ServDroid.web/src/org/servDroid/server/FileIndexing.java","3","75","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.servDroid.server","/home/matheus/smell-and-machine-learning/repositories/joanpuigsanz_servdroid/android/ServDroid.web/src/org/servDroid/server/HttpRequestHandler.java","3","125","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.servDroid.server.service","/home/matheus/smell-and-machine-learning/repositories/joanpuigsanz_servdroid/android/ServDroid.web/src/org/servDroid/server/service/ServerService.java","3","57","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.servDroid.ui.fragment","/home/matheus/smell-and-machine-learning/repositories/joanpuigsanz_servdroid/android/ServDroid.web/src/org/servDroid/ui/fragment/LogFragment.java","3","58","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.servDroid.helper","/home/matheus/smell-and-machine-learning/repositories/joanpuigsanz_servdroid/android/ServDroidServiceExample/src/org/servDroid/helper/ServiceHelper.java","3","33","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
