"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.ubergeek42.WeechatAndroid","/home/matheus/smell-and-machine-learning/repositories/ubergeek42_weechat-android/app/src/main/java/com/ubergeek42/WeechatAndroid/Weechat.java","3","23","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.ubergeek42.WeechatAndroid","/home/matheus/smell-and-machine-learning/repositories/ubergeek42_weechat-android/app/src/main/java/com/ubergeek42/WeechatAndroid/WeechatActivity.java","3","83","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.ubergeek42.WeechatAndroid.adapters","/home/matheus/smell-and-machine-learning/repositories/ubergeek42_weechat-android/app/src/main/java/com/ubergeek42/WeechatAndroid/adapters/ChatLinesAdapter.java","3","61","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.ubergeek42.WeechatAndroid.fragments","/home/matheus/smell-and-machine-learning/repositories/ubergeek42_weechat-android/app/src/main/java/com/ubergeek42/WeechatAndroid/fragments/BufferFragment.java","3","53","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.ubergeek42.WeechatAndroid.fragments","/home/matheus/smell-and-machine-learning/repositories/ubergeek42_weechat-android/app/src/main/java/com/ubergeek42/WeechatAndroid/fragments/BufferListFragment.java","3","39","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.ubergeek42.WeechatAndroid.relay","/home/matheus/smell-and-machine-learning/repositories/ubergeek42_weechat-android/app/src/main/java/com/ubergeek42/WeechatAndroid/relay/Buffer.java","3","30","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.ubergeek42.WeechatAndroid.relay","/home/matheus/smell-and-machine-learning/repositories/ubergeek42_weechat-android/app/src/main/java/com/ubergeek42/WeechatAndroid/relay/BufferList.java","3","37","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.ubergeek42.WeechatAndroid.relay","/home/matheus/smell-and-machine-learning/repositories/ubergeek42_weechat-android/app/src/main/java/com/ubergeek42/WeechatAndroid/relay/Lines.java","3","23","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.ubergeek42.WeechatAndroid.service","/home/matheus/smell-and-machine-learning/repositories/ubergeek42_weechat-android/app/src/main/java/com/ubergeek42/WeechatAndroid/service/P.java","3","48","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.ubergeek42.WeechatAndroid.service","/home/matheus/smell-and-machine-learning/repositories/ubergeek42_weechat-android/app/src/main/java/com/ubergeek42/WeechatAndroid/service/RelayService.java","3","57","The class 'RelayService' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=0, WMC=2)","Design","DataClass"
"2","com.ubergeek42.WeechatAndroid.service","/home/matheus/smell-and-machine-learning/repositories/ubergeek42_weechat-android/app/src/main/java/com/ubergeek42/WeechatAndroid/service/RelayService.java","3","57","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.ubergeek42.WeechatAndroid.utils","/home/matheus/smell-and-machine-learning/repositories/ubergeek42_weechat-android/app/src/main/java/com/ubergeek42/WeechatAndroid/utils/Utils.java","3","50","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.ubergeek42.cats","/home/matheus/smell-and-machine-learning/repositories/ubergeek42_weechat-android/cats/src/main/java/com/ubergeek42/cats/Kitty.java","3","14","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.ubergeek42.cats","/home/matheus/smell-and-machine-learning/repositories/ubergeek42_weechat-android/cats/src/test/java/com/ubergeek42/cats/CatTest.java","3","20","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.ubergeek42.cats","/home/matheus/smell-and-machine-learning/repositories/ubergeek42_weechat-android/cats/src/test/java/com/ubergeek42/cats/StringsTest.java","3","25","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.ubergeek42.weechat","/home/matheus/smell-and-machine-learning/repositories/ubergeek42_weechat-android/relay/src/main/java/com/ubergeek42/weechat/Buffer.java","3","33","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.ubergeek42.weechat","/home/matheus/smell-and-machine-learning/repositories/ubergeek42_weechat-android/relay/src/main/java/com/ubergeek42/weechat/BufferLine.java","3","33","The class 'BufferLine' is suspected to be a Data Class (WOC=11.111%, NOPA=0, NOAM=7, WMC=15)","Design","DataClass"
"1","com.ubergeek42.weechat","/home/matheus/smell-and-machine-learning/repositories/ubergeek42_weechat-android/relay/src/main/java/com/ubergeek42/weechat/Color.java","3","34","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.ubergeek42.weechat.relay.connection","/home/matheus/smell-and-machine-learning/repositories/ubergeek42_weechat-android/relay/src/main/java/com/ubergeek42/weechat/relay/connection/AbstractConnection.java","3","21","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.ubergeek42.weechat.relay.messagehandler","/home/matheus/smell-and-machine-learning/repositories/ubergeek42_weechat-android/relay/src/main/java/com/ubergeek42/weechat/relay/messagehandler/HotlistManager.java","3","102","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.ubergeek42.weechat.relay.protocol","/home/matheus/smell-and-machine-learning/repositories/ubergeek42_weechat-android/relay/src/main/java/com/ubergeek42/weechat/relay/protocol/RelayObject.java","3","26","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.ubergeek42.weechat.relay.protocol","/home/matheus/smell-and-machine-learning/repositories/ubergeek42_weechat-android/relay/src/test/java/com/ubergeek42/weechat/relay/protocol/DataTest.java","3","14","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
