"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.nolanlawson.japanesenamegenerator.v3.data","/home/matheus/smell-and-machine-learning/repositories/JapaneseNameConverterRoot/JapaneseNameConverter-preprocessing/src/main/java/com/nolanlawson/japanesenamegenerator/v3/data/Condition.java","3","9","The class 'Condition' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=5)","Design","DataClass"
"1","com.nolanlawson.japanesenamegenerator.v3.data","/home/matheus/smell-and-machine-learning/repositories/JapaneseNameConverterRoot/JapaneseNameConverter-preprocessing/src/main/java/com/nolanlawson/japanesenamegenerator/v3/data/Rule.java","3","111","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.nolanlawson.japanesenamegenerator.v3.kanji","/home/matheus/smell-and-machine-learning/repositories/JapaneseNameConverterRoot/JapaneseNameConverter-preprocessing/src/main/java/com/nolanlawson/japanesenamegenerator/v3/kanji/KanjiResult.java","3","7","The class 'KanjiResult' is suspected to be a Data Class (WOC=20.000%, NOPA=0, NOAM=6, WMC=10)","Design","DataClass"
"1","com.nolanlawson.japanesenamegenerator.v3.kanji","/home/matheus/smell-and-machine-learning/repositories/JapaneseNameConverterRoot/JapaneseNameConverter-preprocessing/src/main/java/com/nolanlawson/japanesenamegenerator/v3/kanji/SubstringNode.java","3","7","The class 'SubstringNode' is suspected to be a Data Class (WOC=11.111%, NOPA=0, NOAM=8, WMC=9)","Design","DataClass"
"1","com.nolanlawson.japanesenamegenerator.v3.katakana","/home/matheus/smell-and-machine-learning/repositories/JapaneseNameConverterRoot/JapaneseNameConverter-preprocessing/src/main/java/com/nolanlawson/japanesenamegenerator/v3/katakana/KatakanaConverter.java","3","15","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.nolanlawson.japanesenamegenerator.v3.training","/home/matheus/smell-and-machine-learning/repositories/JapaneseNameConverterRoot/JapaneseNameConverter-preprocessing/src/main/java/com/nolanlawson/japanesenamegenerator/v3/training/Trainer.java","3","48","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.nolanlawson.japanesenamegenerator.v3.util","/home/matheus/smell-and-machine-learning/repositories/JapaneseNameConverterRoot/JapaneseNameConverter-preprocessing/src/main/java/com/nolanlawson/japanesenamegenerator/v3/util/Pair.java","3","7","The class 'Pair' is suspected to be a Data Class (WOC=20.000%, NOPA=0, NOAM=4, WMC=6)","Design","DataClass"
"1","com.nolanlawson.jnameconverter","/home/matheus/smell-and-machine-learning/repositories/JapaneseNameConverterRoot/JapaneseNameConverter/src/com/nolanlawson/jnameconverter/JNameConverterActivity.java","3","33","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.nolanlawson.jnameconverter","/home/matheus/smell-and-machine-learning/repositories/JapaneseNameConverterRoot/JapaneseNameConverter/src/com/nolanlawson/jnameconverter/KanjiDialogActivity.java","3","30","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.nolanlawson.jnameconverter","/home/matheus/smell-and-machine-learning/repositories/JapaneseNameConverterRoot/JapaneseNameConverter/src/com/nolanlawson/jnameconverter/NameDisplayActivity.java","3","26","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.nolanlawson.jnameconverter.data.db","/home/matheus/smell-and-machine-learning/repositories/JapaneseNameConverterRoot/JapaneseNameConverter/src/com/nolanlawson/jnameconverter/data/db/KanjiEntry.java","3","5","The class 'KanjiEntry' is suspected to be a Data Class (WOC=16.667%, NOPA=0, NOAM=10, WMC=12)","Design","DataClass"
