"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.veken0m.bitcoinium","/home/matheus/smell-and-machine-learning/repositories/bitcoinium/src/main/java/com/veken0m/bitcoinium/BitcoinChartsActivity.java","3","34","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.veken0m.bitcoinium","/home/matheus/smell-and-machine-learning/repositories/bitcoinium/src/main/java/com/veken0m/bitcoinium/GraphActivity.java","3","47","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.veken0m.bitcoinium","/home/matheus/smell-and-machine-learning/repositories/bitcoinium/src/main/java/com/veken0m/bitcoinium/MinerStatsActivity.java","3","42","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.veken0m.bitcoinium","/home/matheus/smell-and-machine-learning/repositories/bitcoinium/src/main/java/com/veken0m/bitcoinium/MinerWidgetProvider.java","3","119","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.veken0m.bitcoinium","/home/matheus/smell-and-machine-learning/repositories/bitcoinium/src/main/java/com/veken0m/bitcoinium/OrderbookActivity.java","3","47","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.veken0m.bitcoinium.fragments.mining","/home/matheus/smell-and-machine-learning/repositories/bitcoinium/src/main/java/com/veken0m/bitcoinium/fragments/mining/BitMinterFragment.java","3","154","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.veken0m.bitcoinium.fragments.mining","/home/matheus/smell-and-machine-learning/repositories/bitcoinium/src/main/java/com/veken0m/bitcoinium/fragments/mining/EMCFragment.java","3","151","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.veken0m.bitcoinium.fragments.mining","/home/matheus/smell-and-machine-learning/repositories/bitcoinium/src/main/java/com/veken0m/bitcoinium/fragments/mining/EligiusFragment.java","3","163","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.veken0m.bitcoinium.fragments.mining","/home/matheus/smell-and-machine-learning/repositories/bitcoinium/src/main/java/com/veken0m/bitcoinium/fragments/mining/GHashIOFragment.java","3","174","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.veken0m.bitcoinium.fragments.mining","/home/matheus/smell-and-machine-learning/repositories/bitcoinium/src/main/java/com/veken0m/bitcoinium/fragments/mining/SlushFragment.java","3","152","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.veken0m.mining.bitminter","/home/matheus/smell-and-machine-learning/repositories/bitcoinium/src/main/java/com/veken0m/mining/bitminter/BTC.java","3","3","The class 'BTC' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=12, WMC=12)","Design","DataClass"
"1","com.veken0m.mining.bitminter","/home/matheus/smell-and-machine-learning/repositories/bitcoinium/src/main/java/com/veken0m/mining/bitminter/BitMinterData.java","3","5","The class 'BitMinterData' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=16, WMC=16)","Design","DataClass"
"1","com.veken0m.mining.bitminter","/home/matheus/smell-and-machine-learning/repositories/bitcoinium/src/main/java/com/veken0m/mining/bitminter/NMC.java","3","3","The class 'NMC' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=12, WMC=12)","Design","DataClass"
"1","com.veken0m.mining.bitminter","/home/matheus/smell-and-machine-learning/repositories/bitcoinium/src/main/java/com/veken0m/mining/bitminter/Round_start.java","3","6","The class 'Round_start' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=5)","Design","DataClass"
"1","com.veken0m.mining.bitminter","/home/matheus/smell-and-machine-learning/repositories/bitcoinium/src/main/java/com/veken0m/mining/bitminter/Shift.java","3","3","The class 'Shift' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=10, WMC=10)","Design","DataClass"
"1","com.veken0m.mining.bitminter","/home/matheus/smell-and-machine-learning/repositories/bitcoinium/src/main/java/com/veken0m/mining/bitminter/Workers.java","3","3","The class 'Workers' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=10, WMC=10)","Design","DataClass"
"1","com.veken0m.mining.btcguild","/home/matheus/smell-and-machine-learning/repositories/bitcoinium/src/main/java/com/veken0m/mining/btcguild/Pool.java","3","6","The class 'Pool' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=5, WMC=6)","Design","DataClass"
"1","com.veken0m.mining.btcguild","/home/matheus/smell-and-machine-learning/repositories/bitcoinium/src/main/java/com/veken0m/mining/btcguild/User.java","3","6","The class 'User' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=9, WMC=10)","Design","DataClass"
"1","com.veken0m.mining.btcguild","/home/matheus/smell-and-machine-learning/repositories/bitcoinium/src/main/java/com/veken0m/mining/btcguild/Worker.java","3","5","The class 'Worker' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=19, WMC=20)","Design","DataClass"
"2","com.veken0m.mining.btcguild","/home/matheus/smell-and-machine-learning/repositories/bitcoinium/src/main/java/com/veken0m/mining/btcguild/Worker.java","3","28","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","com.veken0m.mining.eligius","/home/matheus/smell-and-machine-learning/repositories/bitcoinium/src/main/java/com/veken0m/mining/eligius/TimeInterval.java","3","5","The class 'TimeInterval' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=5)","Design","DataClass"
"1","com.veken0m.mining.emc","/home/matheus/smell-and-machine-learning/repositories/bitcoinium/src/main/java/com/veken0m/mining/emc/User.java","3","6","The class 'User' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=5, WMC=6)","Design","DataClass"
"1","com.veken0m.mining.emc","/home/matheus/smell-and-machine-learning/repositories/bitcoinium/src/main/java/com/veken0m/mining/emc/Workers.java","3","6","The class 'Workers' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=6, WMC=7)","Design","DataClass"
