"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.gnucash.android.test.ui","/home/matheus/smell-and-machine-learning/repositories/gnucash-android/app/src/androidTest/java/org/gnucash/android/test/ui/AccountsActivityTest.java","3","99","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.gnucash.android.test.ui","/home/matheus/smell-and-machine-learning/repositories/gnucash-android/app/src/androidTest/java/org/gnucash/android/test/ui/TransactionsActivityTest.java","3","83","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.gnucash.android.db","/home/matheus/smell-and-machine-learning/repositories/gnucash-android/app/src/main/java/org/gnucash/android/db/MigrationHelper.java","3","93","Avoid really long classes.","Design","ExcessiveClassLength"
"2","org.gnucash.android.db","/home/matheus/smell-and-machine-learning/repositories/gnucash-android/app/src/main/java/org/gnucash/android/db/MigrationHelper.java","3","93","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","org.gnucash.android.db","/home/matheus/smell-and-machine-learning/repositories/gnucash-android/app/src/main/java/org/gnucash/android/db/MigrationHelper.java","3","497","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","org.gnucash.android.db","/home/matheus/smell-and-machine-learning/repositories/gnucash-android/app/src/main/java/org/gnucash/android/db/MigrationHelper.java","3","863","Avoid really long methods.","Design","ExcessiveMethodLength"
"5","org.gnucash.android.db","/home/matheus/smell-and-machine-learning/repositories/gnucash-android/app/src/main/java/org/gnucash/android/db/MigrationHelper.java","3","1243","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.gnucash.android.db.adapter","/home/matheus/smell-and-machine-learning/repositories/gnucash-android/app/src/main/java/org/gnucash/android/db/adapter/AccountsDbAdapter.java","3","61","Avoid really long classes.","Design","ExcessiveClassLength"
"2","org.gnucash.android.db.adapter","/home/matheus/smell-and-machine-learning/repositories/gnucash-android/app/src/main/java/org/gnucash/android/db/adapter/AccountsDbAdapter.java","3","61","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.gnucash.android.db.adapter","/home/matheus/smell-and-machine-learning/repositories/gnucash-android/app/src/main/java/org/gnucash/android/db/adapter/DatabaseAdapter.java","3","46","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.gnucash.android.db.adapter","/home/matheus/smell-and-machine-learning/repositories/gnucash-android/app/src/main/java/org/gnucash/android/db/adapter/DatabaseAdapter.java","3","88","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.gnucash.android.db.adapter","/home/matheus/smell-and-machine-learning/repositories/gnucash-android/app/src/main/java/org/gnucash/android/db/adapter/TransactionsDbAdapter.java","3","56","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.gnucash.android.export","/home/matheus/smell-and-machine-learning/repositories/gnucash-android/app/src/main/java/org/gnucash/android/export/ExportAsyncTask.java","3","87","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.gnucash.android.export.qif","/home/matheus/smell-and-machine-learning/repositories/gnucash-android/app/src/main/java/org/gnucash/android/export/qif/QifExporter.java","3","79","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.gnucash.android.export.xml","/home/matheus/smell-and-machine-learning/repositories/gnucash-android/app/src/main/java/org/gnucash/android/export/xml/GncXmlExporter.java","3","78","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.gnucash.android.export.xml","/home/matheus/smell-and-machine-learning/repositories/gnucash-android/app/src/main/java/org/gnucash/android/export/xml/GncXmlExporter.java","3","272","Avoid really long methods.","Design","ExcessiveMethodLength"
"3","org.gnucash.android.export.xml","/home/matheus/smell-and-machine-learning/repositories/gnucash-android/app/src/main/java/org/gnucash/android/export/xml/GncXmlExporter.java","3","501","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.gnucash.android.importer","/home/matheus/smell-and-machine-learning/repositories/gnucash-android/app/src/main/java/org/gnucash/android/importer/CommoditiesXmlHandler.java","3","34","The class 'CommoditiesXmlHandler' is suspected to be a Data Class (WOC=0.000%, NOPA=7, NOAM=0, WMC=2)","Design","DataClass"
"1","org.gnucash.android.importer","/home/matheus/smell-and-machine-learning/repositories/gnucash-android/app/src/main/java/org/gnucash/android/importer/GncXmlHandler.java","3","79","Avoid really long classes.","Design","ExcessiveClassLength"
"2","org.gnucash.android.importer","/home/matheus/smell-and-machine-learning/repositories/gnucash-android/app/src/main/java/org/gnucash/android/importer/GncXmlHandler.java","3","408","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.gnucash.android.model","/home/matheus/smell-and-machine-learning/repositories/gnucash-android/app/src/main/java/org/gnucash/android/model/Money.java","3","45","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.gnucash.android.ui.account","/home/matheus/smell-and-machine-learning/repositories/gnucash-android/app/src/main/java/org/gnucash/android/ui/account/AccountFormFragment.java","3","86","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.gnucash.android.ui.account","/home/matheus/smell-and-machine-learning/repositories/gnucash-android/app/src/main/java/org/gnucash/android/ui/account/AccountFormFragment.java","3","731","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.gnucash.android.ui.account","/home/matheus/smell-and-machine-learning/repositories/gnucash-android/app/src/main/java/org/gnucash/android/ui/account/AccountsActivity.java","3","79","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.gnucash.android.ui.account","/home/matheus/smell-and-machine-learning/repositories/gnucash-android/app/src/main/java/org/gnucash/android/ui/account/AccountsListFragment.java","3","83","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.gnucash.android.ui.budget","/home/matheus/smell-and-machine-learning/repositories/gnucash-android/app/src/main/java/org/gnucash/android/ui/budget/BudgetAmountEditorFragment.java","3","60","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.gnucash.android.ui.budget","/home/matheus/smell-and-machine-learning/repositories/gnucash-android/app/src/main/java/org/gnucash/android/ui/budget/BudgetFormFragment.java","3","80","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.gnucash.android.ui.budget","/home/matheus/smell-and-machine-learning/repositories/gnucash-android/app/src/main/java/org/gnucash/android/ui/budget/BudgetListFragment.java","3","72","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.gnucash.android.ui.common","/home/matheus/smell-and-machine-learning/repositories/gnucash-android/app/src/main/java/org/gnucash/android/ui/common/BaseDrawerActivity.java","3","77","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.gnucash.android.ui.export","/home/matheus/smell-and-machine-learning/repositories/gnucash-android/app/src/main/java/org/gnucash/android/ui/export/ExportFormFragment.java","3","95","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.gnucash.android.ui.export","/home/matheus/smell-and-machine-learning/repositories/gnucash-android/app/src/main/java/org/gnucash/android/ui/export/ExportFormFragment.java","3","350","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.gnucash.android.ui.report","/home/matheus/smell-and-machine-learning/repositories/gnucash-android/app/src/main/java/org/gnucash/android/ui/report/BaseReportFragment.java","3","66","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.gnucash.android.ui.report","/home/matheus/smell-and-machine-learning/repositories/gnucash-android/app/src/main/java/org/gnucash/android/ui/report/ReportsActivity.java","3","66","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.gnucash.android.ui.settings","/home/matheus/smell-and-machine-learning/repositories/gnucash-android/app/src/main/java/org/gnucash/android/ui/settings/BackupPreferenceFragment.java","3","70","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.gnucash.android.ui.settings","/home/matheus/smell-and-machine-learning/repositories/gnucash-android/app/src/main/java/org/gnucash/android/ui/settings/BookManagerFragment.java","3","67","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.gnucash.android.ui.transaction","/home/matheus/smell-and-machine-learning/repositories/gnucash-android/app/src/main/java/org/gnucash/android/ui/transaction/ScheduledActionsListFragment.java","3","75","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.gnucash.android.ui.transaction","/home/matheus/smell-and-machine-learning/repositories/gnucash-android/app/src/main/java/org/gnucash/android/ui/transaction/SplitEditorFragment.java","3","80","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.gnucash.android.ui.transaction","/home/matheus/smell-and-machine-learning/repositories/gnucash-android/app/src/main/java/org/gnucash/android/ui/transaction/TransactionFormFragment.java","3","105","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.gnucash.android.ui.transaction","/home/matheus/smell-and-machine-learning/repositories/gnucash-android/app/src/main/java/org/gnucash/android/ui/transaction/TransactionsActivity.java","3","76","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.gnucash.android.ui.transaction","/home/matheus/smell-and-machine-learning/repositories/gnucash-android/app/src/main/java/org/gnucash/android/ui/transaction/TransactionsListFragment.java","3","76","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.gnucash.android.ui.wizard","/home/matheus/smell-and-machine-learning/repositories/gnucash-android/app/src/main/java/org/gnucash/android/ui/wizard/FirstRunWizardActivity.java","3","66","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.gnucash.android.ui.wizard","/home/matheus/smell-and-machine-learning/repositories/gnucash-android/app/src/main/java/org/gnucash/android/ui/wizard/FirstRunWizardActivity.java","3","86","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.gnucash.android.test.unit.db","/home/matheus/smell-and-machine-learning/repositories/gnucash-android/app/src/test/java/org/gnucash/android/test/unit/db/AccountsDbAdapterTest.java","3","69","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.gnucash.android.test.unit.model","/home/matheus/smell-and-machine-learning/repositories/gnucash-android/app/src/test/java/org/gnucash/android/test/unit/model/MoneyTest.java","3","39","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.gnucash.android.test.unit.service","/home/matheus/smell-and-machine-learning/repositories/gnucash-android/app/src/test/java/org/gnucash/android/test/unit/service/ScheduledActionServiceTest.java","3","80","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
