"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.google.android.vending.licensing","/home/matheus/smell-and-machine-learning/repositories/mtotschnig_MyExpenses/PlayLicensingOrig/src/com/google/android/vending/licensing/LicenseValidator.java","3","89","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.google.android.vending.licensing.util","/home/matheus/smell-and-machine-learning/repositories/mtotschnig_MyExpenses/PlayLicensingOrig/src/com/google/android/vending/licensing/util/Base64.java","3","41","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.totschnig.myexpenses.test.espresso","/home/matheus/smell-and-machine-learning/repositories/mtotschnig_MyExpenses/myExpenses/src/androidTest/java/org/totschnig/myexpenses/test/espresso/MyExpensesTest.java","3","73","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.totschnig.myexpenses.test.espresso","/home/matheus/smell-and-machine-learning/repositories/mtotschnig_MyExpenses/myExpenses/src/androidTest/java/org/totschnig/myexpenses/test/espresso/SettingsTest.java","3","39","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.totschnig.myexpenses.test.misc","/home/matheus/smell-and-machine-learning/repositories/mtotschnig_MyExpenses/myExpenses/src/androidTest/java/org/totschnig/myexpenses/test/misc/QifParserTest.java","3","31","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.totschnig.myexpenses.test.model","/home/matheus/smell-and-machine-learning/repositories/mtotschnig_MyExpenses/myExpenses/src/androidTest/java/org/totschnig/myexpenses/test/model/AccountTest.java","3","47","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.totschnig.myexpenses.test.provider","/home/matheus/smell-and-machine-learning/repositories/mtotschnig_MyExpenses/myExpenses/src/androidTest/java/org/totschnig/myexpenses/test/provider/AccountInfo.java","3","11","The class 'AccountInfo' is suspected to be a Data Class (WOC=25.000%, NOPA=0, NOAM=4, WMC=8)","Design","DataClass"
"1","org.totschnig.myexpenses.test.provider","/home/matheus/smell-and-machine-learning/repositories/mtotschnig_MyExpenses/myExpenses/src/androidTest/java/org/totschnig/myexpenses/test/provider/CategoryTest.java","3","34","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.totschnig.myexpenses.test.provider","/home/matheus/smell-and-machine-learning/repositories/mtotschnig_MyExpenses/myExpenses/src/androidTest/java/org/totschnig/myexpenses/test/provider/TransactionInfo.java","3","12","The class 'TransactionInfo' is suspected to be a Data Class (WOC=14.286%, NOPA=0, NOAM=5, WMC=7)","Design","DataClass"
"1","org.totschnig.myexpenses.test.provider","/home/matheus/smell-and-machine-learning/repositories/mtotschnig_MyExpenses/myExpenses/src/androidTest/java/org/totschnig/myexpenses/test/provider/TransactionTest.java","3","79","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.totschnig.myexpenses.testutils","/home/matheus/smell-and-machine-learning/repositories/mtotschnig_MyExpenses/myExpenses/src/androidTest/java/org/totschnig/myexpenses/testutils/Fixture.java","3","59","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","org.totschnig.myexpenses.testutils","/home/matheus/smell-and-machine-learning/repositories/mtotschnig_MyExpenses/myExpenses/src/androidTest/java/org/totschnig/myexpenses/testutils/Fixture.java","3","256","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.totschnig.myexpenses.sync","/home/matheus/smell-and-machine-learning/repositories/mtotschnig_MyExpenses/myExpenses/src/debug/java/org/totschnig/myexpenses/sync/LocalFileBackendProvider.java","3","32","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.totschnig.myexpenses.provider","/home/matheus/smell-and-machine-learning/repositories/mtotschnig_MyExpenses/myExpenses/src/forTest/java/org/totschnig/myexpenses/provider/AccountInfo.java","3","10","The class 'AccountInfo' is suspected to be a Data Class (WOC=25.000%, NOPA=0, NOAM=4, WMC=8)","Design","DataClass"
"1","org.totschnig.myexpenses.provider","/home/matheus/smell-and-machine-learning/repositories/mtotschnig_MyExpenses/myExpenses/src/forTest/java/org/totschnig/myexpenses/provider/TransactionInfo.java","3","11","The class 'TransactionInfo' is suspected to be a Data Class (WOC=14.286%, NOPA=0, NOAM=5, WMC=7)","Design","DataClass"
"1","com.android.calendarcommon2","/home/matheus/smell-and-machine-learning/repositories/mtotschnig_MyExpenses/myExpenses/src/main/java/com/android/calendarcommon2/EventRecurrence.java","3","31","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.android.calendarcommon2","/home/matheus/smell-and-machine-learning/repositories/mtotschnig_MyExpenses/myExpenses/src/main/java/com/android/calendarcommon2/EventRecurrence.java","3","527","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.ortiz.touch","/home/matheus/smell-and-machine-learning/repositories/mtotschnig_MyExpenses/myExpenses/src/main/java/com/ortiz/touch/TouchImageView.java","3","40","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.ortiz.touch","/home/matheus/smell-and-machine-learning/repositories/mtotschnig_MyExpenses/myExpenses/src/main/java/com/ortiz/touch/TouchImageView.java","3","40","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.ortiz.touch","/home/matheus/smell-and-machine-learning/repositories/mtotschnig_MyExpenses/myExpenses/src/main/java/com/ortiz/touch/TouchImageView.java","3","545","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","com.ortiz.touch","/home/matheus/smell-and-machine-learning/repositories/mtotschnig_MyExpenses/myExpenses/src/main/java/com/ortiz/touch/TouchImageView.java","3","1256","The class 'ZoomVariables' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=0, WMC=1)","Design","DataClass"
"1","org.totschnig.myexpenses","/home/matheus/smell-and-machine-learning/repositories/mtotschnig_MyExpenses/myExpenses/src/main/java/org/totschnig/myexpenses/MyApplication.java","3","83","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.totschnig.myexpenses.activity","/home/matheus/smell-and-machine-learning/repositories/mtotschnig_MyExpenses/myExpenses/src/main/java/org/totschnig/myexpenses/activity/AccountEdit.java","3","81","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.totschnig.myexpenses.activity","/home/matheus/smell-and-machine-learning/repositories/mtotschnig_MyExpenses/myExpenses/src/main/java/org/totschnig/myexpenses/activity/BackupRestoreActivity.java","3","52","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.totschnig.myexpenses.activity","/home/matheus/smell-and-machine-learning/repositories/mtotschnig_MyExpenses/myExpenses/src/main/java/org/totschnig/myexpenses/activity/BudgetActivity.java","3","47","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
