"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","uk.org.ngo.squeezer","/home/matheus/smell-and-machine-learning/repositories/android-squeezer/Squeezer/src/main/java/uk/org/ngo/squeezer/NowPlayingFragment.java","3","102","Avoid really long classes.","Design","ExcessiveClassLength"
"2","uk.org.ngo.squeezer","/home/matheus/smell-and-machine-learning/repositories/android-squeezer/Squeezer/src/main/java/uk/org/ngo/squeezer/NowPlayingFragment.java","3","102","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","uk.org.ngo.squeezer","/home/matheus/smell-and-machine-learning/repositories/android-squeezer/Squeezer/src/main/java/uk/org/ngo/squeezer/NowPlayingFragment.java","3","268","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","uk.org.ngo.squeezer","/home/matheus/smell-and-machine-learning/repositories/android-squeezer/Squeezer/src/main/java/uk/org/ngo/squeezer/SearchActivity.java","3","36","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","uk.org.ngo.squeezer","/home/matheus/smell-and-machine-learning/repositories/android-squeezer/Squeezer/src/main/java/uk/org/ngo/squeezer/SettingsActivity.java","3","59","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","uk.org.ngo.squeezer","/home/matheus/smell-and-machine-learning/repositories/android-squeezer/Squeezer/src/main/java/uk/org/ngo/squeezer/Util.java","3","43","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","uk.org.ngo.squeezer","/home/matheus/smell-and-machine-learning/repositories/android-squeezer/Squeezer/src/main/java/uk/org/ngo/squeezer/VolumePanel.java","3","43","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","uk.org.ngo.squeezer.framework","/home/matheus/smell-and-machine-learning/repositories/android-squeezer/Squeezer/src/main/java/uk/org/ngo/squeezer/framework/BaseActivity.java","3","66","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","uk.org.ngo.squeezer.framework","/home/matheus/smell-and-machine-learning/repositories/android-squeezer/Squeezer/src/main/java/uk/org/ngo/squeezer/framework/ItemAdapter.java","3","46","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","uk.org.ngo.squeezer.framework","/home/matheus/smell-and-machine-learning/repositories/android-squeezer/Squeezer/src/main/java/uk/org/ngo/squeezer/framework/ItemListActivity.java","3","46","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","uk.org.ngo.squeezer.framework","/home/matheus/smell-and-machine-learning/repositories/android-squeezer/Squeezer/src/main/java/uk/org/ngo/squeezer/framework/ItemView.java","3","148","The class 'ContextMenuInfo' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=0, WMC=1)","Design","DataClass"
"1","uk.org.ngo.squeezer.itemlist","/home/matheus/smell-and-machine-learning/repositories/android-squeezer/Squeezer/src/main/java/uk/org/ngo/squeezer/itemlist/AlarmView.java","3","97","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","uk.org.ngo.squeezer.itemlist","/home/matheus/smell-and-machine-learning/repositories/android-squeezer/Squeezer/src/main/java/uk/org/ngo/squeezer/itemlist/AlarmsActivity.java","3","55","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","uk.org.ngo.squeezer.itemlist","/home/matheus/smell-and-machine-learning/repositories/android-squeezer/Squeezer/src/main/java/uk/org/ngo/squeezer/itemlist/AlbumListActivity.java","3","50","The class 'AlbumListActivity' is suspected to be a Data Class (WOC=25.000%, NOPA=0, NOAM=6, WMC=11)","Design","DataClass"
"1","uk.org.ngo.squeezer.itemlist","/home/matheus/smell-and-machine-learning/repositories/android-squeezer/Squeezer/src/main/java/uk/org/ngo/squeezer/itemlist/ArtistListActivity.java","3","38","The class 'ArtistListActivity' is suspected to be a Data Class (WOC=20.000%, NOPA=0, NOAM=4, WMC=6)","Design","DataClass"
"1","uk.org.ngo.squeezer.itemlist","/home/matheus/smell-and-machine-learning/repositories/android-squeezer/Squeezer/src/main/java/uk/org/ngo/squeezer/itemlist/CurrentPlaylistActivity.java","3","54","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","uk.org.ngo.squeezer.itemlist","/home/matheus/smell-and-machine-learning/repositories/android-squeezer/Squeezer/src/main/java/uk/org/ngo/squeezer/itemlist/PlayerListActivity.java","3","46","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","uk.org.ngo.squeezer.itemlist","/home/matheus/smell-and-machine-learning/repositories/android-squeezer/Squeezer/src/main/java/uk/org/ngo/squeezer/itemlist/PlaylistSongsActivity.java","3","44","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","uk.org.ngo.squeezer.itemlist","/home/matheus/smell-and-machine-learning/repositories/android-squeezer/Squeezer/src/main/java/uk/org/ngo/squeezer/itemlist/PlaylistsActivity.java","3","37","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","uk.org.ngo.squeezer.itemlist","/home/matheus/smell-and-machine-learning/repositories/android-squeezer/Squeezer/src/main/java/uk/org/ngo/squeezer/itemlist/PluginItemListActivity.java","3","53","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","uk.org.ngo.squeezer.itemlist","/home/matheus/smell-and-machine-learning/repositories/android-squeezer/Squeezer/src/main/java/uk/org/ngo/squeezer/itemlist/PluginListActivity.java","3","49","The class 'PluginListActivity' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=1, WMC=9)","Design","DataClass"
"1","uk.org.ngo.squeezer.itemlist","/home/matheus/smell-and-machine-learning/repositories/android-squeezer/Squeezer/src/main/java/uk/org/ngo/squeezer/itemlist/SongListActivity.java","3","58","The class 'SongListActivity' is suspected to be a Data Class (WOC=14.286%, NOPA=0, NOAM=6, WMC=24)","Design","DataClass"
"2","uk.org.ngo.squeezer.itemlist","/home/matheus/smell-and-machine-learning/repositories/android-squeezer/Squeezer/src/main/java/uk/org/ngo/squeezer/itemlist/SongListActivity.java","3","61","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","uk.org.ngo.squeezer.model","/home/matheus/smell-and-machine-learning/repositories/android-squeezer/Squeezer/src/main/java/uk/org/ngo/squeezer/model/Alarm.java","3","29","The class 'Alarm' is suspected to be a Data Class (WOC=30.769%, NOPA=1, NOAM=8, WMC=22)","Design","DataClass"
"1","uk.org.ngo.squeezer.model","/home/matheus/smell-and-machine-learning/repositories/android-squeezer/Squeezer/src/main/java/uk/org/ngo/squeezer/model/AlarmPlaylist.java","3","27","The class 'AlarmPlaylist' is suspected to be a Data Class (WOC=16.667%, NOPA=1, NOAM=3, WMC=8)","Design","DataClass"
"1","uk.org.ngo.squeezer.model","/home/matheus/smell-and-machine-learning/repositories/android-squeezer/Squeezer/src/main/java/uk/org/ngo/squeezer/model/Album.java","3","30","The class 'Album' is suspected to be a Data Class (WOC=22.222%, NOPA=1, NOAM=4, WMC=11)","Design","DataClass"
"1","uk.org.ngo.squeezer.model","/home/matheus/smell-and-machine-learning/repositories/android-squeezer/Squeezer/src/main/java/uk/org/ngo/squeezer/model/Plugin.java","3","28","The class 'Plugin' is suspected to be a Data Class (WOC=18.182%, NOPA=3, NOAM=8, WMC=13)","Design","DataClass"
"1","uk.org.ngo.squeezer.model","/home/matheus/smell-and-machine-learning/repositories/android-squeezer/Squeezer/src/main/java/uk/org/ngo/squeezer/model/PluginItem.java","3","29","The class 'PluginItem' is suspected to be a Data Class (WOC=8.333%, NOPA=1, NOAM=10, WMC=14)","Design","DataClass"
"1","uk.org.ngo.squeezer.service","/home/matheus/smell-and-machine-learning/repositories/android-squeezer/Squeezer/src/main/java/uk/org/ngo/squeezer/service/CliClient.java","3","81","Avoid really long classes.","Design","ExcessiveClassLength"
"2","uk.org.ngo.squeezer.service","/home/matheus/smell-and-machine-learning/repositories/android-squeezer/Squeezer/src/main/java/uk/org/ngo/squeezer/service/CliClient.java","3","81","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","uk.org.ngo.squeezer.service","/home/matheus/smell-and-machine-learning/repositories/android-squeezer/Squeezer/src/main/java/uk/org/ngo/squeezer/service/CliClient.java","3","224","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","uk.org.ngo.squeezer.service","/home/matheus/smell-and-machine-learning/repositories/android-squeezer/Squeezer/src/main/java/uk/org/ngo/squeezer/service/CliClient.java","3","637","Avoid really long methods.","Design","ExcessiveMethodLength"
