"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","github.daneren2005.dsub.service","/home/matheus/smell-and-machine-learning/repositories/Subsonic/app/src/androidTest/java/github/daneren2005/dsub/service/DownloadServiceTest.java","3","19","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","github.daneren2005.dsub.service","/home/matheus/smell-and-machine-learning/repositories/Subsonic/app/src/google/java/github/daneren2005/dsub/service/ChromeCastController.java","3","55","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","github.daneren2005.dsub.service","/home/matheus/smell-and-machine-learning/repositories/Subsonic/app/src/google/java/github/daneren2005/dsub/service/ChromeCastController.java","3","248","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","github.daneren2005.dsub.activity","/home/matheus/smell-and-machine-learning/repositories/Subsonic/app/src/main/java/github/daneren2005/dsub/activity/EditPlayActionActivity.java","3","61","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","github.daneren2005.dsub.activity","/home/matheus/smell-and-machine-learning/repositories/Subsonic/app/src/main/java/github/daneren2005/dsub/activity/SubsonicActivity.java","3","90","Avoid really long classes.","Design","ExcessiveClassLength"
"2","github.daneren2005.dsub.activity","/home/matheus/smell-and-machine-learning/repositories/Subsonic/app/src/main/java/github/daneren2005/dsub/activity/SubsonicActivity.java","3","90","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","github.daneren2005.dsub.activity","/home/matheus/smell-and-machine-learning/repositories/Subsonic/app/src/main/java/github/daneren2005/dsub/activity/SubsonicActivity.java","3","287","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","github.daneren2005.dsub.activity","/home/matheus/smell-and-machine-learning/repositories/Subsonic/app/src/main/java/github/daneren2005/dsub/activity/SubsonicFragmentActivity.java","3","85","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","github.daneren2005.dsub.activity","/home/matheus/smell-and-machine-learning/repositories/Subsonic/app/src/main/java/github/daneren2005/dsub/activity/SubsonicFragmentActivity.java","3","113","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","github.daneren2005.dsub.adapter","/home/matheus/smell-and-machine-learning/repositories/Subsonic/app/src/main/java/github/daneren2005/dsub/adapter/PodcastChannelAdapter.java","3","40","The class 'PodcastChannelAdapter' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=0, WMC=2)","Design","DataClass"
"1","github.daneren2005.dsub.adapter","/home/matheus/smell-and-machine-learning/repositories/Subsonic/app/src/main/java/github/daneren2005/dsub/adapter/SectionAdapter.java","3","48","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","github.daneren2005.dsub.domain","/home/matheus/smell-and-machine-learning/repositories/Subsonic/app/src/main/java/github/daneren2005/dsub/domain/Artist.java","3","33","The class 'Artist' is suspected to be a Data Class (WOC=6.667%, NOPA=2, NOAM=12, WMC=19)","Design","DataClass"
"1","github.daneren2005.dsub.domain","/home/matheus/smell-and-machine-learning/repositories/Subsonic/app/src/main/java/github/daneren2005/dsub/domain/ArtistInfo.java","3","21","The class 'ArtistInfo' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=12, WMC=12)","Design","DataClass"
"1","github.daneren2005.dsub.domain","/home/matheus/smell-and-machine-learning/repositories/Subsonic/app/src/main/java/github/daneren2005/dsub/domain/Bookmark.java","3","30","The class 'Bookmark' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=12, WMC=18)","Design","DataClass"
"1","github.daneren2005.dsub.domain","/home/matheus/smell-and-machine-learning/repositories/Subsonic/app/src/main/java/github/daneren2005/dsub/domain/ChatMessage.java","3","23","The class 'ChatMessage' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=6, WMC=6)","Design","DataClass"
