"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.pindroid.activity","/home/matheus/smell-and-machine-learning/repositories/maxpower47_PinDroid/app/src/main/java/com/pindroid/activity/Main.java","3","97","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.pindroid.authenticator","/home/matheus/smell-and-machine-learning/repositories/maxpower47_PinDroid/app/src/main/java/com/pindroid/authenticator/AuthenticatorActivity.java","3","58","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.pindroid.fragment","/home/matheus/smell-and-machine-learning/repositories/maxpower47_PinDroid/app/src/main/java/com/pindroid/fragment/BrowseBookmarkFeedFragment.java","3","63","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.pindroid.fragment","/home/matheus/smell-and-machine-learning/repositories/maxpower47_PinDroid/app/src/main/java/com/pindroid/fragment/BrowseBookmarksFragment.java","3","69","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.pindroid.fragment","/home/matheus/smell-and-machine-learning/repositories/maxpower47_PinDroid/app/src/main/java/com/pindroid/fragment/ViewBookmarkFragment.java","3","65","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.pindroid.platform","/home/matheus/smell-and-machine-learning/repositories/maxpower47_PinDroid/app/src/main/java/com/pindroid/platform/BookmarkManager.java","3","39","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.pindroid.platform","/home/matheus/smell-and-machine-learning/repositories/maxpower47_PinDroid/app/src/main/java/com/pindroid/platform/TagManager.java","3","34","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.pindroid.providers","/home/matheus/smell-and-machine-learning/repositories/maxpower47_PinDroid/app/src/main/java/com/pindroid/providers/ArticleContent.java","3","31","The class 'Article' is suspected to be a Data Class (WOC=7.692%, NOPA=0, NOAM=10, WMC=14)","Design","DataClass"
"1","com.pindroid.providers","/home/matheus/smell-and-machine-learning/repositories/maxpower47_PinDroid/app/src/main/java/com/pindroid/providers/BookmarkContent.java","3","35","The class 'Bookmark' is suspected to be a Data Class (WOC=24.324%, NOPA=17, NOAM=23, WMC=45)","Design","DataClass"
"2","com.pindroid.providers","/home/matheus/smell-and-machine-learning/repositories/maxpower47_PinDroid/app/src/main/java/com/pindroid/providers/BookmarkContent.java","3","209","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","com.pindroid.providers","/home/matheus/smell-and-machine-learning/repositories/maxpower47_PinDroid/app/src/main/java/com/pindroid/providers/BookmarkContentProvider.java","3","59","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.pindroid.providers","/home/matheus/smell-and-machine-learning/repositories/maxpower47_PinDroid/app/src/main/java/com/pindroid/providers/NoteContent.java","3","29","The class 'Note' is suspected to be a Data Class (WOC=20.000%, NOPA=10, NOAM=14, WMC=20)","Design","DataClass"
"1","com.pindroid.providers","/home/matheus/smell-and-machine-learning/repositories/maxpower47_PinDroid/app/src/main/java/com/pindroid/providers/SearchSuggestionContent.java","3","26","The class 'SearchSuggestionContent' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=6, WMC=8)","Design","DataClass"
"1","com.pindroid.ui","/home/matheus/smell-and-machine-learning/repositories/maxpower47_PinDroid/app/src/main/java/com/pindroid/ui/NsMenuItemModel.java","3","30","The class 'NsMenuItemModel' is suspected to be a Data Class (WOC=0.000%, NOPA=5, NOAM=1, WMC=9)","Design","DataClass"
