"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.sismics.reader.agent.deployer","/home/matheus/smell-and-machine-learning/repositories/sismics_reader/reader-agent/src/main/java/com/sismics/reader/agent/deployer/DeploymentStatus.java","3","10","The class 'DeploymentStatus' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=5, WMC=6)","Design","DataClass"
"1","com.sismics.reader.agent.model","/home/matheus/smell-and-machine-learning/repositories/sismics_reader/reader-agent/src/main/java/com/sismics/reader/agent/model/Setting.java","3","20","The class 'Setting' is suspected to be a Data Class (WOC=9.524%, NOPA=5, NOAM=18, WMC=29)","Design","DataClass"
"1","com.sismics.reader.activity","/home/matheus/smell-and-machine-learning/repositories/sismics_reader/reader-android/app/src/main/java/com/sismics/reader/activity/ArticleActivity.java","3","87","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.sismics.reader.activity","/home/matheus/smell-and-machine-learning/repositories/sismics_reader/reader-android/app/src/main/java/com/sismics/reader/activity/MainActivity.java","3","50","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.sismics.reader.fragment","/home/matheus/smell-and-machine-learning/repositories/sismics_reader/reader-android/app/src/main/java/com/sismics/reader/fragment/ArticleFragment.java","3","68","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","com.sismics.reader.fragment","/home/matheus/smell-and-machine-learning/repositories/sismics_reader/reader-android/app/src/main/java/com/sismics/reader/fragment/ArticleFragment.java","3","183","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.sismics.reader.fragment","/home/matheus/smell-and-machine-learning/repositories/sismics_reader/reader-android/app/src/main/java/com/sismics/reader/fragment/ArticlesFragment.java","3","166","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.sismics.reader.ui.adapter","/home/matheus/smell-and-machine-learning/repositories/sismics_reader/reader-android/app/src/main/java/com/sismics/reader/ui/adapter/CategoryAdapter.java","3","262","The class 'Category' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=4)","Design","DataClass"
"2","com.sismics.reader.ui.adapter","/home/matheus/smell-and-machine-learning/repositories/sismics_reader/reader-android/app/src/main/java/com/sismics/reader/ui/adapter/CategoryAdapter.java","3","287","The class 'State' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=5, WMC=6)","Design","DataClass"
"1","com.sismics.reader.ui.adapter","/home/matheus/smell-and-machine-learning/repositories/sismics_reader/reader-android/app/src/main/java/com/sismics/reader/ui/adapter/SubscriptionItem.java","3","8","The class 'SubscriptionItem' is suspected to be a Data Class (WOC=0.000%, NOPA=3, NOAM=14, WMC=14)","Design","DataClass"
