"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","de.onyxbits.remotekeyboard","/home/matheus/smell-and-machine-learning/repositories/onyxbits_remotekeyboard/src/de/onyxbits/remotekeyboard/CtrlInputAction.java","3","44","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","de.onyxbits.remotekeyboard","/home/matheus/smell-and-machine-learning/repositories/onyxbits_remotekeyboard/src/de/onyxbits/remotekeyboard/RemoteKeyboardService.java","3","39","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.onyxbits.remotekeyboard","/home/matheus/smell-and-machine-learning/repositories/onyxbits_remotekeyboard/src/de/onyxbits/remotekeyboard/Schema.java","3","13","The class 'Schema' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=0, WMC=1)","Design","DataClass"
"1","de.onyxbits.remotekeyboard","/home/matheus/smell-and-machine-learning/repositories/onyxbits_remotekeyboard/src/de/onyxbits/remotekeyboard/TelnetEditorShell.java","3","76","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","net.wimpi.telnetd.io","/home/matheus/smell-and-machine-learning/repositories/onyxbits_remotekeyboard/src/net/wimpi/telnetd/io/BasicTerminalIO.java","3","45","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.wimpi.telnetd.io","/home/matheus/smell-and-machine-learning/repositories/onyxbits_remotekeyboard/src/net/wimpi/telnetd/io/TelnetIO.java","3","74","Avoid really long classes.","Design","ExcessiveClassLength"
"2","net.wimpi.telnetd.io","/home/matheus/smell-and-machine-learning/repositories/onyxbits_remotekeyboard/src/net/wimpi/telnetd/io/TelnetIO.java","3","74","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","net.wimpi.telnetd.io","/home/matheus/smell-and-machine-learning/repositories/onyxbits_remotekeyboard/src/net/wimpi/telnetd/io/TelnetIO.java","3","504","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.wimpi.telnetd.io","/home/matheus/smell-and-machine-learning/repositories/onyxbits_remotekeyboard/src/net/wimpi/telnetd/io/TerminalIO.java","3","58","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.wimpi.telnetd.io.terminal","/home/matheus/smell-and-machine-learning/repositories/onyxbits_remotekeyboard/src/net/wimpi/telnetd/io/terminal/ColorHelper.java","3","44","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.wimpi.telnetd.io.terminal","/home/matheus/smell-and-machine-learning/repositories/onyxbits_remotekeyboard/src/net/wimpi/telnetd/io/terminal/Colorizer.java","3","223","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","net.wimpi.telnetd.io.toolkit","/home/matheus/smell-and-machine-learning/repositories/onyxbits_remotekeyboard/src/net/wimpi/telnetd/io/toolkit/Dimension.java","3","43","The class 'Dimension' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=6)","Design","DataClass"
"1","net.wimpi.telnetd.io.toolkit","/home/matheus/smell-and-machine-learning/repositories/onyxbits_remotekeyboard/src/net/wimpi/telnetd/io/toolkit/Editarea.java","3","47","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","net.wimpi.telnetd.io.toolkit","/home/matheus/smell-and-machine-learning/repositories/onyxbits_remotekeyboard/src/net/wimpi/telnetd/io/toolkit/Editarea.java","3","135","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","net.wimpi.telnetd.io.toolkit","/home/matheus/smell-and-machine-learning/repositories/onyxbits_remotekeyboard/src/net/wimpi/telnetd/io/toolkit/Editfield.java","3","46","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.wimpi.telnetd.io.toolkit","/home/matheus/smell-and-machine-learning/repositories/onyxbits_remotekeyboard/src/net/wimpi/telnetd/io/toolkit/Editline.java","3","45","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.wimpi.telnetd.net","/home/matheus/smell-and-machine-learning/repositories/onyxbits_remotekeyboard/src/net/wimpi/telnetd/net/ConnectionData.java","3","48","The class 'ConnectionData' is suspected to be a Data Class (WOC=25.000%, NOPA=0, NOAM=17, WMC=43)","Design","DataClass"
"1","net.wimpi.telnetd.shell","/home/matheus/smell-and-machine-learning/repositories/onyxbits_remotekeyboard/src/net/wimpi/telnetd/shell/DummyShell.java","3","71","Avoid really long methods.","Design","ExcessiveMethodLength"
