"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","pro.oneredpixel.l9droid","/home/matheus/smell-and-machine-learning/repositories/L9Droid/src/pro/oneredpixel/l9droid/CustomisableListAdapter.java","3","14","The class 'CustomisableListAdapter' is suspected to be a Data Class (WOC=0.000%, NOPA=5, NOAM=0, WMC=1)","Design","DataClass"
"1","pro.oneredpixel.l9droid","/home/matheus/smell-and-machine-learning/repositories/L9Droid/src/pro/oneredpixel/l9droid/ExpAdapter.java","3","58","Avoid long parameter lists.","Design","ExcessiveParameterList"
"2","pro.oneredpixel.l9droid","/home/matheus/smell-and-machine-learning/repositories/L9Droid/src/pro/oneredpixel/l9droid/ExpAdapter.java","3","68","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","pro.oneredpixel.l9droid","/home/matheus/smell-and-machine-learning/repositories/L9Droid/src/pro/oneredpixel/l9droid/GameActivity.java","3","40","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","pro.oneredpixel.l9droid","/home/matheus/smell-and-machine-learning/repositories/L9Droid/src/pro/oneredpixel/l9droid/L9.java","3","54","Avoid really long classes.","Design","ExcessiveClassLength"
"2","pro.oneredpixel.l9droid","/home/matheus/smell-and-machine-learning/repositories/L9Droid/src/pro/oneredpixel/l9droid/L9.java","3","54","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","pro.oneredpixel.l9droid","/home/matheus/smell-and-machine-learning/repositories/L9Droid/src/pro/oneredpixel/l9droid/L9.java","3","1643","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","pro.oneredpixel.l9droid","/home/matheus/smell-and-machine-learning/repositories/L9Droid/src/pro/oneredpixel/l9droid/L9.java","3","2203","Avoid really long methods.","Design","ExcessiveMethodLength"
"5","pro.oneredpixel.l9droid","/home/matheus/smell-and-machine-learning/repositories/L9Droid/src/pro/oneredpixel/l9droid/L9.java","3","2719","Avoid really long methods.","Design","ExcessiveMethodLength"
"6","pro.oneredpixel.l9droid","/home/matheus/smell-and-machine-learning/repositories/L9Droid/src/pro/oneredpixel/l9droid/L9.java","3","4400","Avoid really long methods.","Design","ExcessiveMethodLength"
"7","pro.oneredpixel.l9droid","/home/matheus/smell-and-machine-learning/repositories/L9Droid/src/pro/oneredpixel/l9droid/L9.java","3","4767","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","pro.oneredpixel.l9droid","/home/matheus/smell-and-machine-learning/repositories/L9Droid/src/pro/oneredpixel/l9droid/L9Bitmap.java","3","3","Avoid really long classes.","Design","ExcessiveClassLength"
"2","pro.oneredpixel.l9droid","/home/matheus/smell-and-machine-learning/repositories/L9Droid/src/pro/oneredpixel/l9droid/L9Bitmap.java","3","3","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","pro.oneredpixel.l9droid","/home/matheus/smell-and-machine-learning/repositories/L9Droid/src/pro/oneredpixel/l9droid/L9Bitmap.java","3","1035","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","pro.oneredpixel.l9droid","/home/matheus/smell-and-machine-learning/repositories/L9Droid/src/pro/oneredpixel/l9droid/L9Bitmap.java","3","1987","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","pro.oneredpixel.l9droid","/home/matheus/smell-and-machine-learning/repositories/L9Droid/src/pro/oneredpixel/l9droid/L9implement.java","3","13","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","pro.oneredpixel.l9droid","/home/matheus/smell-and-machine-learning/repositories/L9Droid/src/pro/oneredpixel/l9droid/Library.java","3","41","Avoid really long classes.","Design","ExcessiveClassLength"
"2","pro.oneredpixel.l9droid","/home/matheus/smell-and-machine-learning/repositories/L9Droid/src/pro/oneredpixel/l9droid/Library.java","3","41","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","pro.oneredpixel.l9droid","/home/matheus/smell-and-machine-learning/repositories/L9Droid/src/pro/oneredpixel/l9droid/Threads.java","3","66","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","pro.oneredpixel.l9droid","/home/matheus/smell-and-machine-learning/repositories/L9Droid/src/pro/oneredpixel/l9droid/Threads.java","3","79","Avoid really long methods.","Design","ExcessiveMethodLength"
