"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.stericson.rootshell","/home/matheus/smell-and-machine-learning/repositories/ukanth_afwall/aFWall/src/main/java/com/stericson/rootshell/RootShell.java","3","40","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.stericson.rootshell","/home/matheus/smell-and-machine-learning/repositories/ukanth_afwall/aFWall/src/main/java/com/stericson/rootshell/SanityCheckRootShell.java","3","151","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.stericson.rootshell.execution","/home/matheus/smell-and-machine-learning/repositories/ukanth_afwall/aFWall/src/main/java/com/stericson/rootshell/execution/Command.java","3","36","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.stericson.rootshell.execution","/home/matheus/smell-and-machine-learning/repositories/ukanth_afwall/aFWall/src/main/java/com/stericson/rootshell/execution/Shell.java","3","45","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.stericson.rootshell.execution","/home/matheus/smell-and-machine-learning/repositories/ukanth_afwall/aFWall/src/main/java/com/stericson/rootshell/execution/Shell.java","3","133","Avoid really long methods.","Design","ExcessiveMethodLength"
"3","com.stericson.rootshell.execution","/home/matheus/smell-and-machine-learning/repositories/ukanth_afwall/aFWall/src/main/java/com/stericson/rootshell/execution/Shell.java","3","651","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.stericson.roottools","/home/matheus/smell-and-machine-learning/repositories/ukanth_afwall/aFWall/src/main/java/com/stericson/roottools/RootTools.java","3","47","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.stericson.roottools","/home/matheus/smell-and-machine-learning/repositories/ukanth_afwall/aFWall/src/main/java/com/stericson/roottools/SanityCheckRootTools.java","3","131","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.stericson.roottools.internal","/home/matheus/smell-and-machine-learning/repositories/ukanth_afwall/aFWall/src/main/java/com/stericson/roottools/internal/Installer.java","3","79","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.stericson.roottools.internal","/home/matheus/smell-and-machine-learning/repositories/ukanth_afwall/aFWall/src/main/java/com/stericson/roottools/internal/Remounter.java","3","69","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.stericson.roottools.internal","/home/matheus/smell-and-machine-learning/repositories/ukanth_afwall/aFWall/src/main/java/com/stericson/roottools/internal/RootToolsInternalMethods.java","3","51","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.stericson.roottools.internal","/home/matheus/smell-and-machine-learning/repositories/ukanth_afwall/aFWall/src/main/java/com/stericson/roottools/internal/RootToolsInternalMethods.java","3","51","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","dev.ukanth.ufirewall","/home/matheus/smell-and-machine-learning/repositories/ukanth_afwall/aFWall/src/main/java/dev/ukanth/ufirewall/Api.java","3","138","Avoid really long classes.","Design","ExcessiveClassLength"
