"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","de.ub0r.android.callmeter.data","/home/matheus/smell-and-machine-learning/repositories/felixb_callmeter/CallMeter3G/src/main/java/de/ub0r/android/callmeter/data/DataProvider.java","3","73","Avoid really long classes.","Design","ExcessiveClassLength"
"2","de.ub0r.android.callmeter.data","/home/matheus/smell-and-machine-learning/repositories/felixb_callmeter/CallMeter3G/src/main/java/de/ub0r/android/callmeter/data/DataProvider.java","3","73","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","de.ub0r.android.callmeter.data","/home/matheus/smell-and-machine-learning/repositories/felixb_callmeter/CallMeter3G/src/main/java/de/ub0r/android/callmeter/data/DataProvider.java","3","826","Avoid really long classes.","Design","ExcessiveClassLength"
"4","de.ub0r.android.callmeter.data","/home/matheus/smell-and-machine-learning/repositories/felixb_callmeter/CallMeter3G/src/main/java/de/ub0r/android/callmeter/data/DataProvider.java","3","3931","Avoid really long methods.","Design","ExcessiveMethodLength"
"5","de.ub0r.android.callmeter.data","/home/matheus/smell-and-machine-learning/repositories/felixb_callmeter/CallMeter3G/src/main/java/de/ub0r/android/callmeter/data/DataProvider.java","3","4583","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","de.ub0r.android.callmeter.data","/home/matheus/smell-and-machine-learning/repositories/felixb_callmeter/CallMeter3G/src/main/java/de/ub0r/android/callmeter/data/LogRunnerService.java","3","68","Avoid really long classes.","Design","ExcessiveClassLength"
"2","de.ub0r.android.callmeter.data","/home/matheus/smell-and-machine-learning/repositories/felixb_callmeter/CallMeter3G/src/main/java/de/ub0r/android/callmeter/data/LogRunnerService.java","3","68","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","de.ub0r.android.callmeter.data","/home/matheus/smell-and-machine-learning/repositories/felixb_callmeter/CallMeter3G/src/main/java/de/ub0r/android/callmeter/data/LogRunnerService.java","3","381","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","de.ub0r.android.callmeter.data","/home/matheus/smell-and-machine-learning/repositories/felixb_callmeter/CallMeter3G/src/main/java/de/ub0r/android/callmeter/data/LogRunnerService.java","3","766","Avoid really long methods.","Design","ExcessiveMethodLength"
"5","de.ub0r.android.callmeter.data","/home/matheus/smell-and-machine-learning/repositories/felixb_callmeter/CallMeter3G/src/main/java/de/ub0r/android/callmeter/data/LogRunnerService.java","3","916","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","de.ub0r.android.callmeter.data","/home/matheus/smell-and-machine-learning/repositories/felixb_callmeter/CallMeter3G/src/main/java/de/ub0r/android/callmeter/data/RuleMatcher.java","3","57","Avoid really long classes.","Design","ExcessiveClassLength"
"2","de.ub0r.android.callmeter.data","/home/matheus/smell-and-machine-learning/repositories/felixb_callmeter/CallMeter3G/src/main/java/de/ub0r/android/callmeter/data/RuleMatcher.java","3","540","Avoid really long methods.","Design","ExcessiveMethodLength"
"3","de.ub0r.android.callmeter.data","/home/matheus/smell-and-machine-learning/repositories/felixb_callmeter/CallMeter3G/src/main/java/de/ub0r/android/callmeter/data/RuleMatcher.java","3","1493","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","de.ub0r.android.callmeter.ui","/home/matheus/smell-and-machine-learning/repositories/felixb_callmeter/CallMeter3G/src/main/java/de/ub0r/android/callmeter/ui/AskForPlan.java","3","125","Avoid really long methods.","Design","ExcessiveMethodLength"
