"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","de.syss.MifareClassicTool.Activities","/home/matheus/smell-and-machine-learning/repositories/MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/Activities/DumpEditor.java","3","79","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.syss.MifareClassicTool.Activities","/home/matheus/smell-and-machine-learning/repositories/MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/Activities/KeyMapCreator.java","3","74","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","de.syss.MifareClassicTool.Activities","/home/matheus/smell-and-machine-learning/repositories/MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/Activities/KeyMapCreator.java","3","516","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","de.syss.MifareClassicTool.Activities","/home/matheus/smell-and-machine-learning/repositories/MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/Activities/MainMenu.java","3","73","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","de.syss.MifareClassicTool.Activities","/home/matheus/smell-and-machine-learning/repositories/MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/Activities/MainMenu.java","3","144","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","de.syss.MifareClassicTool.Activities","/home/matheus/smell-and-machine-learning/repositories/MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/Activities/TagInfoTool.java","3","118","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","de.syss.MifareClassicTool.Activities","/home/matheus/smell-and-machine-learning/repositories/MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/Activities/WriteTag.java","3","64","Avoid really long classes.","Design","ExcessiveClassLength"
"2","de.syss.MifareClassicTool.Activities","/home/matheus/smell-and-machine-learning/repositories/MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/Activities/WriteTag.java","3","64","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","de.syss.MifareClassicTool.Activities","/home/matheus/smell-and-machine-learning/repositories/MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/Activities/WriteTag.java","3","674","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","de.syss.MifareClassicTool.Activities","/home/matheus/smell-and-machine-learning/repositories/MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/Activities/WriteTag.java","3","891","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","de.syss.MifareClassicTool","/home/matheus/smell-and-machine-learning/repositories/MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/Common.java","3","71","Avoid really long classes.","Design","ExcessiveClassLength"
"2","de.syss.MifareClassicTool","/home/matheus/smell-and-machine-learning/repositories/MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/Common.java","3","71","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","de.syss.MifareClassicTool","/home/matheus/smell-and-machine-learning/repositories/MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/Common.java","3","868","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","de.syss.MifareClassicTool","/home/matheus/smell-and-machine-learning/repositories/MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/MCReader.java","3","48","Avoid really long classes.","Design","ExcessiveClassLength"
"2","de.syss.MifareClassicTool","/home/matheus/smell-and-machine-learning/repositories/MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/MCReader.java","3","48","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","de.syss.MifareClassicTool","/home/matheus/smell-and-machine-learning/repositories/MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/MCReader.java","3","515","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","de.syss.MifareClassicTool","/home/matheus/smell-and-machine-learning/repositories/MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/MCReader.java","3","725","Avoid really long methods.","Design","ExcessiveMethodLength"
