"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","zame.game","/home/matheus/smell-and-machine-learning/repositories/Gloomy-Dungeons-3D/src/main/java/zame/game/Common.java","3","27","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","zame.game","/home/matheus/smell-and-machine-learning/repositories/Gloomy-Dungeons-3D/src/main/java/zame/game/GameActivity.java","3","28","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","zame.game","/home/matheus/smell-and-machine-learning/repositories/Gloomy-Dungeons-3D/src/main/java/zame/game/Renderer.java","3","12","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","zame.game","/home/matheus/smell-and-machine-learning/repositories/Gloomy-Dungeons-3D/src/main/java/zame/game/ZameGame.java","3","20","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","zame.game.engine","/home/matheus/smell-and-machine-learning/repositories/Gloomy-Dungeons-3D/src/main/java/zame/game/engine/Controls.java","3","16","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","zame.game.engine","/home/matheus/smell-and-machine-learning/repositories/Gloomy-Dungeons-3D/src/main/java/zame/game/engine/Controls.java","3","123","The class 'ControlVariant' is suspected to be a Data Class (WOC=0.000%, NOPA=12, NOAM=0, WMC=3)","Design","DataClass"
"3","zame.game.engine","/home/matheus/smell-and-machine-learning/repositories/Gloomy-Dungeons-3D/src/main/java/zame/game/engine/Controls.java","3","546","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","zame.game.engine","/home/matheus/smell-and-machine-learning/repositories/Gloomy-Dungeons-3D/src/main/java/zame/game/engine/Game.java","3","31","Avoid really long classes.","Design","ExcessiveClassLength"
"2","zame.game.engine","/home/matheus/smell-and-machine-learning/repositories/Gloomy-Dungeons-3D/src/main/java/zame/game/engine/Game.java","3","31","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","zame.game.engine","/home/matheus/smell-and-machine-learning/repositories/Gloomy-Dungeons-3D/src/main/java/zame/game/engine/Game.java","3","624","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","zame.game.engine","/home/matheus/smell-and-machine-learning/repositories/Gloomy-Dungeons-3D/src/main/java/zame/game/engine/Game.java","3","802","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","zame.game.engine","/home/matheus/smell-and-machine-learning/repositories/Gloomy-Dungeons-3D/src/main/java/zame/game/engine/Level.java","3","160","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","zame.game.engine","/home/matheus/smell-and-machine-learning/repositories/Gloomy-Dungeons-3D/src/main/java/zame/game/engine/Level.java","3","396","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","zame.game.engine","/home/matheus/smell-and-machine-learning/repositories/Gloomy-Dungeons-3D/src/main/java/zame/game/engine/LevelRenderer.java","3","9","Avoid really long classes.","Design","ExcessiveClassLength"
"2","zame.game.engine","/home/matheus/smell-and-machine-learning/repositories/Gloomy-Dungeons-3D/src/main/java/zame/game/engine/LevelRenderer.java","3","9","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","zame.game.engine","/home/matheus/smell-and-machine-learning/repositories/Gloomy-Dungeons-3D/src/main/java/zame/game/engine/LevelRenderer.java","3","434","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","zame.game.engine","/home/matheus/smell-and-machine-learning/repositories/Gloomy-Dungeons-3D/src/main/java/zame/game/engine/LevelRenderer.java","3","670","Avoid really long methods.","Design","ExcessiveMethodLength"
"5","zame.game.engine","/home/matheus/smell-and-machine-learning/repositories/Gloomy-Dungeons-3D/src/main/java/zame/game/engine/LevelRenderer.java","3","880","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","zame.game.engine","/home/matheus/smell-and-machine-learning/repositories/Gloomy-Dungeons-3D/src/main/java/zame/game/engine/Monster.java","3","225","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","zame.game.engine","/home/matheus/smell-and-machine-learning/repositories/Gloomy-Dungeons-3D/src/main/java/zame/game/engine/PortalTracer.java","3","163","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","zame.game.engine","/home/matheus/smell-and-machine-learning/repositories/Gloomy-Dungeons-3D/src/main/java/zame/game/engine/PortalTracer.java","3","432","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","zame.game.engine","/home/matheus/smell-and-machine-learning/repositories/Gloomy-Dungeons-3D/src/main/java/zame/game/engine/State.java","3","203","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","zame.game.engine","/home/matheus/smell-and-machine-learning/repositories/Gloomy-Dungeons-3D/src/main/java/zame/game/engine/TextureLoader.java","3","54","The class 'TextureToLoad' is suspected to be a Data Class (WOC=0.000%, NOPA=7, NOAM=0, WMC=2)","Design","DataClass"
"1","zame.game.engine","/home/matheus/smell-and-machine-learning/repositories/Gloomy-Dungeons-3D/src/main/java/zame/game/engine/Weapons.java","3","10","The class 'WeaponParams' is suspected to be a Data Class (WOC=0.000%, NOPA=12, NOAM=0, WMC=1)","Design","DataClass"
"2","zame.game.engine","/home/matheus/smell-and-machine-learning/repositories/Gloomy-Dungeons-3D/src/main/java/zame/game/engine/Weapons.java","3","24","Avoid long parameter lists.","Design","ExcessiveParameterList"
"3","zame.game.engine","/home/matheus/smell-and-machine-learning/repositories/Gloomy-Dungeons-3D/src/main/java/zame/game/engine/Weapons.java","3","147","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","zame.game.views","/home/matheus/smell-and-machine-learning/repositories/Gloomy-Dungeons-3D/src/main/java/zame/game/views/MenuView.java","3","274","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","zame.libs","/home/matheus/smell-and-machine-learning/repositories/Gloomy-Dungeons-3D/src/main/java/zame/libs/GLSurfaceView21.java","3","149","Avoid really long classes.","Design","ExcessiveClassLength"
"2","zame.libs","/home/matheus/smell-and-machine-learning/repositories/Gloomy-Dungeons-3D/src/main/java/zame/libs/GLSurfaceView21.java","3","1029","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","zame.libs","/home/matheus/smell-and-machine-learning/repositories/Gloomy-Dungeons-3D/src/main/java/zame/libs/GLSurfaceView21.java","3","1096","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","zame.libs","/home/matheus/smell-and-machine-learning/repositories/Gloomy-Dungeons-3D/src/main/java/zame/libs/KeyMapPreference.java","3","118","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","zame.libs","/home/matheus/smell-and-machine-learning/repositories/Gloomy-Dungeons-3D/src/main/java/zame/libs/LabelMaker.java","3","45","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","zame.libs","/home/matheus/smell-and-machine-learning/repositories/Gloomy-Dungeons-3D/src/main/java/zame/libs/LabelMaker.java","3","421","The class 'Label' is suspected to be a Data Class (WOC=0.000%, NOPA=7, NOAM=0, WMC=1)","Design","DataClass"
"1","zame.promo","/home/matheus/smell-and-machine-learning/repositories/Gloomy-Dungeons-3D/src/main/java/zame/promo/PromoView.java","3","28","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
