"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","acr.browser.lightning.browser.fragment.anim","/home/matheus/smell-and-machine-learning/repositories/Lightning-Browser/app/src/main/java/acr/browser/lightning/browser/fragment/anim/HorizontalItemAnimator.java","3","43","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","acr.browser.lightning.browser.fragment.anim","/home/matheus/smell-and-machine-learning/repositories/Lightning-Browser/app/src/main/java/acr/browser/lightning/browser/fragment/anim/VerticalItemAnimator.java","3","43","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","acr.browser.lightning.download","/home/matheus/smell-and-machine-learning/repositories/Lightning-Browser/app/src/main/java/acr/browser/lightning/download/DownloadHandler.java","3","169","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","acr.browser.lightning.reading","/home/matheus/smell-and-machine-learning/repositories/Lightning-Browser/app/src/main/java/acr/browser/lightning/reading/ArticleTextExtractor.java","3","34","Avoid really long classes.","Design","ExcessiveClassLength"
"2","acr.browser.lightning.reading","/home/matheus/smell-and-machine-learning/repositories/Lightning-Browser/app/src/main/java/acr/browser/lightning/reading/ArticleTextExtractor.java","3","34","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","acr.browser.lightning.reading","/home/matheus/smell-and-machine-learning/repositories/Lightning-Browser/app/src/main/java/acr/browser/lightning/reading/ArticleTextExtractor.java","3","221","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","acr.browser.lightning.reading","/home/matheus/smell-and-machine-learning/repositories/Lightning-Browser/app/src/main/java/acr/browser/lightning/reading/ArticleTextExtractor.java","3","398","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","acr.browser.lightning.reading","/home/matheus/smell-and-machine-learning/repositories/Lightning-Browser/app/src/main/java/acr/browser/lightning/reading/HtmlFetcher.java","3","46","The class 'HtmlFetcher' is suspected to be a Data Class (WOC=5.556%, NOPA=0, NOAM=16, WMC=42)","Design","DataClass"
"2","acr.browser.lightning.reading","/home/matheus/smell-and-machine-learning/repositories/Lightning-Browser/app/src/main/java/acr/browser/lightning/reading/HtmlFetcher.java","3","46","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","acr.browser.lightning.reading","/home/matheus/smell-and-machine-learning/repositories/Lightning-Browser/app/src/main/java/acr/browser/lightning/reading/JResult.java","3","36","The class 'JResult' is suspected to be a Data Class (WOC=8.000%, NOPA=0, NOAM=22, WMC=36)","Design","DataClass"
"1","acr.browser.lightning.reading","/home/matheus/smell-and-machine-learning/repositories/Lightning-Browser/app/src/main/java/acr/browser/lightning/reading/SHelper.java","3","46","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","acr.browser.lightning.utils","/home/matheus/smell-and-machine-learning/repositories/Lightning-Browser/app/src/main/java/acr/browser/lightning/utils/Utils.java","3","45","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
