"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","github.ankushsachdeva.emojicon","/home/matheus/smell-and-machine-learning/repositories/xabber-android/xabber/emojicon/src/main/java/github/ankushsachdeva/emojicon/EmojiconHandler.java","3","28","Avoid really long classes.","Design","ExcessiveClassLength"
"2","github.ankushsachdeva.emojicon","/home/matheus/smell-and-machine-learning/repositories/xabber-android/xabber/emojicon/src/main/java/github/ankushsachdeva/emojicon/EmojiconHandler.java","3","1397","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.xabber.android.data","/home/matheus/smell-and-machine-learning/repositories/xabber-android/xabber/src/main/java/com/xabber/android/data/ActivityManager.java","3","41","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.xabber.android.data","/home/matheus/smell-and-machine-learning/repositories/xabber-android/xabber/src/main/java/com/xabber/android/data/Application.java","3","87","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.xabber.android.data","/home/matheus/smell-and-machine-learning/repositories/xabber-android/xabber/src/main/java/com/xabber/android/data/SettingsManager.java","3","58","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.xabber.android.data.account","/home/matheus/smell-and-machine-learning/repositories/xabber-android/xabber/src/main/java/com/xabber/android/data/account/AccountItem.java","3","115","Avoid long parameter lists.","Design","ExcessiveParameterList"
"2","com.xabber.android.data.account","/home/matheus/smell-and-machine-learning/repositories/xabber-android/xabber/src/main/java/com/xabber/android/data/account/AccountItem.java","3","373","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","com.xabber.android.data.account","/home/matheus/smell-and-machine-learning/repositories/xabber-android/xabber/src/main/java/com/xabber/android/data/account/AccountManager.java","3","91","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.xabber.android.data.account","/home/matheus/smell-and-machine-learning/repositories/xabber-android/xabber/src/main/java/com/xabber/android/data/account/AccountManager.java","3","91","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.xabber.android.data.account","/home/matheus/smell-and-machine-learning/repositories/xabber-android/xabber/src/main/java/com/xabber/android/data/account/AccountManager.java","3","142","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","com.xabber.android.data.account","/home/matheus/smell-and-machine-learning/repositories/xabber-android/xabber/src/main/java/com/xabber/android/data/account/AccountManager.java","3","334","Avoid long parameter lists.","Design","ExcessiveParameterList"
"5","com.xabber.android.data.account","/home/matheus/smell-and-machine-learning/repositories/xabber-android/xabber/src/main/java/com/xabber/android/data/account/AccountManager.java","3","563","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","com.xabber.android.data.connection","/home/matheus/smell-and-machine-learning/repositories/xabber-android/xabber/src/main/java/com/xabber/android/data/connection/ConnectionItem.java","3","79","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","com.xabber.android.data.connection","/home/matheus/smell-and-machine-learning/repositories/xabber-android/xabber/src/main/java/com/xabber/android/data/connection/ConnectionSettings.java","3","26","The class 'ConnectionSettings' is suspected to be a Data Class (WOC=15.789%, NOPA=0, NOAM=15, WMC=19)","Design","DataClass"
"2","com.xabber.android.data.connection","/home/matheus/smell-and-machine-learning/repositories/xabber-android/xabber/src/main/java/com/xabber/android/data/connection/ConnectionSettings.java","3","92","Avoid long parameter lists.","Design","ExcessiveParameterList"
"3","com.xabber.android.data.connection","/home/matheus/smell-and-machine-learning/repositories/xabber-android/xabber/src/main/java/com/xabber/android/data/connection/ConnectionSettings.java","3","204","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","com.xabber.android.data.database","/home/matheus/smell-and-machine-learning/repositories/xabber-android/xabber/src/main/java/com/xabber/android/data/database/DatabaseManager.java","3","61","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.xabber.android.data.database","/home/matheus/smell-and-machine-learning/repositories/xabber-android/xabber/src/main/java/com/xabber/android/data/database/MessageDatabaseManager.java","3","140","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","com.xabber.android.data.database","/home/matheus/smell-and-machine-learning/repositories/xabber-android/xabber/src/main/java/com/xabber/android/data/database/MessageDatabaseManager.java","3","147","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.xabber.android.data.database","/home/matheus/smell-and-machine-learning/repositories/xabber-android/xabber/src/main/java/com/xabber/android/data/database/RealmManager.java","3","69","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","com.xabber.android.data.database","/home/matheus/smell-and-machine-learning/repositories/xabber-android/xabber/src/main/java/com/xabber/android/data/database/RealmManager.java","3","75","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.xabber.android.data.database.messagerealm","/home/matheus/smell-and-machine-learning/repositories/xabber-android/xabber/src/main/java/com/xabber/android/data/database/messagerealm/Attachment.java","3","11","The class 'Attachment' is suspected to be a Data Class (WOC=5.556%, NOPA=0, NOAM=16, WMC=18)","Design","DataClass"
"1","com.xabber.android.data.database.messagerealm","/home/matheus/smell-and-machine-learning/repositories/xabber-android/xabber/src/main/java/com/xabber/android/data/database/messagerealm/SyncInfo.java","3","9","The class 'SyncInfo' is suspected to be a Data Class (WOC=16.667%, NOPA=6, NOAM=10, WMC=12)","Design","DataClass"
"1","com.xabber.android.data.database.realm","/home/matheus/smell-and-machine-learning/repositories/xabber-android/xabber/src/main/java/com/xabber/android/data/database/realm/ChatDataRealm.java","3","13","The class 'ChatDataRealm' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=14, WMC=16)","Design","DataClass"
"1","com.xabber.android.data.database.realm","/home/matheus/smell-and-machine-learning/repositories/xabber-android/xabber/src/main/java/com/xabber/android/data/database/realm/EmailRealm.java","3","13","The class 'EmailRealm' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=7, WMC=9)","Design","DataClass"
"1","com.xabber.android.data.database.realm","/home/matheus/smell-and-machine-learning/repositories/xabber-android/xabber/src/main/java/com/xabber/android/data/database/realm/NotificationStateRealm.java","3","15","The class 'NotificationStateRealm' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=5, WMC=7)","Design","DataClass"
