"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.google.openlocationcode","/home/matheus/smell-and-machine-learning/repositories/osmandapp_Osmand/OsmAnd-java/src/main/java/com/google/openlocationcode/OpenLocationCode.java","3","14","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.google.protobuf","/home/matheus/smell-and-machine-learning/repositories/osmandapp_Osmand/OsmAnd-java/src/main/java/com/google/protobuf/AbstractMessage.java","3","51","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.google.protobuf","/home/matheus/smell-and-machine-learning/repositories/osmandapp_Osmand/OsmAnd-java/src/main/java/com/google/protobuf/AbstractMessage.java","3","270","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.google.protobuf","/home/matheus/smell-and-machine-learning/repositories/osmandapp_Osmand/OsmAnd-java/src/main/java/com/google/protobuf/AbstractMessage.java","3","438","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.google.protobuf","/home/matheus/smell-and-machine-learning/repositories/osmandapp_Osmand/OsmAnd-java/src/main/java/com/google/protobuf/AbstractMessageLite.java","3","109","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.google.protobuf","/home/matheus/smell-and-machine-learning/repositories/osmandapp_Osmand/OsmAnd-java/src/main/java/com/google/protobuf/AbstractParser.java","3","50","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.google.protobuf","/home/matheus/smell-and-machine-learning/repositories/osmandapp_Osmand/OsmAnd-java/src/main/java/com/google/protobuf/ByteString.java","3","60","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.google.protobuf","/home/matheus/smell-and-machine-learning/repositories/osmandapp_Osmand/OsmAnd-java/src/main/java/com/google/protobuf/CodedInputStream.java","3","51","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.google.protobuf","/home/matheus/smell-and-machine-learning/repositories/osmandapp_Osmand/OsmAnd-java/src/main/java/com/google/protobuf/CodedInputStream.java","3","809","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.google.protobuf","/home/matheus/smell-and-machine-learning/repositories/osmandapp_Osmand/OsmAnd-java/src/main/java/com/google/protobuf/CodedOutputStream.java","3","52","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.google.protobuf","/home/matheus/smell-and-machine-learning/repositories/osmandapp_Osmand/OsmAnd-java/src/main/java/com/google/protobuf/CodedOutputStream.java","3","52","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.google.protobuf","/home/matheus/smell-and-machine-learning/repositories/osmandapp_Osmand/OsmAnd-java/src/main/java/com/google/protobuf/DescriptorProtos.java","3","6","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.google.protobuf","/home/matheus/smell-and-machine-learning/repositories/osmandapp_Osmand/OsmAnd-java/src/main/java/com/google/protobuf/DescriptorProtos.java","3","49","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.google.protobuf","/home/matheus/smell-and-machine-learning/repositories/osmandapp_Osmand/OsmAnd-java/src/main/java/com/google/protobuf/DescriptorProtos.java","3","306","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"4","com.google.protobuf","/home/matheus/smell-and-machine-learning/repositories/osmandapp_Osmand/OsmAnd-java/src/main/java/com/google/protobuf/DescriptorProtos.java","3","1031","Avoid really long classes.","Design","ExcessiveClassLength"
"5","com.google.protobuf","/home/matheus/smell-and-machine-learning/repositories/osmandapp_Osmand/OsmAnd-java/src/main/java/com/google/protobuf/DescriptorProtos.java","3","1033","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"6","com.google.protobuf","/home/matheus/smell-and-machine-learning/repositories/osmandapp_Osmand/OsmAnd-java/src/main/java/com/google/protobuf/DescriptorProtos.java","3","1056","Avoid really long methods.","Design","ExcessiveMethodLength"
"7","com.google.protobuf","/home/matheus/smell-and-machine-learning/repositories/osmandapp_Osmand/OsmAnd-java/src/main/java/com/google/protobuf/DescriptorProtos.java","3","1957","Avoid really long classes.","Design","ExcessiveClassLength"
"8","com.google.protobuf","/home/matheus/smell-and-machine-learning/repositories/osmandapp_Osmand/OsmAnd-java/src/main/java/com/google/protobuf/DescriptorProtos.java","3","1959","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"9","com.google.protobuf","/home/matheus/smell-and-machine-learning/repositories/osmandapp_Osmand/OsmAnd-java/src/main/java/com/google/protobuf/DescriptorProtos.java","3","2162","Avoid really long methods.","Design","ExcessiveMethodLength"
"10","com.google.protobuf","/home/matheus/smell-and-machine-learning/repositories/osmandapp_Osmand/OsmAnd-java/src/main/java/com/google/protobuf/DescriptorProtos.java","3","4395","Avoid really long classes.","Design","ExcessiveClassLength"
"11","com.google.protobuf","/home/matheus/smell-and-machine-learning/repositories/osmandapp_Osmand/OsmAnd-java/src/main/java/com/google/protobuf/DescriptorProtos.java","3","4397","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"12","com.google.protobuf","/home/matheus/smell-and-machine-learning/repositories/osmandapp_Osmand/OsmAnd-java/src/main/java/com/google/protobuf/DescriptorProtos.java","3","4420","Avoid really long methods.","Design","ExcessiveMethodLength"
"13","com.google.protobuf","/home/matheus/smell-and-machine-learning/repositories/osmandapp_Osmand/OsmAnd-java/src/main/java/com/google/protobuf/DescriptorProtos.java","3","4583","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"14","com.google.protobuf","/home/matheus/smell-and-machine-learning/repositories/osmandapp_Osmand/OsmAnd-java/src/main/java/com/google/protobuf/DescriptorProtos.java","3","4833","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"15","com.google.protobuf","/home/matheus/smell-and-machine-learning/repositories/osmandapp_Osmand/OsmAnd-java/src/main/java/com/google/protobuf/DescriptorProtos.java","3","5472","Avoid really long classes.","Design","ExcessiveClassLength"
"16","com.google.protobuf","/home/matheus/smell-and-machine-learning/repositories/osmandapp_Osmand/OsmAnd-java/src/main/java/com/google/protobuf/DescriptorProtos.java","3","5474","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"17","com.google.protobuf","/home/matheus/smell-and-machine-learning/repositories/osmandapp_Osmand/OsmAnd-java/src/main/java/com/google/protobuf/DescriptorProtos.java","3","5650","Avoid really long methods.","Design","ExcessiveMethodLength"
"18","com.google.protobuf","/home/matheus/smell-and-machine-learning/repositories/osmandapp_Osmand/OsmAnd-java/src/main/java/com/google/protobuf/DescriptorProtos.java","3","7436","Avoid really long classes.","Design","ExcessiveClassLength"
"19","com.google.protobuf","/home/matheus/smell-and-machine-learning/repositories/osmandapp_Osmand/OsmAnd-java/src/main/java/com/google/protobuf/DescriptorProtos.java","3","7438","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"20","com.google.protobuf","/home/matheus/smell-and-machine-learning/repositories/osmandapp_Osmand/OsmAnd-java/src/main/java/com/google/protobuf/DescriptorProtos.java","3","8482","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"21","com.google.protobuf","/home/matheus/smell-and-machine-learning/repositories/osmandapp_Osmand/OsmAnd-java/src/main/java/com/google/protobuf/DescriptorProtos.java","3","9422","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"22","com.google.protobuf","/home/matheus/smell-and-machine-learning/repositories/osmandapp_Osmand/OsmAnd-java/src/main/java/com/google/protobuf/DescriptorProtos.java","3","9784","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"23","com.google.protobuf","/home/matheus/smell-and-machine-learning/repositories/osmandapp_Osmand/OsmAnd-java/src/main/java/com/google/protobuf/DescriptorProtos.java","3","10464","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"24","com.google.protobuf","/home/matheus/smell-and-machine-learning/repositories/osmandapp_Osmand/OsmAnd-java/src/main/java/com/google/protobuf/DescriptorProtos.java","3","10794","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"25","com.google.protobuf","/home/matheus/smell-and-machine-learning/repositories/osmandapp_Osmand/OsmAnd-java/src/main/java/com/google/protobuf/DescriptorProtos.java","3","11243","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"26","com.google.protobuf","/home/matheus/smell-and-machine-learning/repositories/osmandapp_Osmand/OsmAnd-java/src/main/java/com/google/protobuf/DescriptorProtos.java","3","11605","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"27","com.google.protobuf","/home/matheus/smell-and-machine-learning/repositories/osmandapp_Osmand/OsmAnd-java/src/main/java/com/google/protobuf/DescriptorProtos.java","3","12320","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"28","com.google.protobuf","/home/matheus/smell-and-machine-learning/repositories/osmandapp_Osmand/OsmAnd-java/src/main/java/com/google/protobuf/DescriptorProtos.java","3","12748","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"29","com.google.protobuf","/home/matheus/smell-and-machine-learning/repositories/osmandapp_Osmand/OsmAnd-java/src/main/java/com/google/protobuf/DescriptorProtos.java","3","13564","Avoid really long classes.","Design","ExcessiveClassLength"
"30","com.google.protobuf","/home/matheus/smell-and-machine-learning/repositories/osmandapp_Osmand/OsmAnd-java/src/main/java/com/google/protobuf/DescriptorProtos.java","3","13566","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"31","com.google.protobuf","/home/matheus/smell-and-machine-learning/repositories/osmandapp_Osmand/OsmAnd-java/src/main/java/com/google/protobuf/DescriptorProtos.java","3","14431","Avoid really long classes.","Design","ExcessiveClassLength"
"32","com.google.protobuf","/home/matheus/smell-and-machine-learning/repositories/osmandapp_Osmand/OsmAnd-java/src/main/java/com/google/protobuf/DescriptorProtos.java","3","14433","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"33","com.google.protobuf","/home/matheus/smell-and-machine-learning/repositories/osmandapp_Osmand/OsmAnd-java/src/main/java/com/google/protobuf/DescriptorProtos.java","3","15785","Avoid really long classes.","Design","ExcessiveClassLength"
"34","com.google.protobuf","/home/matheus/smell-and-machine-learning/repositories/osmandapp_Osmand/OsmAnd-java/src/main/java/com/google/protobuf/DescriptorProtos.java","3","15787","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"35","com.google.protobuf","/home/matheus/smell-and-machine-learning/repositories/osmandapp_Osmand/OsmAnd-java/src/main/java/com/google/protobuf/DescriptorProtos.java","3","16181","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"36","com.google.protobuf","/home/matheus/smell-and-machine-learning/repositories/osmandapp_Osmand/OsmAnd-java/src/main/java/com/google/protobuf/DescriptorProtos.java","3","17127","Avoid really long classes.","Design","ExcessiveClassLength"
"37","com.google.protobuf","/home/matheus/smell-and-machine-learning/repositories/osmandapp_Osmand/OsmAnd-java/src/main/java/com/google/protobuf/DescriptorProtos.java","3","17129","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"38","com.google.protobuf","/home/matheus/smell-and-machine-learning/repositories/osmandapp_Osmand/OsmAnd-java/src/main/java/com/google/protobuf/DescriptorProtos.java","3","17872","Avoid really long classes.","Design","ExcessiveClassLength"
"39","com.google.protobuf","/home/matheus/smell-and-machine-learning/repositories/osmandapp_Osmand/OsmAnd-java/src/main/java/com/google/protobuf/DescriptorProtos.java","3","17874","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"40","com.google.protobuf","/home/matheus/smell-and-machine-learning/repositories/osmandapp_Osmand/OsmAnd-java/src/main/java/com/google/protobuf/DescriptorProtos.java","3","19040","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"41","com.google.protobuf","/home/matheus/smell-and-machine-learning/repositories/osmandapp_Osmand/OsmAnd-java/src/main/java/com/google/protobuf/DescriptorProtos.java","3","19361","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"42","com.google.protobuf","/home/matheus/smell-and-machine-learning/repositories/osmandapp_Osmand/OsmAnd-java/src/main/java/com/google/protobuf/DescriptorProtos.java","3","19957","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"43","com.google.protobuf","/home/matheus/smell-and-machine-learning/repositories/osmandapp_Osmand/OsmAnd-java/src/main/java/com/google/protobuf/DescriptorProtos.java","3","20238","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"44","com.google.protobuf","/home/matheus/smell-and-machine-learning/repositories/osmandapp_Osmand/OsmAnd-java/src/main/java/com/google/protobuf/DescriptorProtos.java","3","20770","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"45","com.google.protobuf","/home/matheus/smell-and-machine-learning/repositories/osmandapp_Osmand/OsmAnd-java/src/main/java/com/google/protobuf/DescriptorProtos.java","3","21051","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"46","com.google.protobuf","/home/matheus/smell-and-machine-learning/repositories/osmandapp_Osmand/OsmAnd-java/src/main/java/com/google/protobuf/DescriptorProtos.java","3","21583","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"47","com.google.protobuf","/home/matheus/smell-and-machine-learning/repositories/osmandapp_Osmand/OsmAnd-java/src/main/java/com/google/protobuf/DescriptorProtos.java","3","21864","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"48","com.google.protobuf","/home/matheus/smell-and-machine-learning/repositories/osmandapp_Osmand/OsmAnd-java/src/main/java/com/google/protobuf/DescriptorProtos.java","3","22467","Avoid really long classes.","Design","ExcessiveClassLength"
