"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.ruesga.android.wallpapers.photophase","/home/matheus/smell-and-machine-learning/repositories/jruesga_PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/PhotoPhaseRenderer.java","3","69","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.ruesga.android.wallpapers.photophase","/home/matheus/smell-and-machine-learning/repositories/jruesga_PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/PhotoPhaseRenderer.java","3","410","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.ruesga.android.wallpapers.photophase","/home/matheus/smell-and-machine-learning/repositories/jruesga_PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/PhotoViewerActivity.java","3","82","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.ruesga.android.wallpapers.photophase","/home/matheus/smell-and-machine-learning/repositories/jruesga_PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/PhotoViewerActivity.java","3","573","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.ruesga.android.wallpapers.photophase.cast","/home/matheus/smell-and-machine-learning/repositories/jruesga_PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/cast/CastServer.java","3","60","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.ruesga.android.wallpapers.photophase.cast","/home/matheus/smell-and-machine-learning/repositories/jruesga_PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/cast/CastService.java","3","77","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.ruesga.android.wallpapers.photophase.cast","/home/matheus/smell-and-machine-learning/repositories/jruesga_PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/cast/CastService.java","3","77","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.ruesga.android.wallpapers.photophase.cast.mdsn","/home/matheus/smell-and-machine-learning/repositories/jruesga_PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/cast/mdsn/MDNSDiscover.java","3","42","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.ruesga.android.wallpapers.photophase.effects","/home/matheus/smell-and-machine-learning/repositories/jruesga_PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/effects/Effects.java","3","259","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.ruesga.android.wallpapers.photophase.preferences","/home/matheus/smell-and-machine-learning/repositories/jruesga_PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/preferences/CastPreferenceFragment.java","3","81","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.ruesga.android.wallpapers.photophase.preferences","/home/matheus/smell-and-machine-learning/repositories/jruesga_PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/preferences/ChoosePicturesFragment.java","3","91","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.ruesga.android.wallpapers.photophase.preferences","/home/matheus/smell-and-machine-learning/repositories/jruesga_PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/preferences/ChoosePicturesFragment.java","3","93","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.ruesga.android.wallpapers.photophase.preferences","/home/matheus/smell-and-machine-learning/repositories/jruesga_PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/preferences/DispositionFragment.java","3","53","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.ruesga.android.wallpapers.photophase.preferences","/home/matheus/smell-and-machine-learning/repositories/jruesga_PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/preferences/GeneralPreferenceFragment.java","3","179","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.ruesga.android.wallpapers.photophase.utils","/home/matheus/smell-and-machine-learning/repositories/jruesga_PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/utils/BitmapUtils.java","3","40","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.ruesga.android.wallpapers.photophase.utils","/home/matheus/smell-and-machine-learning/repositories/jruesga_PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/utils/GLESUtil.java","3","49","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.ruesga.android.wallpapers.photophase.utils","/home/matheus/smell-and-machine-learning/repositories/jruesga_PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/utils/GLESUtil.java","3","67","The class 'GLColor' is suspected to be a Data Class (WOC=20.000%, NOPA=4, NOAM=0, WMC=5)","Design","DataClass"
"1","com.ruesga.android.wallpapers.photophase.widgets","/home/matheus/smell-and-machine-learning/repositories/jruesga_PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/widgets/AlbumInfoView.java","3","52","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.ruesga.android.wallpapers.photophase.widgets","/home/matheus/smell-and-machine-learning/repositories/jruesga_PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/widgets/DispositionView.java","3","65","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.ruesga.android.wallpapers.photophase.widgets","/home/matheus/smell-and-machine-learning/repositories/jruesga_PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/widgets/DispositionView.java","3","255","Avoid really long methods.","Design","ExcessiveMethodLength"
