"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","SevenZip","/home/matheus/smell-and-machine-learning/repositories/OpenExplorer/src/SevenZip/BCJ2_x86_Decoder.java","3","28","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","SevenZip","/home/matheus/smell-and-machine-learning/repositories/OpenExplorer/src/SevenZip/BinTree.java","3","118","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","SevenZip","/home/matheus/smell-and-machine-learning/repositories/OpenExplorer/src/SevenZip/CoderMixer2ST.java","3","160","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","SevenZip","/home/matheus/smell-and-machine-learning/repositories/OpenExplorer/src/SevenZip/ExtractFolderInfo.java","3","6","The class 'ExtractFolderInfo' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=0, WMC=2)","Design","DataClass"
"1","SevenZip","/home/matheus/smell-and-machine-learning/repositories/OpenExplorer/src/SevenZip/FileItem.java","3","3","The class 'FileItem' is suspected to be a Data Class (WOC=0.000%, NOPA=14, NOAM=0, WMC=1)","Design","DataClass"
"1","SevenZip","/home/matheus/smell-and-machine-learning/repositories/OpenExplorer/src/SevenZip/Handler.java","3","66","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","SevenZip","/home/matheus/smell-and-machine-learning/repositories/OpenExplorer/src/SevenZip/InArchive.java","3","7","Avoid really long classes.","Design","ExcessiveClassLength"
"2","SevenZip","/home/matheus/smell-and-machine-learning/repositories/OpenExplorer/src/SevenZip/InArchive.java","3","7","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","SevenZip","/home/matheus/smell-and-machine-learning/repositories/OpenExplorer/src/SevenZip/InArchive.java","3","336","Avoid long parameter lists.","Design","ExcessiveParameterList"
"4","SevenZip","/home/matheus/smell-and-machine-learning/repositories/OpenExplorer/src/SevenZip/InArchive.java","3","845","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","SevenZip","/home/matheus/smell-and-machine-learning/repositories/OpenExplorer/src/SevenZip/InWindow.java","3","8","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","SevenZip","/home/matheus/smell-and-machine-learning/repositories/OpenExplorer/src/SevenZip/LZMADecoder.java","3","28","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","SevenZip","/home/matheus/smell-and-machine-learning/repositories/OpenExplorer/src/SevenZip/LZMADecoder.java","3","329","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","SevenZip","/home/matheus/smell-and-machine-learning/repositories/OpenExplorer/src/SevenZip/LZMAEncoder.java","3","7","Avoid really long classes.","Design","ExcessiveClassLength"
"2","SevenZip","/home/matheus/smell-and-machine-learning/repositories/OpenExplorer/src/SevenZip/LZMAEncoder.java","3","8","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","SevenZip","/home/matheus/smell-and-machine-learning/repositories/OpenExplorer/src/SevenZip/LZMAEncoder.java","3","537","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","SevenZip","/home/matheus/smell-and-machine-learning/repositories/OpenExplorer/src/SevenZip/LZMAEncoder.java","3","1061","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","SevenZip","/home/matheus/smell-and-machine-learning/repositories/OpenExplorer/src/SevenZip/MethodID.java","3","3","The class 'MethodID' is suspected to be a Data Class (WOC=20.000%, NOPA=10, NOAM=0, WMC=8)","Design","DataClass"
"1","SevenZip","/home/matheus/smell-and-machine-learning/repositories/OpenExplorer/src/SevenZip/OutWindow.java","3","7","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","SevenZip","/home/matheus/smell-and-machine-learning/repositories/OpenExplorer/src/SevenZip/RangeCoderEncoder.java","3","5","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","SevenZip","/home/matheus/smell-and-machine-learning/repositories/OpenExplorer/src/SevenZip/SevenZip_Decoder.java","3","92","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.android.gallery3d.common","/home/matheus/smell-and-machine-learning/repositories/OpenExplorer/src/com/android/gallery3d/common/BitmapUtils.java","3","32","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.android.gallery3d.common","/home/matheus/smell-and-machine-learning/repositories/OpenExplorer/src/com/android/gallery3d/common/BlobCache.java","3","79","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.android.gallery3d.common","/home/matheus/smell-and-machine-learning/repositories/OpenExplorer/src/com/android/gallery3d/common/EntrySchema.java","3","28","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.android.gallery3d.common","/home/matheus/smell-and-machine-learning/repositories/OpenExplorer/src/com/android/gallery3d/common/EntrySchema.java","3","294","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.android.gallery3d.common","/home/matheus/smell-and-machine-learning/repositories/OpenExplorer/src/com/android/gallery3d/common/Utils.java","3","36","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.android.gallery3d.data","/home/matheus/smell-and-machine-learning/repositories/OpenExplorer/src/com/android/gallery3d/data/DataManager.java","3","50","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.android.gallery3d.data","/home/matheus/smell-and-machine-learning/repositories/OpenExplorer/src/com/android/gallery3d/data/DecodeUtils.java","3","40","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.android.gallery3d.data","/home/matheus/smell-and-machine-learning/repositories/OpenExplorer/src/com/android/gallery3d/data/LocationClustering.java","3","203","Avoid really long methods.","Design","ExcessiveMethodLength"
