"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.sudowars.Controller.Local.Activity","/home/matheus/smell-and-machine-learning/repositories/sudowars_sudowars/Sudowars/src/org/sudowars/Controller/Local/Activity/MainMenu.java","3","83","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.sudowars.Controller.Local.Activity","/home/matheus/smell-and-machine-learning/repositories/sudowars_sudowars/Sudowars/src/org/sudowars/Controller/Local/Activity/MultiplayerMenu.java","3","80","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.sudowars.Controller.Local.Activity","/home/matheus/smell-and-machine-learning/repositories/sudowars_sudowars/Sudowars/src/org/sudowars/Controller/Local/Activity/MultiplayerPlay.java","3","85","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.sudowars.Controller.Local.Activity","/home/matheus/smell-and-machine-learning/repositories/sudowars_sudowars/Sudowars/src/org/sudowars/Controller/Local/Activity/MultiplayerSettings.java","3","99","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.sudowars.Controller.Local.Activity","/home/matheus/smell-and-machine-learning/repositories/sudowars_sudowars/Sudowars/src/org/sudowars/Controller/Local/Activity/Play.java","3","107","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.sudowars.Controller.Local.Activity","/home/matheus/smell-and-machine-learning/repositories/sudowars_sudowars/Sudowars/src/org/sudowars/Controller/Local/Activity/Play.java","3","708","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.sudowars.Controller.Local.Activity","/home/matheus/smell-and-machine-learning/repositories/sudowars_sudowars/Sudowars/src/org/sudowars/Controller/Local/Activity/SingleplayerPlay.java","3","69","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.sudowars.Controller.Remote","/home/matheus/smell-and-machine-learning/repositories/sudowars_sudowars/Sudowars/src/org/sudowars/Controller/Remote/SudowarsBluetoothSocket.java","3","60","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.sudowars.Model.Difficulty","/home/matheus/smell-and-machine-learning/repositories/sudowars_sudowars/Sudowars/src/org/sudowars/Model/Difficulty/Difficulty.java","3","58","The class 'Difficulty' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=7)","Design","DataClass"
"1","org.sudowars.Model.Game","/home/matheus/smell-and-machine-learning/repositories/sudowars_sudowars/Sudowars/src/org/sudowars/Model/Game/Game.java","3","68","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.sudowars.Model.Solver","/home/matheus/smell-and-machine-learning/repositories/sudowars_sudowars/Sudowars/src/org/sudowars/Model/Solver/NFishStrategy.java","3","76","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.sudowars.Model.Solver","/home/matheus/smell-and-machine-learning/repositories/sudowars_sudowars/Sudowars/src/org/sudowars/Model/Solver/SolverState.java","3","63","The class 'SolverState' is suspected to be a Data Class (WOC=20.000%, NOPA=0, NOAM=7, WMC=28)","Design","DataClass"
"1","org.sudowars.Model.Solver","/home/matheus/smell-and-machine-learning/repositories/sudowars_sudowars/Sudowars/src/org/sudowars/Model/Solver/StrategyExecutor.java","3","103","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.sudowars.Model.Sudoku.Field","/home/matheus/smell-and-machine-learning/repositories/sudowars_sudowars/Sudowars/src/org/sudowars/Model/Sudoku/Field/DataCell.java","3","50","The class 'DataCell' is suspected to be a Data Class (WOC=14.286%, NOPA=1, NOAM=5, WMC=12)","Design","DataClass"
"1","org.sudowars.Model.SudokuManagement.IO","/home/matheus/smell-and-machine-learning/repositories/sudowars_sudowars/Sudowars/src/org/sudowars/Model/SudokuManagement/IO/FileIO.java","3","71","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.sudowars.Model.SudokuManagement.IO","/home/matheus/smell-and-machine-learning/repositories/sudowars_sudowars/Sudowars/src/org/sudowars/Model/SudokuManagement/IO/FileIO.java","3","101","Avoid really long methods.","Design","ExcessiveMethodLength"
"3","org.sudowars.Model.SudokuManagement.IO","/home/matheus/smell-and-machine-learning/repositories/sudowars_sudowars/Sudowars/src/org/sudowars/Model/SudokuManagement/IO/FileIO.java","3","488","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.sudowars.Model.SudokuManagement.Pool","/home/matheus/smell-and-machine-learning/repositories/sudowars_sudowars/Sudowars/src/org/sudowars/Model/SudokuManagement/Pool/SudokuFilePool.java","3","84","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.sudowars.Model.SudokuUtil","/home/matheus/smell-and-machine-learning/repositories/sudowars_sudowars/Sudowars/src/org/sudowars/Model/SudokuUtil/NoteManager.java","3","61","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.sudowars.View","/home/matheus/smell-and-machine-learning/repositories/sudowars_sudowars/Sudowars/src/org/sudowars/View/SudokuField.java","3","77","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.sudowars.View","/home/matheus/smell-and-machine-learning/repositories/sudowars_sudowars/Sudowars/src/org/sudowars/View/SudokuField.java","3","390","Avoid really long methods.","Design","ExcessiveMethodLength"
