"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.andstatus.app.context","/home/matheus/smell-and-machine-learning/repositories/andstatus/app/src/androidTest/java/org/andstatus/app/context/TestSuite.java","3","53","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.andstatus.app.data","/home/matheus/smell-and-machine-learning/repositories/andstatus/app/src/androidTest/java/org/andstatus/app/data/DataUpdaterTest.java","3","63","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.andstatus.app.net.http","/home/matheus/smell-and-machine-learning/repositories/andstatus/app/src/androidTest/java/org/andstatus/app/net/http/HttpConnectionMock.java","3","37","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.andstatus.app.net.social.pumpio","/home/matheus/smell-and-machine-learning/repositories/andstatus/app/src/androidTest/java/org/andstatus/app/net/social/pumpio/ConnectionPumpioTest.java","3","68","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.andstatus.app.net.social.pumpio","/home/matheus/smell-and-machine-learning/repositories/andstatus/app/src/androidTest/java/org/andstatus/app/net/social/pumpio/ConnectionPumpioTest.java","3","167","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.andstatus.app.note","/home/matheus/smell-and-machine-learning/repositories/andstatus/app/src/androidTest/java/org/andstatus/app/note/NoteEditorTest.java","3","76","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.andstatus.app.origin","/home/matheus/smell-and-machine-learning/repositories/andstatus/app/src/androidTest/java/org/andstatus/app/origin/OriginEditorTest.java","3","87","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","org.andstatus.app.timeline","/home/matheus/smell-and-machine-learning/repositories/andstatus/app/src/androidTest/java/org/andstatus/app/timeline/ListActivityTestHelper.java","3","46","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.andstatus.app.timeline.meta","/home/matheus/smell-and-machine-learning/repositories/andstatus/app/src/androidTest/java/org/andstatus/app/timeline/meta/PersistentTimelinesTest.java","3","47","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.apache.geode.test.junit.support","/home/matheus/smell-and-machine-learning/repositories/andstatus/app/src/androidTest/java/org/apache/geode/test/junit/support/DefaultIgnoreCondition.java","3","28","The class 'DefaultIgnoreCondition' is suspected to be a Data Class (WOC=0.000%, NOPA=3, NOAM=1, WMC=3)","Design","DataClass"
"1","org.andstatus.app","/home/matheus/smell-and-machine-learning/repositories/andstatus/app/src/main/java/org/andstatus/app/HelpActivity.java","3","58","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.andstatus.app","/home/matheus/smell-and-machine-learning/repositories/andstatus/app/src/main/java/org/andstatus/app/MyActivity.java","3","42","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.andstatus.app.account","/home/matheus/smell-and-machine-learning/repositories/andstatus/app/src/main/java/org/andstatus/app/account/AccountData.java","3","41","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.andstatus.app.account","/home/matheus/smell-and-machine-learning/repositories/andstatus/app/src/main/java/org/andstatus/app/account/AccountName.java","3","32","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.andstatus.app.account","/home/matheus/smell-and-machine-learning/repositories/andstatus/app/src/main/java/org/andstatus/app/account/AccountSettingsActivity.java","3","93","Avoid really long classes.","Design","ExcessiveClassLength"
"2","org.andstatus.app.account","/home/matheus/smell-and-machine-learning/repositories/andstatus/app/src/main/java/org/andstatus/app/account/AccountSettingsActivity.java","3","93","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.andstatus.app.account","/home/matheus/smell-and-machine-learning/repositories/andstatus/app/src/main/java/org/andstatus/app/account/MyAccount.java","3","68","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.andstatus.app.account","/home/matheus/smell-and-machine-learning/repositories/andstatus/app/src/main/java/org/andstatus/app/account/MyAccount.java","3","156","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.andstatus.app.account","/home/matheus/smell-and-machine-learning/repositories/andstatus/app/src/main/java/org/andstatus/app/account/MyAccounts.java","3","45","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.andstatus.app.activity","/home/matheus/smell-and-machine-learning/repositories/andstatus/app/src/main/java/org/andstatus/app/activity/ActivityViewItem.java","3","44","The class 'ActivityViewItem' is suspected to be a Data Class (WOC=0.000%, NOPA=5, NOAM=2, WMC=10)","Design","DataClass"
"1","org.andstatus.app.actor","/home/matheus/smell-and-machine-learning/repositories/andstatus/app/src/main/java/org/andstatus/app/actor/ActorViewItem.java","3","43","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.andstatus.app.backup","/home/matheus/smell-and-machine-learning/repositories/andstatus/app/src/main/java/org/andstatus/app/backup/MyBackupAgent.java","3","48","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.andstatus.app.context","/home/matheus/smell-and-machine-learning/repositories/andstatus/app/src/main/java/org/andstatus/app/context/MyContext.java","3","36","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.andstatus.app.context","/home/matheus/smell-and-machine-learning/repositories/andstatus/app/src/main/java/org/andstatus/app/context/MyContextImpl.java","3","54","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.andstatus.app.context","/home/matheus/smell-and-machine-learning/repositories/andstatus/app/src/main/java/org/andstatus/app/context/MySettingsActivity.java","3","45","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.andstatus.app.context","/home/matheus/smell-and-machine-learning/repositories/andstatus/app/src/main/java/org/andstatus/app/context/MySettingsFragment.java","3","62","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.andstatus.app.data","/home/matheus/smell-and-machine-learning/repositories/andstatus/app/src/main/java/org/andstatus/app/data/DataUpdater.java","3","58","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.andstatus.app.data","/home/matheus/smell-and-machine-learning/repositories/andstatus/app/src/main/java/org/andstatus/app/data/DataUpdater.java","3","140","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.andstatus.app.data","/home/matheus/smell-and-machine-learning/repositories/andstatus/app/src/main/java/org/andstatus/app/data/DemoConversationInserter.java","3","58","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.andstatus.app.data","/home/matheus/smell-and-machine-learning/repositories/andstatus/app/src/main/java/org/andstatus/app/data/DemoNoteInserter.java","3","53","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.andstatus.app.data","/home/matheus/smell-and-machine-learning/repositories/andstatus/app/src/main/java/org/andstatus/app/data/DownloadData.java","3","29","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.andstatus.app.data","/home/matheus/smell-and-machine-learning/repositories/andstatus/app/src/main/java/org/andstatus/app/data/ImageFile.java","3","36","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.andstatus.app.data","/home/matheus/smell-and-machine-learning/repositories/andstatus/app/src/main/java/org/andstatus/app/data/MyProvider.java","3","55","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.andstatus.app.data","/home/matheus/smell-and-machine-learning/repositories/andstatus/app/src/main/java/org/andstatus/app/data/MyProvider.java","3","379","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.andstatus.app.data","/home/matheus/smell-and-machine-learning/repositories/andstatus/app/src/main/java/org/andstatus/app/data/MyQuery.java","3","51","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.andstatus.app.data","/home/matheus/smell-and-machine-learning/repositories/andstatus/app/src/main/java/org/andstatus/app/data/TimelineSql.java","3","55","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.andstatus.app.data.converter","/home/matheus/smell-and-machine-learning/repositories/andstatus/app/src/main/java/org/andstatus/app/data/converter/Convert26.java","3","29","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.andstatus.app.data.converter","/home/matheus/smell-and-machine-learning/repositories/andstatus/app/src/main/java/org/andstatus/app/data/converter/Convert27.java","3","27","Avoid really long methods.","Design","ExcessiveMethodLength"
