"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.wordpress.android","/home/matheus/smell-and-machine-learning/repositories/wordpress-mobile_WordPress-Android/WordPress/src/androidTest/java/org/wordpress/android/TestUtils.java","3","30","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.wordpress.android.ui.screenshots.support","/home/matheus/smell-and-machine-learning/repositories/wordpress-mobile_WordPress-Android/WordPress/src/androidTest/java/org/wordpress/android/ui/screenshots/support/WPScreenshotSupport.java","3","39","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.wordpress.android.ui.stats","/home/matheus/smell-and-machine-learning/repositories/wordpress-mobile_WordPress-Android/WordPress/src/androidTest/java/org/wordpress/android/ui/stats/RemoteTests.java","3","42","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.wordpress.android.util","/home/matheus/smell-and-machine-learning/repositories/wordpress-mobile_WordPress-Android/WordPress/src/androidTest/java/org/wordpress/android/util/AutolinkUtilsTest.java","3","5","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.wordpress.android.util","/home/matheus/smell-and-machine-learning/repositories/wordpress-mobile_WordPress-Android/WordPress/src/androidTest/java/org/wordpress/android/util/WPUrlUtilsTest.java","3","10","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.wordpress.android","/home/matheus/smell-and-machine-learning/repositories/wordpress-mobile_WordPress-Android/WordPress/src/main/java/org/wordpress/android/WordPress.java","3","109","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.wordpress.android","/home/matheus/smell-and-machine-learning/repositories/wordpress-mobile_WordPress-Android/WordPress/src/main/java/org/wordpress/android/WordPress.java","3","729","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.wordpress.android","/home/matheus/smell-and-machine-learning/repositories/wordpress-mobile_WordPress-Android/WordPress/src/main/java/org/wordpress/android/WordPressDB.java","3","44","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.wordpress.android.datasets","/home/matheus/smell-and-machine-learning/repositories/wordpress-mobile_WordPress-Android/WordPress/src/main/java/org/wordpress/android/datasets/PeopleTable.java","3","18","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.wordpress.android.datasets","/home/matheus/smell-and-machine-learning/repositories/wordpress-mobile_WordPress-Android/WordPress/src/main/java/org/wordpress/android/datasets/ReaderDatabase.java","3","23","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.wordpress.android.datasets","/home/matheus/smell-and-machine-learning/repositories/wordpress-mobile_WordPress-Android/WordPress/src/main/java/org/wordpress/android/datasets/ReaderPostTable.java","3","34","Avoid really long classes.","Design","ExcessiveClassLength"
