"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.jecelyin.editor","/home/matheus/smell-and-machine-learning/repositories/jecelyin_920-Text-Editor/src/com/jecelyin/editor/EditorSettings.java","3","110","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.jecelyin.editor","/home/matheus/smell-and-machine-learning/repositories/jecelyin_920-Text-Editor/src/com/jecelyin/editor/Grep.java","3","250","The class 'GrepResult' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=0, WMC=1)","Design","DataClass"
"1","com.jecelyin.editor","/home/matheus/smell-and-machine-learning/repositories/jecelyin_920-Text-Editor/src/com/jecelyin/editor/JecEditor.java","3","84","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.jecelyin.editor","/home/matheus/smell-and-machine-learning/repositories/jecelyin_920-Text-Editor/src/com/jecelyin/editor/JecEditor.java","3","85","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.jecelyin.editor","/home/matheus/smell-and-machine-learning/repositories/jecelyin_920-Text-Editor/src/com/jecelyin/editor/JecEditor.java","3","163","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","com.jecelyin.editor","/home/matheus/smell-and-machine-learning/repositories/jecelyin_920-Text-Editor/src/com/jecelyin/editor/JecEditor.java","3","1526","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.jecelyin.highlight","/home/matheus/smell-and-machine-learning/repositories/jecelyin_920-Text-Editor/src/com/jecelyin/highlight/Highlight.java","3","93","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.jecelyin.util","/home/matheus/smell-and-machine-learning/repositories/jecelyin_920-Text-Editor/src/com/jecelyin/util/FileBrowser.java","3","180","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.jecelyin.util","/home/matheus/smell-and-machine-learning/repositories/jecelyin_920-Text-Editor/src/com/jecelyin/util/FileUtil.java","3","40","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.jecelyin.widget","/home/matheus/smell-and-machine-learning/repositories/jecelyin_920-Text-Editor/src/com/jecelyin/widget/SymbolGrid.java","3","81","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.stericson.RootTools","/home/matheus/smell-and-machine-learning/repositories/jecelyin_920-Text-Editor/src/com/stericson/RootTools/Executer.java","3","120","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.stericson.RootTools","/home/matheus/smell-and-machine-learning/repositories/jecelyin_920-Text-Editor/src/com/stericson/RootTools/InternalMethods.java","3","39","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.stericson.RootTools","/home/matheus/smell-and-machine-learning/repositories/jecelyin_920-Text-Editor/src/com/stericson/RootTools/InternalMethods.java","3","40","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
