"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.achartengine","/home/matheus/smell-and-machine-learning/repositories/sensorreadout/src/org/achartengine/GraphicalView.java","3","46","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.achartengine.chart","/home/matheus/smell-and-machine-learning/repositories/sensorreadout/src/org/achartengine/chart/AbstractChart.java","3","98","Avoid long parameter lists.","Design","ExcessiveParameterList"
"2","org.achartengine.chart","/home/matheus/smell-and-machine-learning/repositories/sensorreadout/src/org/achartengine/chart/AbstractChart.java","3","456","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","org.achartengine.chart","/home/matheus/smell-and-machine-learning/repositories/sensorreadout/src/org/achartengine/chart/DialChart.java","3","172","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","org.achartengine.chart","/home/matheus/smell-and-machine-learning/repositories/sensorreadout/src/org/achartengine/chart/LineChart.java","3","81","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.achartengine.chart","/home/matheus/smell-and-machine-learning/repositories/sensorreadout/src/org/achartengine/chart/TimeChart.java","3","92","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","org.achartengine.chart","/home/matheus/smell-and-machine-learning/repositories/sensorreadout/src/org/achartengine/chart/XYChart.java","3","54","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.achartengine.chart","/home/matheus/smell-and-machine-learning/repositories/sensorreadout/src/org/achartengine/chart/XYChart.java","3","107","Avoid really long methods.","Design","ExcessiveMethodLength"
"3","org.achartengine.chart","/home/matheus/smell-and-machine-learning/repositories/sensorreadout/src/org/achartengine/chart/XYChart.java","3","688","Avoid long parameter lists.","Design","ExcessiveParameterList"
"4","org.achartengine.chart","/home/matheus/smell-and-machine-learning/repositories/sensorreadout/src/org/achartengine/chart/XYChart.java","3","803","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","org.achartengine.renderer","/home/matheus/smell-and-machine-learning/repositories/sensorreadout/src/org/achartengine/renderer/XYMultipleSeriesRenderer.java","3","31","Avoid really long classes.","Design","ExcessiveClassLength"
"2","org.achartengine.renderer","/home/matheus/smell-and-machine-learning/repositories/sensorreadout/src/org/achartengine/renderer/XYMultipleSeriesRenderer.java","3","31","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
