"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.sickbeard","/home/matheus/smell-and-machine-learning/repositories/sick-stache/app/src/main/java/org/sickbeard/Episode.java","3","24","The class 'Episode' is suspected to be a Data Class (WOC=0.000%, NOPA=8, NOAM=0, WMC=1)","Design","DataClass"
"1","org.sickbeard","/home/matheus/smell-and-machine-learning/repositories/sick-stache/app/src/main/java/org/sickbeard/HistoryItem.java","3","24","The class 'HistoryItem' is suspected to be a Data Class (WOC=0.000%, NOPA=10, NOAM=0, WMC=6)","Design","DataClass"
"1","org.sickbeard","/home/matheus/smell-and-machine-learning/repositories/sick-stache/app/src/main/java/org/sickbeard/Show.java","3","29","The class 'Show' is suspected to be a Data Class (WOC=0.000%, NOPA=18, NOAM=0, WMC=4)","Design","DataClass"
"1","org.sickbeard","/home/matheus/smell-and-machine-learning/repositories/sick-stache/app/src/main/java/org/sickbeard/SickBeard.java","3","48","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.sickbeard.json","/home/matheus/smell-and-machine-learning/repositories/sick-stache/app/src/main/java/org/sickbeard/json/ShowJson.java","3","26","The class 'ShowJson' is suspected to be a Data Class (WOC=0.000%, NOPA=18, NOAM=0, WMC=1)","Design","DataClass"
"1","org.sickstache.app","/home/matheus/smell-and-machine-learning/repositories/sick-stache/app/src/main/java/org/sickstache/app/LoadingListFragment.java","3","40","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.sickstache.fragments","/home/matheus/smell-and-machine-learning/repositories/sick-stache/app/src/main/java/org/sickstache/fragments/EditShowFragment.java","3","75","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.sickstache.fragments","/home/matheus/smell-and-machine-learning/repositories/sick-stache/app/src/main/java/org/sickstache/fragments/SeasonsFragment.java","3","57","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.sickstache.fragments","/home/matheus/smell-and-machine-learning/repositories/sick-stache/app/src/main/java/org/sickstache/fragments/ShowsFragment.java","3","55","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.sickstache.fragments","/home/matheus/smell-and-machine-learning/repositories/sick-stache/app/src/main/java/org/sickstache/fragments/ShowsFragment.java","3","129","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","","/home/matheus/smell-and-machine-learning/repositories/sick-stache/test/src/SickBeardTestCase.java","3","20","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
