"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.google.maps.android","/home/matheus/smell-and-machine-learning/repositories/wiglenet_wigle-wifi-wardriving/android-maps-utils/src/com/google/maps/android/MathUtil.java","3","24","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.google.maps.android","/home/matheus/smell-and-machine-learning/repositories/wiglenet_wigle-wifi-wardriving/android-maps-utils/src/com/google/maps/android/SphericalUtil.java","3","26","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.google.maps.android.clustering.view","/home/matheus/smell-and-machine-learning/repositories/wiglenet_wigle-wifi-wardriving/android-maps-utils/src/com/google/maps/android/clustering/view/DefaultClusterRenderer.java","3","76","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.google.maps.android.geojson","/home/matheus/smell-and-machine-learning/repositories/wiglenet_wigle-wifi-wardriving/android-maps-utils/src/com/google/maps/android/geojson/GeoJsonParser.java","3","22","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.google.maps.android.geojson","/home/matheus/smell-and-machine-learning/repositories/wiglenet_wigle-wifi-wardriving/android-maps-utils/src/com/google/maps/android/geojson/GeoJsonRenderer.java","3","22","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.google.maps.android.kml","/home/matheus/smell-and-machine-learning/repositories/wiglenet_wigle-wifi-wardriving/android-maps-utils/src/com/google/maps/android/kml/KmlRenderer.java","3","40","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.google.maps.android","/home/matheus/smell-and-machine-learning/repositories/wiglenet_wigle-wifi-wardriving/android-maps-utils/tests/src/com/google/maps/android/PolyUtilTest.java","3","29","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.google.maps.android","/home/matheus/smell-and-machine-learning/repositories/wiglenet_wigle-wifi-wardriving/android-maps-utils/tests/src/com/google/maps/android/PolyUtilTest.java","3","165","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.google.maps.android","/home/matheus/smell-and-machine-learning/repositories/wiglenet_wigle-wifi-wardriving/android-maps-utils/tests/src/com/google/maps/android/SphericalUtilTest.java","3","27","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.google.maps.android.geojson","/home/matheus/smell-and-machine-learning/repositories/wiglenet_wigle-wifi-wardriving/android-maps-utils/tests/src/com/google/maps/android/geojson/GeoJsonParserTest.java","3","13","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.google.maps.android.geojson","/home/matheus/smell-and-machine-learning/repositories/wiglenet_wigle-wifi-wardriving/android-maps-utils/tests/src/com/google/maps/android/geojson/GeoJsonPointStyleTest.java","3","11","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.google.maps.android.quadtree","/home/matheus/smell-and-machine-learning/repositories/wiglenet_wigle-wifi-wardriving/android-maps-utils/tests/src/com/google/maps/android/quadtree/PointQuadTreeTest.java","3","27","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.wigle.wigleandroid","/home/matheus/smell-and-machine-learning/repositories/wiglenet_wigle-wifi-wardriving/wiglewifiwardriving/src/main/java/net/wigle/wigleandroid/DBResultActivity.java","3","119","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","net.wigle.wigleandroid","/home/matheus/smell-and-machine-learning/repositories/wiglenet_wigle-wifi-wardriving/wiglewifiwardriving/src/main/java/net/wigle/wigleandroid/DashboardFragment.java","3","25","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.wigle.wigleandroid","/home/matheus/smell-and-machine-learning/repositories/wiglenet_wigle-wifi-wardriving/wiglewifiwardriving/src/main/java/net/wigle/wigleandroid/ListFragment.java","3","62","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.wigle.wigleandroid","/home/matheus/smell-and-machine-learning/repositories/wiglenet_wigle-wifi-wardriving/wiglewifiwardriving/src/main/java/net/wigle/wigleandroid/MainActivity.java","3","109","Avoid really long classes.","Design","ExcessiveClassLength"
"2","net.wigle.wigleandroid","/home/matheus/smell-and-machine-learning/repositories/wiglenet_wigle-wifi-wardriving/wiglewifiwardriving/src/main/java/net/wigle/wigleandroid/MainActivity.java","3","109","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","net.wigle.wigleandroid","/home/matheus/smell-and-machine-learning/repositories/wiglenet_wigle-wifi-wardriving/wiglewifiwardriving/src/main/java/net/wigle/wigleandroid/MainActivity.java","3","216","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","net.wigle.wigleandroid","/home/matheus/smell-and-machine-learning/repositories/wiglenet_wigle-wifi-wardriving/wiglewifiwardriving/src/main/java/net/wigle/wigleandroid/MapRender.java","3","36","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.wigle.wigleandroid","/home/matheus/smell-and-machine-learning/repositories/wiglenet_wigle-wifi-wardriving/wiglewifiwardriving/src/main/java/net/wigle/wigleandroid/MappingFragment.java","3","72","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","net.wigle.wigleandroid","/home/matheus/smell-and-machine-learning/repositories/wiglenet_wigle-wifi-wardriving/wiglewifiwardriving/src/main/java/net/wigle/wigleandroid/MappingFragment.java","3","165","Avoid really long methods.","Design","ExcessiveMethodLength"
"3","net.wigle.wigleandroid","/home/matheus/smell-and-machine-learning/repositories/wiglenet_wigle-wifi-wardriving/wiglewifiwardriving/src/main/java/net/wigle/wigleandroid/MappingFragment.java","3","181","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","net.wigle.wigleandroid","/home/matheus/smell-and-machine-learning/repositories/wiglenet_wigle-wifi-wardriving/wiglewifiwardriving/src/main/java/net/wigle/wigleandroid/MappingFragment.java","3","675","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","net.wigle.wigleandroid","/home/matheus/smell-and-machine-learning/repositories/wiglenet_wigle-wifi-wardriving/wiglewifiwardriving/src/main/java/net/wigle/wigleandroid/NetworkActivity.java","3","61","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","net.wigle.wigleandroid","/home/matheus/smell-and-machine-learning/repositories/wiglenet_wigle-wifi-wardriving/wiglewifiwardriving/src/main/java/net/wigle/wigleandroid/NetworkActivity.java","3","82","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","net.wigle.wigleandroid","/home/matheus/smell-and-machine-learning/repositories/wiglenet_wigle-wifi-wardriving/wiglewifiwardriving/src/main/java/net/wigle/wigleandroid/NewsFragment.java","3","35","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
