"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","oak","/home/matheus/smell-and-machine-learning/repositories/sozialhelden_wheelmap-android/app/src/main/java/oak/Base64.java","3","246","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","oak","/home/matheus/smell-and-machine-learning/repositories/sozialhelden_wheelmap-android/app/src/main/java/oak/Base64.java","3","588","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.osmdroid.mapsforge.wrapper","/home/matheus/smell-and-machine-learning/repositories/sozialhelden_wheelmap-android/app/src/main/java/org/osmdroid/mapsforge/wrapper/MapController.java","3","13","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.wheelmap.android.activity","/home/matheus/smell-and-machine-learning/repositories/sozialhelden_wheelmap-android/app/src/main/java/org/wheelmap/android/activity/DashboardActivity.java","3","37","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.wheelmap.android.activity","/home/matheus/smell-and-machine-learning/repositories/sozialhelden_wheelmap-android/app/src/main/java/org/wheelmap/android/activity/DashboardActivity.java","3","44","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.wheelmap.android.activity","/home/matheus/smell-and-machine-learning/repositories/sozialhelden_wheelmap-android/app/src/main/java/org/wheelmap/android/activity/MainMultiPaneActivity.java","3","98","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.wheelmap.android.activity","/home/matheus/smell-and-machine-learning/repositories/sozialhelden_wheelmap-android/app/src/main/java/org/wheelmap/android/activity/MainSinglePaneActivity.java","3","80","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.wheelmap.android.activity","/home/matheus/smell-and-machine-learning/repositories/sozialhelden_wheelmap-android/app/src/main/java/org/wheelmap/android/activity/MapActivity.java","3","47","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.wheelmap.android.activity","/home/matheus/smell-and-machine-learning/repositories/sozialhelden_wheelmap-android/app/src/main/java/org/wheelmap/android/activity/POIDetailActivity.java","3","54","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.wheelmap.android.activity","/home/matheus/smell-and-machine-learning/repositories/sozialhelden_wheelmap-android/app/src/main/java/org/wheelmap/android/activity/POIDetailEditableActivity.java","3","46","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.wheelmap.android.activity","/home/matheus/smell-and-machine-learning/repositories/sozialhelden_wheelmap-android/app/src/main/java/org/wheelmap/android/activity/StartupActivity.java","3","59","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.wheelmap.android.adapter","/home/matheus/smell-and-machine-learning/repositories/sozialhelden_wheelmap-android/app/src/main/java/org/wheelmap/android/adapter/HorizontalView.java","3","23","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.wheelmap.android.app","/home/matheus/smell-and-machine-learning/repositories/sozialhelden_wheelmap-android/app/src/main/java/org/wheelmap/android/app/WheelmapApp.java","3","59","The class 'WheelmapApp' is suspected to be a Data Class (WOC=29.412%, NOPA=0, NOAM=24, WMC=43)","Design","DataClass"
"1","org.wheelmap.android.fragment","/home/matheus/smell-and-machine-learning/repositories/sozialhelden_wheelmap-android/app/src/main/java/org/wheelmap/android/fragment/CombinedWorkerFragment.java","3","43","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
