"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.github.junrar","/home/matheus/smell-and-machine-learning/repositories/robotmedia_droid-comic-viewer/src/com/github/junrar/Archive.java","3","217","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.github.junrar.io","/home/matheus/smell-and-machine-learning/repositories/robotmedia_droid-comic-viewer/src/com/github/junrar/io/RandomAccessStream.java","3","16","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.github.junrar.io","/home/matheus/smell-and-machine-learning/repositories/robotmedia_droid-comic-viewer/src/com/github/junrar/io/Raw.java","3","26","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.github.junrar.rarfile","/home/matheus/smell-and-machine-learning/repositories/robotmedia_droid-comic-viewer/src/com/github/junrar/rarfile/AVHeader.java","3","29","The class 'AVHeader' is suspected to be a Data Class (WOC=0.000%, NOPA=1, NOAM=4, WMC=5)","Design","DataClass"
"1","com.github.junrar.rarfile","/home/matheus/smell-and-machine-learning/repositories/robotmedia_droid-comic-viewer/src/com/github/junrar/rarfile/CommentHeader.java","3","30","The class 'CommentHeader' is suspected to be a Data Class (WOC=0.000%, NOPA=1, NOAM=4, WMC=5)","Design","DataClass"
"1","com.github.junrar.rarfile","/home/matheus/smell-and-machine-learning/repositories/robotmedia_droid-comic-viewer/src/com/github/junrar/rarfile/EAHeader.java","3","30","The class 'EAHeader' is suspected to be a Data Class (WOC=16.667%, NOPA=1, NOAM=4, WMC=6)","Design","DataClass"
"1","com.github.junrar.rarfile","/home/matheus/smell-and-machine-learning/repositories/robotmedia_droid-comic-viewer/src/com/github/junrar/rarfile/EndArcHeader.java","3","28","The class 'EndArcHeader' is suspected to be a Data Class (WOC=0.000%, NOPA=2, NOAM=2, WMC=5)","Design","DataClass"
"1","com.github.junrar.rarfile","/home/matheus/smell-and-machine-learning/repositories/robotmedia_droid-comic-viewer/src/com/github/junrar/rarfile/FileHeader.java","3","86","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.github.junrar.rarfile","/home/matheus/smell-and-machine-learning/repositories/robotmedia_droid-comic-viewer/src/com/github/junrar/rarfile/MacInfoHeader.java","3","30","The class 'MacInfoHeader' is suspected to be a Data Class (WOC=16.667%, NOPA=1, NOAM=4, WMC=6)","Design","DataClass"
"1","com.github.junrar.rarfile","/home/matheus/smell-and-machine-learning/repositories/robotmedia_droid-comic-viewer/src/com/github/junrar/rarfile/ProtectHeader.java","3","29","The class 'ProtectHeader' is suspected to be a Data Class (WOC=0.000%, NOPA=1, NOAM=4, WMC=5)","Design","DataClass"
"1","com.github.junrar.rarfile","/home/matheus/smell-and-machine-learning/repositories/robotmedia_droid-comic-viewer/src/com/github/junrar/rarfile/SignHeader.java","3","29","The class 'SignHeader' is suspected to be a Data Class (WOC=0.000%, NOPA=1, NOAM=3, WMC=4)","Design","DataClass"
"1","com.github.junrar.rarfile","/home/matheus/smell-and-machine-learning/repositories/robotmedia_droid-comic-viewer/src/com/github/junrar/rarfile/UnixOwnersHeader.java","3","8","The class 'UnixOwnersHeader' is suspected to be a Data Class (WOC=10.000%, NOPA=0, NOAM=8, WMC=12)","Design","DataClass"
"1","com.github.junrar.unpack","/home/matheus/smell-and-machine-learning/repositories/robotmedia_droid-comic-viewer/src/com/github/junrar/unpack/Unpack.java","3","42","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.github.junrar.unpack","/home/matheus/smell-and-machine-learning/repositories/robotmedia_droid-comic-viewer/src/com/github/junrar/unpack/Unpack.java","3","42","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.github.junrar.unpack","/home/matheus/smell-and-machine-learning/repositories/robotmedia_droid-comic-viewer/src/com/github/junrar/unpack/Unpack.java","3","136","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","com.github.junrar.unpack","/home/matheus/smell-and-machine-learning/repositories/robotmedia_droid-comic-viewer/src/com/github/junrar/unpack/Unpack.java","3","355","Avoid really long methods.","Design","ExcessiveMethodLength"
"5","com.github.junrar.unpack","/home/matheus/smell-and-machine-learning/repositories/robotmedia_droid-comic-viewer/src/com/github/junrar/unpack/Unpack.java","3","639","Avoid really long methods.","Design","ExcessiveMethodLength"
"6","com.github.junrar.unpack","/home/matheus/smell-and-machine-learning/repositories/robotmedia_droid-comic-viewer/src/com/github/junrar/unpack/Unpack.java","3","799","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.github.junrar.unpack","/home/matheus/smell-and-machine-learning/repositories/robotmedia_droid-comic-viewer/src/com/github/junrar/unpack/Unpack15.java","3","35","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.github.junrar.unpack","/home/matheus/smell-and-machine-learning/repositories/robotmedia_droid-comic-viewer/src/com/github/junrar/unpack/Unpack20.java","3","84","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","com.github.junrar.unpack","/home/matheus/smell-and-machine-learning/repositories/robotmedia_droid-comic-viewer/src/com/github/junrar/unpack/Unpack20.java","3","261","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.github.junrar.unpack","/home/matheus/smell-and-machine-learning/repositories/robotmedia_droid-comic-viewer/src/com/github/junrar/unpack/UnpackFilter.java","3","28","The class 'UnpackFilter' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=12, WMC=12)","Design","DataClass"
"1","com.github.junrar.unpack.decode","/home/matheus/smell-and-machine-learning/repositories/robotmedia_droid-comic-viewer/src/com/github/junrar/unpack/decode/Decode.java","3","26","The class 'Decode' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=5, WMC=5)","Design","DataClass"
"1","com.github.junrar.unpack.ppm","/home/matheus/smell-and-machine-learning/repositories/robotmedia_droid-comic-viewer/src/com/github/junrar/unpack/ppm/ModelPPM.java","3","34","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.github.junrar.unpack.ppm","/home/matheus/smell-and-machine-learning/repositories/robotmedia_droid-comic-viewer/src/com/github/junrar/unpack/ppm/ModelPPM.java","3","509","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.github.junrar.unpack.ppm","/home/matheus/smell-and-machine-learning/repositories/robotmedia_droid-comic-viewer/src/com/github/junrar/unpack/ppm/RarNode.java","3","30","The class 'RarNode' is suspected to be a Data Class (WOC=20.000%, NOPA=1, NOAM=3, WMC=7)","Design","DataClass"
"1","com.github.junrar.unpack.ppm","/home/matheus/smell-and-machine-learning/repositories/robotmedia_droid-comic-viewer/src/com/github/junrar/unpack/ppm/SubAllocator.java","3","28","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.github.junrar.unpack.vm","/home/matheus/smell-and-machine-learning/repositories/robotmedia_droid-comic-viewer/src/com/github/junrar/unpack/vm/RarVM.java","3","33","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.github.junrar.unpack.vm","/home/matheus/smell-and-machine-learning/repositories/robotmedia_droid-comic-viewer/src/com/github/junrar/unpack/vm/RarVM.java","3","33","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
