"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.yaaic.activity","/home/matheus/smell-and-machine-learning/repositories/pocmo_Yaaic/app/src/main/java/org/yaaic/activity/MainActivity.java","3","60","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.yaaic.adapter","/home/matheus/smell-and-machine-learning/repositories/pocmo_Yaaic/app/src/main/java/org/yaaic/adapter/ServersAdapter.java","3","49","The class 'ViewHolder' is suspected to be a Data Class (WOC=0.000%, NOPA=5, NOAM=0, WMC=1)","Design","DataClass"
"1","org.yaaic.db","/home/matheus/smell-and-machine-learning/repositories/pocmo_Yaaic/app/src/main/java/org/yaaic/db/Database.java","3","46","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.yaaic.fragment","/home/matheus/smell-and-machine-learning/repositories/pocmo_Yaaic/app/src/main/java/org/yaaic/fragment/ConversationFragment.java","3","92","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.yaaic.fragment","/home/matheus/smell-and-machine-learning/repositories/pocmo_Yaaic/app/src/main/java/org/yaaic/fragment/ConversationFragment.java","3","625","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.yaaic.fragment","/home/matheus/smell-and-machine-learning/repositories/pocmo_Yaaic/app/src/main/java/org/yaaic/fragment/OverviewFragment.java","3","56","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.yaaic.irc","/home/matheus/smell-and-machine-learning/repositories/pocmo_Yaaic/app/src/main/java/org/yaaic/irc/IRCConnection.java","3","53","Avoid really long classes.","Design","ExcessiveClassLength"
"2","org.yaaic.irc","/home/matheus/smell-and-machine-learning/repositories/pocmo_Yaaic/app/src/main/java/org/yaaic/irc/IRCConnection.java","3","54","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.yaaic.irc","/home/matheus/smell-and-machine-learning/repositories/pocmo_Yaaic/app/src/main/java/org/yaaic/irc/IRCService.java","3","61","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.yaaic.model","/home/matheus/smell-and-machine-learning/repositories/pocmo_Yaaic/app/src/main/java/org/yaaic/model/Authentication.java","3","28","The class 'Authentication' is suspected to be a Data Class (WOC=25.000%, NOPA=0, NOAM=6, WMC=11)","Design","DataClass"
"1","org.yaaic.model","/home/matheus/smell-and-machine-learning/repositories/pocmo_Yaaic/app/src/main/java/org/yaaic/model/Identity.java","3","33","The class 'Identity' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=8, WMC=8)","Design","DataClass"
"1","org.yaaic.model","/home/matheus/smell-and-machine-learning/repositories/pocmo_Yaaic/app/src/main/java/org/yaaic/model/Message.java","3","43","The class 'Message' is suspected to be a Data Class (WOC=23.077%, NOPA=11, NOAM=6, WMC=37)","Design","DataClass"
"1","org.yaaic.model","/home/matheus/smell-and-machine-learning/repositories/pocmo_Yaaic/app/src/main/java/org/yaaic/model/Server.java","3","34","The class 'Server' is suspected to be a Data Class (WOC=23.077%, NOPA=0, NOAM=29, WMC=41)","Design","DataClass"
"1","org.yaaic.model","/home/matheus/smell-and-machine-learning/repositories/pocmo_Yaaic/app/src/main/java/org/yaaic/model/Settings.java","3","42","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.yaaic.protocol","/home/matheus/smell-and-machine-learning/repositories/pocmo_Yaaic/pircbot/src/main/java/org/yaaic/protocol/IRCClient.java","3","80","Avoid really long classes.","Design","ExcessiveClassLength"
"2","org.yaaic.protocol","/home/matheus/smell-and-machine-learning/repositories/pocmo_Yaaic/pircbot/src/main/java/org/yaaic/protocol/IRCClient.java","3","80","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","org.yaaic.protocol","/home/matheus/smell-and-machine-learning/repositories/pocmo_Yaaic/pircbot/src/main/java/org/yaaic/protocol/IRCClient.java","3","149","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","org.yaaic.protocol","/home/matheus/smell-and-machine-learning/repositories/pocmo_Yaaic/pircbot/src/main/java/org/yaaic/protocol/IRCClient.java","3","689","Avoid really long methods.","Design","ExcessiveMethodLength"
"5","org.yaaic.protocol","/home/matheus/smell-and-machine-learning/repositories/pocmo_Yaaic/pircbot/src/main/java/org/yaaic/protocol/IRCClient.java","3","1330","Avoid really long methods.","Design","ExcessiveMethodLength"
